wandb_run_id,wandb_project,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,lambda_latent,lambda_prefusion,lambda_distill,trainable_params,active_losses,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint
yhqwphrh,delulu-benv2-final-mask-token-s2s1,benv2,s2,s1,61.28,0.0006972113611176316,1.0,0.0015017545943391535,100,0.2858453089246783,0.13675064933782077,0.5,False,True,True,0.08806065762102805,0.3444633765773012,0.32272909379819026,151668518,distill+latent+ce,32.51,43.32,66.33,61.50,58.50,62.34,44.54,59.54,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt
soh08j1w,delulu-benv2-final-mask-token-s2s1,benv2,s2,s1,61.28,0.0003512483026262558,1.0,0.0026305960656953153,100,0.4618094791403873,0.12131976809653144,0.5,False,True,True,0.23228763591076307,0.48917406628392646,0.6779685262838779,151668518,distill+latent+ce,36.90,49.10,65.45,60.46,60.03,59.86,46.75,61.67,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt
awxewc7g,delulu-benv2-final-mask-token-s2s1,benv2,s2,s1,61.28,1.5109778951862364e-05,1.0,0.0007749292235404696,100,0.29286796867477194,0.3300810566150959,0.5,False,True,True,0.3098713548236833,0.4078532592558082,0.4727366249429732,151668518,distill+latent+ce,39.80,45.69,67.89,62.25,59.97,61.43,49.78,59.96,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt
29eyweb5,delulu-benv2-final-mask-token-s2s1,benv2,s2,s1,61.28,1.2107827710850471e-05,1.0,1.6574448009863847e-05,100,0.19549922142661696,0.23458982973275663,0.5,False,True,True,0.1469448812075272,0.6534270285997664,0.9487599472282644,151668518,distill+latent+ce,34.63,42.07,67.20,62.03,58.33,61.48,46.00,61.39,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt
28uxal5l,delulu-benv2-final-delulu-s2s1,benv2,s2,s1,61.28,0.0002418108784419437,1.0,0.0001540866933063543,100,0.4630191083241715,0.496357244029365,0.5,False,False,True,0.2607253866323942,0.3745278039930888,0.8594941055703602,151668518,distill+latent+prefusion+ce,37.20,48.75,65.14,60.23,64.36,60.22,50.78,61.11,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt
ue44934y,delulu-benv2-final-mask-token-s2s1,benv2,s2,s1,61.28,5.5276827528679686e-05,1.0,0.005392365688286016,100,0.4437322283543104,0.19033520979967228,0.5,False,True,True,0.24288832078434053,0.5244083515437219,0.11554531154845782,151668518,distill+latent+ce,40.88,47.60,67.51,62.44,61.06,62.73,50.33,60.59,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt
q8ay8um0,delulu-benv2-final-mask-token-s2s1,benv2,s2,s1,61.28,4.1053245328233695e-05,1.0,0.060695857360825986,100,0.30039984296800015,0.2117067243266767,0.5,False,True,True,0.15319868787794094,0.5146947022611392,0.22597671146234433,151668518,distill+latent+ce,38.93,48.46,67.42,62.04,62.43,62.05,50.06,61.42,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt
vvyibd3d,delulu-benv2-final-mask-token-s2s1,benv2,s2,s1,61.28,0.00016773724548605225,1.0,0.003402172803458497,100,0.23801719329396273,0.30389108474382986,0.5,False,True,True,0.19396876543120264,0.857451574881653,0.7113335558628167,151668518,distill+latent+ce,33.48,45.60,65.63,61.24,61.82,60.91,44.69,61.61,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt
gg8qht2o,delulu-benv2-final-mask-token-s2s1,benv2,s2,s1,61.28,1.1742094938695084e-05,1.0,0.01523837914255646,100,0.10944195887944291,0.3755877091909374,0.5,False,True,True,0.11325740044993038,0.30154480202729805,0.887708787693761,151668518,distill+latent+ce,35.14,41.94,67.28,62.43,56.64,61.44,45.45,61.75,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt
06st27rv,delulu-benv2-final-mask-token-s2s1,benv2,s2,s1,61.28,0.00014440772812804485,1.0,0.03351477573429842,100,0.4249300200040135,0.17604870131236192,0.5,False,True,True,0.2229255129074268,0.9506474653500164,0.7112526951180564,151668518,distill+latent+ce,37.46,47.79,65.49,60.95,58.18,59.67,47.56,60.80,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt
