model_type,modality,train_mode,learning_rate,weight_decay,trainable_params,epochs,K,temperature,alpha,lambda_u,mixmatch_warmup_epochs,metric_name,test_metric,best_val_metric,best_val_test_metric,saved_checkpoint,global_rep,use_dino_weights
evan_small,s2,fft,0.0003,0.0001,22587272,20,2,0.5,0.5,10.0,4,mIoU,38.42,52.31,39.15,checkpoints/evan_mixmatch_dfc2020_s2_20260413_235121.pt,clstoken,True
evan_small,s2,fft,0.0003,0.0001,22587272,20,2,0.5,0.5,40.0,4,mIoU,13.67,45.04,31.37,checkpoints/evan_mixmatch_dfc2020_s2_20260414_000851.pt,clstoken,True
evan_small,s2,fft,0.0003,0.0001,22587272,20,2,0.5,0.5,75.0,4,mIoU,13.46,29.38,24.88,checkpoints/evan_mixmatch_dfc2020_s2_20260414_002701.pt,clstoken,True
evan_small,s2,fft,0.0003,0.0001,22587272,20,2,0.5,0.5,100.0,4,mIoU,11.46,39.33,39.76,checkpoints/evan_mixmatch_dfc2020_s2_20260414_004518.pt,clstoken,True
evan_small,s2,fft,0.0003,0.0001,22587272,20,2,0.5,0.75,10.0,4,mIoU,35.33,50.53,38.63,checkpoints/evan_mixmatch_dfc2020_s2_20260414_010404.pt,clstoken,True
evan_small,s2,fft,0.0003,0.0001,22587272,20,2,0.5,0.75,40.0,4,mIoU,15.15,42.60,30.43,checkpoints/evan_mixmatch_dfc2020_s2_20260414_012246.pt,clstoken,True
evan_small,s2,fft,0.0003,0.0001,22587272,20,2,0.5,0.75,75.0,4,mIoU,15.12,40.68,37.88,checkpoints/evan_mixmatch_dfc2020_s2_20260414_014130.pt,clstoken,True
evan_small,s2,fft,0.0003,0.0001,22587272,20,2,0.5,0.5,10.0,4,mIoU,39.27,50.56,36.37,checkpoints/evan_mixmatch_dfc2020_s2_20260414_015548.pt,clstoken,True
evan_small,s2,fft,0.0003,0.0001,22587272,20,2,0.5,0.75,100.0,4,mIoU,14.64,41.35,27.84,checkpoints/evan_mixmatch_dfc2020_s2_20260414_020007.pt,clstoken,True
evan_small,s2,fft,0.0003,0.0001,22587272,20,2,0.5,0.5,40.0,4,mIoU,13.49,42.58,38.48,checkpoints/evan_mixmatch_dfc2020_s2_20260414_021431.pt,clstoken,True
evan_small,s2,fft,0.0003,0.0001,22587272,20,2,0.5,1.0,10.0,4,mIoU,41.31,50.06,38.19,checkpoints/evan_mixmatch_dfc2020_s2_20260414_021812.pt,clstoken,True
evan_small,s2,fft,0.0003,0.0001,22587272,20,2,0.5,0.5,75.0,4,mIoU,13.77,42.36,30.11,checkpoints/evan_mixmatch_dfc2020_s2_20260414_023323.pt,clstoken,True
