model_type,teacher_modality,student_modality,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,trainable_params,epoch,temperature,alpha,distillation_mode,kl_type,metric_name,teacher_test_metric,test_metric,best_test_metric(oracle),best_epoch,ensemble_metric_logits,ensemble_metric_softmax,teacher_classifier_acc,supervised_classifier_acc,supervised_classifier_best_acc,saved_checkpoint,global_rep,teacher_checkpoint
evan_small,s2_rgb,s1,fft,32,fft,0.001,21505544,16,1.0,1.0,regular,kd,mIoU,45.74,44.11,45.90,9,51.13,49.14,,,,checkpoints/evan_distill_dfc2020_s2_rgb_to_s1_20260408_133316.pt,clstoken,checkpoints/dfc2020_s2rgb_dinov3init_sft.pt
evan_small,s2_rgb,s1,fft,32,fft,0.001,21505544,16,2.0,1.0,regular,kd,mIoU,45.74,43.92,44.49,10,50.51,48.87,,,,checkpoints/evan_distill_dfc2020_s2_rgb_to_s1_20260408_134238.pt,clstoken,checkpoints/dfc2020_s2rgb_dinov3init_sft.pt
evan_small,s2_rgb,s1,fft,32,fft,0.001,21505544,16,1.0,1.0,regular,ttm,mIoU,45.74,42.88,43.73,9,50.19,48.83,,,,checkpoints/evan_distill_dfc2020_s2_rgb_to_s1_20260408_134635.pt,clstoken,checkpoints/dfc2020_s2rgb_dinov3init_sft.pt
evan_small,s2_rgb,s1,fft,32,fft,0.001,21505544,16,4.0,1.0,regular,kd,mIoU,45.74,42.93,43.42,6,48.87,47.32,,,,checkpoints/evan_distill_dfc2020_s2_rgb_to_s1_20260408_141225.pt,clstoken,checkpoints/dfc2020_s2rgb_dinov3init_sft.pt
evan_small,s2_rgb,s1,fft,32,fft,0.001,21505544,16,2.0,1.0,regular,ttm,mIoU,45.74,44.51,44.64,14,50.18,49.03,,,,checkpoints/evan_distill_dfc2020_s2_rgb_to_s1_20260408_141225.pt,clstoken,checkpoints/dfc2020_s2rgb_dinov3init_sft.pt
evan_small,s2_rgb,s1,fft,32,fft,0.001,21505544,16,4.0,1.0,regular,ttm,mIoU,45.74,42.51,44.96,10,48.41,47.30,,,,checkpoints/evan_distill_dfc2020_s2_rgb_to_s1_20260408_141710.pt,clstoken,checkpoints/dfc2020_s2rgb_dinov3init_sft.pt
