wandb_run_id,wandb_project,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,modality_dropout_startmod,modality_dropout_newmod,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,unprotect_starting_mod,lambda_latent,lambda_prefusion,lambda_distill,mae_mask_ratio,trainable_params,active_losses,select_by,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint,seed,config_label,student_init,loss_balance,regression_distill_mask,regression_huber_beta
jkr7zuvr,delulu-dfc2020-pairs,dfc2020,s1,s2,47.96,2.772299470566019e-05,,0.0002,128,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.0,0.0,False,True,False,0.513624371369526,0.6964960626741188,0.23428736523557417,0.5441254268098721,223431696,latent+prefusion+distill+ce,peeking,83.88,48.25,49.85,50.05,91.12,50.54,87.48,50.58,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260916_012334.pt,0,dfc2020_peeking_vizckpt,teacher,none,0,
5ri38wt8,delulu-dfc2020-pairs,dfc2020,s1,s2,47.96,0.00040501517730354863,,0.0002,128,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.0,0.0,False,True,False,4.961765007115481,0.13275370738804138,0.8369287246181186,0.6448170007324399,223431696,latent+prefusion+distill+ce,transfer,84.98,49.59,49.75,49.69,89.89,51.35,87.41,51.02,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260916_012334.pt,0,dfc2020_transfer_vizckpt,teacher,none,0,
s0gpgik0,delulu-dfc2020-pairs,dfc2020,s1,s2,47.96,9.773872199975506e-05,,0.0002,128,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.0,0.0,False,True,False,2.1365588372995683,0.9688211858670964,0.7330845202244791,0.5652296073666779,223431696,latent+prefusion+distill+ce,addition,84.43,48.89,50.37,50.37,91.49,50.83,87.95,51.05,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260916_012334.pt,0,dfc2020_addition_vizckpt,teacher,none,0,
