wandb_run_id,wandb_project,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,modality_dropout_startmod,modality_dropout_newmod,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,unprotect_starting_mod,lambda_latent,lambda_prefusion,lambda_distill,mae_mask_ratio,trainable_params,active_losses,select_by,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint
jkvxrvhn,delulu-biomassters-s1-s2,biomassters,s1,s2,64.34,0.0004774231555564,,2.097367228673949e-05,64,0.3,0.1179198901802484,0.217880054935906,0.1528037178698822,0.0,0.0,False,True,True,0.2696171530477876,0.6047276485413138,0.8583708932965115,0.5995580822364286,144552962,latent+prefusion+distill+ce,addition,92.73,-65.27,-59.63,-62.91,96.22,-63.90,94.47,-64.08,checkpoints/sft_evan_base_biomassters_s1_fft_4369852.pt
wgva6jdk,delulu-biomassters-s1-s2,biomassters,s1,s2,60.58,0.0004774231555564,,2.097367228673949e-05,64,0.3,0.1179198901802484,0.217880054935906,0.1528037178698822,0.0,0.0,False,True,True,0.2696171530477876,0.6047276485413138,0.8583708932965115,0.5995580822364286,144552962,latent+prefusion+distill+ce,addition,92.14,-62.64,-60.28,-62.44,95.99,-61.30,94.07,-61.34,checkpoints/sft_evan_base_biomassters_s1_fft_4373134.pt
