wandb_run_id,wandb_project,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,lambda_latent,lambda_prefusion,lambda_distill,mae_mask_ratio,trainable_params,active_losses,select_by,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint
g8f5y5lb,delulu-apr21,benv2,s2_rgb,s1,63.36,0.00046,,0.0025,100,0.44,0.14,0.0,False,False,True,0.13,0.37,0.73,,142811174,latent+prefusion+distill+ce,,56.95,51.78,68.73,61.51,70.45,63.11,63.15,62.47,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt
hgk60tmi,delulu-apr21,benv2,s2_rgb,s1,63.36,0.00046,,0.0025,100,0.44,0.14,0.0,False,False,True,0.13,0.37,0.73,,142811174,latent+prefusion+distill+ce,,57.15,51.3,68.83,61.13,70.0,62.11,63.15,61.54,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt
15grngot,delulu-apr21,benv2,s2_rgb,s1,63.36,0.00046,,0.0025,100,0.44,0.14,0.0,False,False,True,0.13,0.37,0.73,,142811174,latent+prefusion+distill+ce,,56.75,52.55,68.22,61.19,70.7,63.78,63.48,62.18,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt
ln7z88yy,delulu-apr21,benv2,s2_rgb,s1,63.36,0.00046,,0.0025,100,0.44,0.14,0.0,False,False,True,0.13,0.37,0.73,,142811174,latent+prefusion+distill+ce,,57.3,51.24,68.28,62.18,69.85,65.12,63.23,62.85,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt
iyb7stwr,delulu-apr21,benv2,s2_rgb,s1,63.36,0.00046,,0.0025,100,0.44,0.14,0.0,False,False,True,0.13,0.37,0.73,,142811174,latent+prefusion+distill+ce,,56.7,51.26,68.26,62.11,70.95,65.13,63.4,61.93,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt
3z9y0qzm,delulu-apr21,benv2,s2_rgb,s1,63.36,0.00046,,0.0025,100,0.44,0.14,0.0,False,False,True,0.13,0.37,0.73,,142811174,latent+prefusion+distill+ce,,56.8,53.15,67.6,61.94,69.65,64.81,62.95,62.54,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt
nhrburve,delulu-apr21,benv2,s2_rgb,s2_norgb,63.36,0.00046,,0.0025,100,0.44,0.14,0.0,False,False,True,0.13,0.37,0.73,,144187430,latent+prefusion+distill+ce,,69.55,62.65,67.37,62.13,70.25,63.92,69.58,64.72,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt
sz19808n,delulu-apr21,benv2,s2_rgb,s1,63.36,0.00046,,0.0025,100,0.44,0.14,0.0,False,False,True,0.13,0.37,0.73,,142811174,latent+prefusion+distill+ce,,55.15,51.22,68.23,62.55,70.05,63.83,61.85,61.85,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt
cp3gneca,delulu-apr21,benv2,s2_rgb,s1,63.36,0.00046,,0.0025,100,0.44,0.14,0.0,False,False,True,0.13,0.37,0.73,,142811174,latent+prefusion+distill+ce,,55.75,50.89,68.03,62.3,70.15,63.31,62.6,62.35,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt
qatbqa2p,delulu-apr21,benv2,s2_rgb,s1,63.36,0.00046,,0.0025,100,0.44,0.14,0.0,False,False,True,0.13,0.37,0.73,,142811174,latent+prefusion+distill+ce,,57.25,52.4,68.74,63.9,70.35,64.18,63.55,62.43,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt
