dataset,model_arch,starting_modality,new_modality,lr,weight_decay,epochs,mask_ratio,modality_dropout,labeled_frequency,labeled_start_fraction,trainable_params,active_losses,use_mfla,warmup_epochs,intermediate_projector_type,tz_fusion_time,metric_name,teacher_test_metric,transfer_metric,peeking_metric,addition_metric,addition_ens_metric,valchecked_transfer,valchecked_peek,valchecked_add,valchecked_add_ens,valchecked_val_transfer,valchecked_val_peek,valchecked_val_add,valchecked_val_add_ens,stage0_checkpoint,shote2e_checkpoint
dfc2020,evan_base,s1,s2,0.000192,0.00353,64,0.322,0.283,0.296,0.5,164255248,latent+prefusion+distill+ce,False,3,cross,3,mIoU,44.15,46.06,44.68,45.40,46.84,45.68,44.68,44.30,46.84,41.14,49.66,47.74,44.23,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.001_20260417_101553.pt,checkpoints/delulunet_dfc2020_0420_0755.pt
dfc2020,evan_base,s1,s2_norgb,0.000229,0.000788,64,0.467,0.356,0.433,0.5,163074832,latent+prefusion+distill+ce,False,3,cross,3,mIoU,44.15,46.25,44.77,46.43,47.22,46.25,44.77,46.16,47.22,41.00,49.13,47.31,44.11,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.001_20260417_101553.pt,checkpoints/delulunet_dfc2020_0420_0756.pt
dfc2020,evan_base,s1,s2_norgb,0.000192,0.00353,64,0.322,0.283,0.296,0.5,163074832,latent+prefusion+distill+ce,False,3,cross,3,mIoU,44.15,47.33,45.33,46.88,48.21,47.33,45.68,44.54,48.21,41.53,49.68,47.79,44.37,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.001_20260417_101553.pt,checkpoints/delulunet_dfc2020_0420_0756.pt
dfc2020,evan_base,s1,s2_norgb,0.000192,0.00353,64,0.322,0.283,0.296,0.5,163074832,latent+prefusion+distill+ce,False,3,cross,3,mIoU,44.15,46.74,41.61,42.74,44.92,39.65,43.95,42.74,44.92,41.34,49.62,48.42,44.72,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.001_20260417_101553.pt,checkpoints/delulunet_dfc2020_0420_0759.pt
dfc2020,evan_base,s1,s2_norgb,0.000192,0.00353,64,0.322,0.283,0.296,0.5,163074832,latent+prefusion+distill+ce,False,3,cross,3,mIoU,44.15,39.35,45.62,46.86,47.15,46.16,45.62,46.86,47.15,41.21,49.43,48.15,44.38,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.001_20260417_101553.pt,checkpoints/delulunet_dfc2020_0420_0800.pt
dfc2020,evan_base,s2,s2_rgb,0.000229,0.000788,64,0.467,0.356,0.433,0.5,164648720,latent+prefusion+distill+ce,False,3,cross,3,mIoU,45.11,41.47,46.23,46.48,46.66,39.32,46.23,46.48,46.66,52.26,57.46,56.89,54.46,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260418_080316.pt,checkpoints/delulunet_dfc2020_0420_0857.pt
dfc2020,evan_base,s2,s2_rgb,0.00015,0.000102,64,0.716,0.13,0.555,0.5,164648720,latent+prefusion+distill+ce,False,3,cross,3,mIoU,45.11,42.90,43.80,43.73,46.61,42.90,45.86,45.39,46.61,51.03,57.91,56.34,53.29,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260418_080316.pt,checkpoints/delulunet_dfc2020_0420_0857.pt
dfc2020,evan_base,s2,s2_rgb,0.000192,0.00353,64,0.322,0.283,0.296,0.5,164648720,latent+prefusion+distill+ce,False,3,cross,3,mIoU,45.11,39.76,49.48,49.55,47.85,42.31,41.81,49.55,47.85,52.56,58.65,57.28,54.56,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260418_080316.pt,checkpoints/delulunet_dfc2020_0420_0858.pt
dfc2020,evan_base,s2,s1,0.000192,0.00353,64,0.322,0.283,0.296,0.5,164255248,latent+prefusion+distill+ce,False,3,cross,3,mIoU,45.11,40.66,48.08,47.70,51.11,42.40,47.39,47.70,51.11,46.33,58.42,57.45,51.35,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260418_080316.pt,checkpoints/delulunet_dfc2020_0420_0900.pt
dfc2020,evan_base,s2,s1,0.00015,0.000102,64,0.716,0.13,0.555,0.5,164255248,latent+prefusion+distill+ce,False,3,cross,3,mIoU,45.11,41.84,40.51,40.85,45.17,41.84,41.71,41.15,45.17,45.56,57.86,55.75,50.40,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260418_080316.pt,checkpoints/delulunet_dfc2020_0420_0902.pt
dfc2020,evan_base,s2,s2_norgb,0.00015,0.000102,64,0.716,0.13,0.555,0.5,167403024,latent+prefusion+distill+ce,False,3,cross,3,mIoU,45.11,38.61,47.38,44.02,42.18,38.61,42.58,44.02,42.18,54.38,58.00,56.37,55.37,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260418_080316.pt,checkpoints/delulunet_dfc2020_0420_0909.pt
dfc2020,evan_base,s2,s2_norgb,0.000192,0.00353,64,0.322,0.283,0.296,0.5,167403024,latent+prefusion+distill+ce,False,3,cross,3,mIoU,45.11,45.88,46.52,45.77,46.30,45.88,42.14,45.77,46.30,55.47,57.75,57.10,56.28,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260418_080316.pt,checkpoints/delulunet_dfc2020_0420_0911.pt
dfc2020,evan_base,s2_rgb,s2,0.000192,0.00353,64,0.322,0.283,0.296,0.5,164648720,latent+prefusion+distill+ce,False,3,cross,3,mIoU,45.85,49.51,43.13,48.78,50.78,49.51,46.26,49.54,50.78,51.08,55.87,54.73,52.87,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0001_20260417_110303.pt,checkpoints/delulunet_dfc2020_0420_0914.pt
dfc2020,evan_base,s2_rgb,s1,0.00015,0.000102,64,0.716,0.13,0.555,0.5,160320528,latent+prefusion+distill+ce,False,3,cross,3,mIoU,45.85,38.88,44.89,48.72,52.06,38.88,45.43,48.72,52.06,44.35,57.27,54.77,49.56,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0001_20260417_110303.pt,checkpoints/delulunet_dfc2020_0420_0916.pt
dfc2020,evan_base,s2,s1,0.000168,0.00338,64,0.181,0.369,0.669,0.5,164255248,latent+prefusion+distill+ce,False,3,cross,3,mIoU,45.11,39.52,52.03,52.34,50.66,42.88,43.66,48.54,50.66,45.14,57.66,56.66,50.30,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260418_080316.pt,checkpoints/delulunet_dfc2020_0420_0917.pt
dfc2020,evan_base,s2_rgb,s1,0.000192,0.00353,64,0.322,0.283,0.296,0.5,160320528,latent+prefusion+distill+ce,False,3,cross,3,mIoU,45.85,36.44,45.99,49.31,49.43,42.11,49.07,49.31,49.43,45.53,56.96,56.15,49.99,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0001_20260417_110303.pt,checkpoints/delulunet_dfc2020_0420_0922.pt
dfc2020,evan_base,s2_rgb,s2,0.00015,0.000102,64,0.716,0.13,0.555,0.5,164648720,latent+prefusion+distill+ce,False,3,cross,3,mIoU,45.85,48.87,45.81,52.55,51.40,48.87,45.81,52.55,51.40,50.83,56.88,53.87,52.35,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0001_20260417_110303.pt,checkpoints/delulunet_dfc2020_0420_0923.pt
dfc2020,evan_base,s2_rgb,s1,0.000168,0.00338,64,0.181,0.369,0.669,0.5,160320528,latent+prefusion+distill+ce,False,3,cross,3,mIoU,45.85,41.04,46.24,46.86,49.56,41.06,48.43,50.81,49.56,45.47,57.09,55.87,49.65,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0001_20260417_110303.pt,checkpoints/delulunet_dfc2020_0420_0923.pt
dfc2020,evan_base,s2_rgb,s1,0.000229,0.000788,64,0.467,0.356,0.433,0.5,160320528,latent+prefusion+distill+ce,False,3,cross,3,mIoU,45.85,43.00,48.55,50.22,51.04,43.00,48.55,51.90,51.04,46.92,57.29,56.10,51.23,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0001_20260417_110303.pt,checkpoints/delulunet_dfc2020_0420_0925.pt
dfc2020,evan_base,s1,s2_rgb,0.00015,0.000102,64,0.716,0.13,0.555,0.5,160320528,latent+prefusion+distill+ce,False,3,cross,3,mIoU,44.15,31.79,44.99,43.66,45.80,29.53,44.54,46.60,45.80,39.34,48.90,45.47,41.97,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.001_20260417_101553.pt,checkpoints/delulunet_dfc2020_0420_0931.pt
dfc2020,evan_base,s1,s2_rgb,0.000168,0.00338,64,0.181,0.369,0.669,0.5,160320528,latent+prefusion+distill+ce,False,3,cross,3,mIoU,44.15,33.85,45.61,46.34,46.33,32.22,45.26,46.34,46.33,39.58,49.21,48.29,43.73,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.001_20260417_101553.pt,checkpoints/delulunet_dfc2020_0420_0931.pt
dfc2020,evan_base,s2_rgb,s2_norgb,0.000192,0.00353,64,0.322,0.283,0.296,0.5,163468304,latent+prefusion+distill+ce,False,3,cross,3,mIoU,45.85,39.46,50.21,53.46,50.34,39.46,50.21,47.85,50.34,51.92,57.73,55.96,53.93,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0001_20260417_110303.pt,checkpoints/delulunet_dfc2020_0420_0933.pt
dfc2020,evan_base,s1,s2,0.00015,0.000102,64,0.716,0.13,0.555,0.5,164255248,latent+prefusion+distill+ce,False,3,cross,3,mIoU,44.15,38.36,43.70,46.67,45.49,41.42,43.62,44.59,45.49,41.29,49.30,45.07,42.87,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.001_20260417_101553.pt,checkpoints/delulunet_dfc2020_0420_0935.pt
dfc2020,evan_base,s1,s2,0.000168,0.00338,64,0.181,0.369,0.669,0.5,164255248,latent+prefusion+distill+ce,False,3,cross,3,mIoU,44.15,46.52,44.84,45.68,47.76,46.52,44.84,45.68,47.76,41.14,49.13,48.30,44.72,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.001_20260417_101553.pt,checkpoints/delulunet_dfc2020_0420_0935.pt
dfc2020,evan_base,s1,s2_rgb,0.000192,0.00353,64,0.322,0.283,0.296,0.5,160320528,latent+prefusion+distill+ce,False,3,cross,3,mIoU,44.15,35.81,44.49,45.63,45.95,35.81,45.68,43.60,45.95,40.11,49.73,48.59,43.80,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.001_20260417_101553.pt,checkpoints/delulunet_dfc2020_0420_0937.pt
dfc2020,evan_base,s1,s2,0.000229,0.000788,64,0.467,0.356,0.433,0.5,164255248,latent+prefusion+distill+ce,False,3,cross,3,mIoU,44.15,45.86,44.13,47.06,46.59,45.86,45.21,46.02,46.59,41.11,49.57,47.23,43.97,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.001_20260417_101553.pt,checkpoints/delulunet_dfc2020_0420_0937.pt
dfc2020,evan_base,s1,s2_norgb,0.00015,0.000102,64,0.716,0.13,0.555,0.5,163074832,latent+prefusion+distill+ce,False,3,cross,3,mIoU,44.15,37.17,43.87,41.43,45.51,37.17,43.87,45.14,45.51,41.45,49.63,45.41,43.35,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.001_20260417_101553.pt,checkpoints/delulunet_dfc2020_0420_0938.pt
dfc2020,evan_base,s1,s2_norgb,0.000168,0.00338,64,0.181,0.369,0.669,0.5,163074832,latent+prefusion+distill+ce,False,3,cross,3,mIoU,44.15,41.19,45.35,46.34,47.85,42.68,44.13,46.34,47.85,40.98,49.29,48.12,44.43,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.001_20260417_101553.pt,checkpoints/delulunet_dfc2020_0420_0939.pt
dfc2020,evan_base,s2_rgb,s2_norgb,0.00015,0.000102,64,0.716,0.13,0.555,0.5,163468304,latent+prefusion+distill+ce,False,3,cross,3,mIoU,45.85,44.24,47.74,52.15,51.96,35.21,47.74,52.15,51.96,50.71,57.28,54.88,52.51,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0001_20260417_110303.pt,checkpoints/delulunet_dfc2020_0420_0939.pt
dfc2020,evan_base,s1,s2,0.000192,0.00353,64,0.322,0.283,0.296,0.5,164255248,latent+prefusion+distill+ce,False,3,cross,3,mIoU,44.15,46.97,45.27,46.69,48.70,46.41,44.68,46.69,48.70,40.84,49.19,47.77,44.21,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.001_20260417_101553.pt,checkpoints/delulunet_dfc2020_0420_0942.pt
