wandb_run_id,wandb_project,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,lambda_latent,lambda_prefusion,lambda_distill,mae_mask_ratio,trainable_params,active_losses,select_by,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint
ql99l9gn,delulu-apr21,dfc2020,s1,s2,43.29,0.0007603670485331134,,0.003191312427861267,100,0.4108021548500306,0.17415917520891178,0.0,False,False,True,0.13263825600017404,0.8989186464658414,0.42251451066485746,0.5347535526975333,144760336,latent+prefusion+distill+ce,addition,86.12,44.95,47.66,37.43,92.06,45.73,88.97,43.88,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260418_080704.pt
awfdohha,delulu-apr21,dfc2020,s1,s2,43.29,0.0004609737361015,,0.0025063908349521,100,0.4391510180403878,0.1427819161942331,0.0,False,False,True,0.1267019920526157,0.3698855110094194,0.7303287368278879,0.4129694314364507,144760336,latent+prefusion+distill+ce,peeking,86.34,47.58,48.46,43.80,92.53,45.92,89.38,46.26,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260418_080704.pt
4k09fyqd,delulu-apr21,dfc2020,s1,s2,43.29,0.0007603670485331134,,0.003191312427861267,100,0.4108021548500306,0.17415917520891178,0.0,False,False,True,0.13263825600017404,0.8989186464658414,0.42251451066485746,0.5347535526975333,144760336,latent+prefusion+distill+ce,addition,86.17,42.12,47.48,41.76,92.44,43.84,89.13,44.12,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260418_080704.pt
8x5gztrv,delulu-apr21,dfc2020,s2_rgb,s1,48.76,0.0004609737361015,,0.0025063908349521,100,0.4391510180403878,0.1427819161942331,0.0,False,False,True,0.1267019920526157,0.3698855110094194,0.7303287368278879,0.4129694314364507,142794256,latent+prefusion+distill+ce,peeking,84.10,46.99,58.93,41.63,92.27,53.68,88.17,50.24,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260420_184627.pt
lqnh0qd0,delulu-apr21,dfc2020,s2_rgb,s1,48.76,0.0004609737361015,,0.0025063908349521,100,0.4391510180403878,0.1427819161942331,0.0,False,False,True,0.1267019920526157,0.3698855110094194,0.7303287368278879,0.4129694314364507,142794256,latent+prefusion+distill+ce,peeking,84.22,46.95,56.47,42.28,92.12,51.78,88.16,48.34,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260420_184627.pt
iavvwatf,delulu-apr21,dfc2020,s2,s1,45.11,0.0003462018119882,,0.0006372365825795,100,0.2703635520334056,0.1870244171271878,0.0,False,False,True,0.2022943212095746,0.2826924859321525,0.7323736859538801,0.270463054923754,144760336,latent+prefusion+distill+ce,transfer,83.15,45.52,58.46,46.49,95.06,49.85,89.06,50.25,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260418_080316.pt
0x6935wx,delulu-apr21,dfc2020,s2,s1,45.11,0.0003462018119882,,0.0006372365825795,100,0.2703635520334056,0.1870244171271878,0.0,False,False,True,0.2022943212095746,0.2826924859321525,0.7323736859538801,0.270463054923754,144760336,latent+prefusion+distill+ce,transfer,82.66,44.50,58.65,48.20,94.96,48.87,88.79,48.69,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260418_080316.pt
vudvihuq,delulu-apr21,dfc2020,s1,s2,43.29,0.0004609737361015,,0.0025063908349521,100,0.4391510180403878,0.1427819161942331,0.0,False,False,True,0.1267019920526157,0.3698855110094194,0.7303287368278879,0.4129694314364507,144760336,latent+prefusion+distill+ce,peeking,86.52,47.08,48.47,41.61,92.60,45.31,89.52,44.69,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260418_080704.pt
u6fouwi6,delulu-apr21,dfc2020,s1,s2,43.29,0.0004609737361015,,0.0025063908349521,100,0.4391510180403878,0.1427819161942331,0.0,False,False,True,0.1267019920526157,0.3698855110094194,0.7303287368278879,0.4129694314364507,144760336,latent+prefusion+distill+ce,peeking,86.78,48.28,48.57,43.17,92.80,45.64,89.77,46.26,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260418_080704.pt
98bqvmd2,delulu-apr21,dfc2020,s1,s2,43.29,0.0004609737361015,,0.0025063908349521,100,0.4391510180403878,0.1427819161942331,0.0,False,False,True,0.1267019920526157,0.3698855110094194,0.7303287368278879,0.4129694314364507,144760336,latent+prefusion+distill+ce,peeking,86.20,45.09,48.43,42.11,92.79,44.64,89.41,44.22,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260418_080704.pt
