model_type,teacher_modality,student_modality,train_mode,learning_rate,weight_decay,trainable_params,epoch,temperature,alpha,distillation_mode,kl_type,metric_name,teacher_test_metric,test_metric,best_test_metric(oracle),best_epoch,best_val_agreement,ensemble_metric_logits,ensemble_metric_softmax,teacher_classifier_acc,supervised_classifier_acc,supervised_classifier_best_acc,saved_checkpoint,global_rep,teacher_checkpoint,init_from_teacher
evan_base,s2_rgb,s1,fft,0.001,0.01,85487635,20,0.5,1.0,regular,ttm,mAP,63.43,45.39,47.39,20,58.10,61.16,60.31,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,True
evan_base,s2_rgb,s2_norgb,fft,0.001,0.01,86863891,20,0.5,1.0,regular,ttm,mAP,63.43,57.90,57.92,20,71.70,63.67,63.38,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,True
evan_base,s2_rgb,s2_norgb,fft,0.0003,0.01,86863891,20,1.0,1.0,regular,ttm,mAP,63.43,59.45,59.48,20,72.30,64.05,63.84,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,True
evan_base,s2_rgb,s2_norgb,fft,0.001,0.01,86863891,20,2.0,1.0,regular,ttm,mAP,63.43,59.78,59.78,20,72.40,63.66,63.76,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,True
evan_base,s1,s2,fft,0.001,0.01,87453715,20,1.0,1.0,regular,kd,mAP,44.43,45.57,47.01,20,61.80,48.52,48.11,,,,,clstoken,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0001_20260913_195956.pt,True
evan_base,s1,s2,fft,0.0003,0.01,87453715,20,0.5,1.0,regular,kd,mAP,44.43,47.38,48.69,20,61.75,48.94,48.70,,,,,clstoken,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0001_20260913_195956.pt,True
evan_base,s1,s2,fft,0.0003,0.01,87453715,20,1.0,1.0,regular,kd,mAP,44.43,47.55,50.02,20,61.40,48.97,48.74,,,,,clstoken,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0001_20260913_195956.pt,True
evan_base,s2_rgb,s2_norgb,fft,0.001,0.01,86863891,20,1.0,1.0,regular,ttm,mAP,63.43,57.59,57.95,20,72.55,63.54,63.32,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,True
evan_base,s1,s2,fft,0.0003,0.01,87453715,20,0.5,1.0,regular,ttm,mAP,44.43,47.67,48.85,20,61.25,48.91,48.76,,,,,clstoken,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0001_20260913_195956.pt,True
evan_base,s1,s2,fft,0.001,0.01,87453715,20,0.5,1.0,regular,kd,mAP,44.43,45.52,48.51,20,60.55,48.40,48.17,,,,,clstoken,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0001_20260913_195956.pt,True
evan_base,s1,s2,fft,0.0003,0.01,87453715,20,1.0,1.0,regular,ttm,mAP,44.43,48.44,50.42,20,61.45,49.31,48.93,,,,,clstoken,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0001_20260913_195956.pt,True
evan_base,s1,s2,fft,0.0003,0.01,87453715,20,2.0,1.0,regular,kd,mAP,44.43,47.64,48.88,20,61.80,48.97,48.59,,,,,clstoken,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0001_20260913_195956.pt,True
evan_base,s1,s2,fft,0.0003,0.01,87453715,20,2.0,1.0,regular,ttm,mAP,44.43,46.10,46.87,20,61.25,48.65,48.27,,,,,clstoken,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0001_20260913_195956.pt,True
evan_base,s1,s2,fft,0.001,0.01,87453715,20,0.5,1.0,regular,ttm,mAP,44.43,45.42,47.93,20,60.45,48.34,48.10,,,,,clstoken,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0001_20260913_195956.pt,True
evan_base,s1,s2,fft,0.001,0.01,87453715,20,2.0,1.0,regular,kd,mAP,44.43,46.70,48.37,20,61.10,48.79,48.41,,,,,clstoken,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0001_20260913_195956.pt,True
evan_base,s1,s2,fft,0.001,0.01,87453715,20,1.0,1.0,regular,ttm,mAP,44.43,46.41,48.29,20,60.70,48.61,48.34,,,,,clstoken,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0001_20260913_195956.pt,True
evan_base,s1,s2,fft,0.001,0.01,87453715,20,2.0,1.0,regular,ttm,mAP,44.43,46.29,47.29,20,60.60,48.68,48.22,,,,,clstoken,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0001_20260913_195956.pt,True
evan_base,s2,s1,fft,0.0003,0.01,85487635,20,0.5,1.0,regular,kd,mAP,62.40,50.23,50.38,20,60.30,62.33,61.40,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_fft_lr0.0005_20260727_064647.pt,True
evan_base,s2,s1,fft,0.0003,0.01,85487635,20,1.0,1.0,regular,kd,mAP,62.40,50.51,51.30,20,62.50,62.13,62.00,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_fft_lr0.0005_20260727_064647.pt,True
evan_base,s2,s1,fft,0.0003,0.01,85487635,20,2.0,1.0,regular,kd,mAP,62.40,52.25,52.34,20,62.30,62.55,62.44,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_fft_lr0.0005_20260727_064647.pt,True
evan_base,s2,s1,fft,0.001,0.01,85487635,20,0.5,1.0,regular,kd,mAP,62.40,46.88,48.62,20,58.40,61.71,60.71,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_fft_lr0.0005_20260727_064647.pt,True
evan_base,s2,s1,fft,0.001,0.01,85487635,20,2.0,1.0,regular,kd,mAP,62.40,46.11,48.31,20,59.40,60.28,60.29,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_fft_lr0.0005_20260727_064647.pt,True
evan_base,s2,s1,fft,0.001,0.01,85487635,20,1.0,1.0,regular,kd,mAP,62.40,48.04,48.86,20,57.70,61.38,60.88,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_fft_lr0.0005_20260727_064647.pt,True
evan_base,s2,s1,fft,0.0003,0.01,85487635,20,0.5,1.0,regular,ttm,mAP,62.40,51.98,52.04,20,59.90,63.25,62.36,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_fft_lr0.0005_20260727_064647.pt,True
evan_base,s2,s1,fft,0.001,0.01,85487635,20,0.5,1.0,regular,ttm,mAP,62.40,46.48,49.87,20,57.60,61.95,60.94,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_fft_lr0.0005_20260727_064647.pt,True
evan_base,s2,s1,fft,0.0003,0.01,85487635,20,1.0,1.0,regular,ttm,mAP,62.40,52.29,52.32,20,62.05,62.25,62.17,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_fft_lr0.0005_20260727_064647.pt,True
evan_base,s2,s1,fft,0.0003,0.01,85487635,20,2.0,1.0,regular,ttm,mAP,62.40,51.27,51.44,20,63.00,62.56,61.89,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_fft_lr0.0005_20260727_064647.pt,True
evan_base,s2,s1,fft,0.001,0.01,85487635,20,2.0,1.0,regular,ttm,mAP,62.40,46.49,48.88,20,59.00,60.50,60.50,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_fft_lr0.0005_20260727_064647.pt,True
evan_base,s2,s1,fft,0.001,0.01,85487635,20,1.0,1.0,regular,ttm,mAP,62.40,45.19,48.36,20,57.25,61.03,60.20,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_fft_lr0.0005_20260727_064647.pt,True
