model_type,teacher_modality,student_modality,train_mode,learning_rate,weight_decay,trainable_params,epoch,temperature,alpha,distillation_mode,kl_type,metric_name,teacher_test_metric,test_metric,best_test_metric(oracle),best_epoch,best_val_agreement,ensemble_metric_logits,ensemble_metric_softmax,teacher_classifier_acc,supervised_classifier_acc,supervised_classifier_best_acc,saved_checkpoint,global_rep,teacher_checkpoint,init_from_teacher
evan_base,s1,s1+s2,fft,0.0005,0.01,148444161,64,2.0,1.0,regular,kd,RMSE,47.68,50.75,50.58,64,,nan,nan,,,,,clstoken,checkpoints/sft_evan_base_biomassters_s1_fft_lr0.0005_20260725_075947.pt,False
evan_base,s1,s1+s2,fft,0.0005,0.01,148444161,64,2.0,1.0,regular,ttm,RMSE,47.68,50.90,50.28,64,,nan,nan,,,,,clstoken,checkpoints/sft_evan_base_biomassters_s1_fft_lr0.0005_20260725_075947.pt,False
evan_base,s2,s2+s1,fft,0.0005,0.01,148444161,64,2.0,1.0,regular,kd,RMSE,43.59,46.77,46.75,64,,nan,nan,,,,,clstoken,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt,False
evan_base,s2,s2+s1,fft,0.0005,0.01,148444161,64,2.0,1.0,regular,ttm,RMSE,43.59,46.78,46.78,64,,nan,nan,,,,,clstoken,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt,False
evan_base,s2,s2+s1,fft,0.0001,0.01,148444161,64,2.0,1.0,regular,kd,RMSE,43.59,46.74,46.73,64,,nan,nan,,,,,clstoken,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt,False
evan_base,s2,s2+s1,fft,0.0001,0.01,148444161,64,2.0,1.0,regular,ttm,RMSE,43.59,46.80,46.74,64,,nan,nan,,,,,clstoken,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt,False
evan_base,s1,s1+s2,fft,0.0001,0.01,148444161,64,2.0,1.0,regular,kd,RMSE,47.68,50.58,50.07,64,,nan,nan,,,,,clstoken,checkpoints/sft_evan_base_biomassters_s1_fft_lr0.0005_20260725_075947.pt,False
evan_base,s1,s1+s2,fft,0.0001,0.01,148444161,64,2.0,1.0,regular,ttm,RMSE,47.68,50.61,50.28,64,,nan,nan,,,,,clstoken,checkpoints/sft_evan_base_biomassters_s1_fft_lr0.0005_20260725_075947.pt,False
