model_type,teacher_modality,student_modality,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,weight_decay,trainable_params,epoch,temperature,alpha,distillation_mode,kl_type,metric_name,teacher_test_metric,test_metric,best_test_metric(oracle),best_epoch,best_val_agreement,ensemble_metric_logits,ensemble_metric_softmax,teacher_classifier_acc,supervised_classifier_acc,supervised_classifier_best_acc,saved_checkpoint,global_rep,teacher_checkpoint,init_from_teacher
evan_base,s2_norgb,s2_rgb,fft,0,fft,5e-05,0.0,85675784,64,4.0,1.0,regular,ttm,mIoU,56.51,52.19,52.47,64,89.18,55.49,55.34,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260820_155433.pt,True
evan_base,s2_rgb,s2_norgb,fft,0,fft,5e-05,0.0,87052040,64,2.0,1.0,regular,ttm,mIoU,56.33,53.04,53.91,64,89.56,55.81,55.66,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260820_155339.pt,False
evan_base,s2_rgb,s2_norgb,fft,0,fft,0.0005,0.0,87052040,64,2.0,1.0,regular,ttm,mIoU,56.33,54.56,54.59,64,91.00,56.19,56.08,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260820_155339.pt,True
evan_base,s2_rgb,s2_norgb,fft,0,fft,0.0005,0.0,87052040,64,4.0,1.0,regular,ttm,mIoU,56.33,54.96,55.36,64,90.82,56.36,56.28,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260820_155339.pt,True
evan_base,s2_rgb,s2_norgb,fft,0,fft,0.0001,0.0,87052040,64,1.0,1.0,regular,kd,mIoU,56.33,53.96,54.06,64,89.76,56.35,56.24,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260820_155339.pt,False
evan_base,s1,s2_norgb,fft,0,fft,0.0005,0.01,87052040,64,1.0,1.0,regular,kd,mIoU,45.57,47.35,47.85,64,82.97,48.28,47.75,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260820_155657.pt,False
evan_base,s2_rgb,s2_norgb,fft,0,fft,5e-05,0.0,87052040,64,4.0,1.0,regular,ttm,mIoU,56.33,55.37,55.85,64,91.11,56.75,56.46,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260820_155339.pt,True
evan_base,s2_norgb,s2_rgb,fft,0,fft,0.0005,0.0,85675784,64,2.0,1.0,regular,ttm,mIoU,56.51,51.84,52.21,64,90.48,55.18,55.14,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260820_155433.pt,True
evan_base,s2_rgb,s2_norgb,fft,0,fft,0.0001,0.0,87052040,64,4.0,1.0,regular,ttm,mIoU,56.33,54.02,54.36,64,89.89,56.16,56.03,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260820_155339.pt,False
evan_base,s2_norgb,s2_rgb,fft,0,fft,0.0005,0.0,85675784,64,1.0,1.0,regular,ttm,mIoU,56.51,52.08,52.53,64,90.06,55.38,55.38,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260820_155433.pt,True
evan_base,s2_rgb,s2_norgb,fft,0,fft,0.0001,0.01,87052040,64,1.0,1.0,regular,ttm,mIoU,56.33,54.97,55.39,64,91.12,56.40,56.35,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260820_155339.pt,True
evan_base,s2_rgb,s2_norgb,fft,0,fft,0.0001,0.01,87052040,64,4.0,1.0,regular,ttm,mIoU,56.33,53.74,53.96,64,89.98,55.97,55.83,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260820_155339.pt,False
evan_base,s2_norgb,s2_rgb,fft,0,fft,0.0005,0.0,85675784,64,4.0,1.0,regular,ttm,mIoU,56.51,51.88,52.77,64,90.41,55.09,55.13,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260820_155433.pt,True
evan_base,s2_norgb,s2_rgb,fft,0,fft,5e-05,0.01,85675784,64,2.0,1.0,regular,kd,mIoU,56.51,51.66,51.81,64,89.55,55.19,55.10,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260820_155433.pt,True
evan_base,s2_rgb,s2_norgb,fft,0,fft,0.0005,0.01,87052040,64,4.0,1.0,regular,kd,mIoU,56.33,55.29,55.69,64,91.02,56.55,56.49,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260820_155339.pt,True
evan_base,s2_norgb,s2_rgb,fft,0,fft,5e-05,0.0,85675784,64,1.0,1.0,regular,kd,mIoU,56.51,50.91,51.43,64,89.62,55.28,54.95,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260820_155433.pt,True
evan_base,s2_norgb,s2_rgb,fft,0,fft,0.0001,0.01,85675784,64,2.0,1.0,regular,ttm,mIoU,56.51,48.38,49.06,64,85.75,54.46,54.19,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260820_155433.pt,False
evan_base,s2_rgb,s2_norgb,fft,0,fft,0.0005,0.0,87052040,64,2.0,1.0,regular,kd,mIoU,56.33,54.37,54.65,64,90.24,56.43,56.38,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260820_155339.pt,False
evan_base,s2_norgb,s2_rgb,fft,0,fft,0.0001,0.01,85675784,64,4.0,1.0,regular,ttm,mIoU,56.51,48.23,49.09,64,86.03,53.73,53.76,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260820_155433.pt,False
evan_base,s2_norgb,s2_rgb,fft,0,fft,0.0001,0.0,85675784,64,4.0,1.0,regular,ttm,mIoU,56.51,48.49,48.81,64,85.81,54.27,54.11,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260820_155433.pt,False
evan_base,s2_norgb,s2_rgb,fft,0,fft,0.0005,0.01,85675784,64,4.0,1.0,regular,kd,mIoU,56.51,52.46,52.97,64,90.61,55.39,55.40,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260820_155433.pt,True
evan_base,s2_rgb,s2_norgb,fft,0,fft,0.0001,0.01,87052040,64,4.0,1.0,regular,kd,mIoU,56.33,54.86,55.76,64,91.43,56.29,56.25,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260820_155339.pt,True
evan_base,s2_rgb,s2_norgb,fft,0,fft,5e-05,0.01,87052040,64,2.0,1.0,regular,kd,mIoU,56.33,54.87,55.41,64,90.84,56.41,56.40,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260820_155339.pt,True
evan_base,s2_norgb,s2_rgb,fft,0,fft,0.0005,0.01,85675784,64,1.0,1.0,regular,kd,mIoU,56.51,49.83,50.32,64,86.63,55.13,54.89,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260820_155433.pt,False
evan_base,s2_norgb,s2_rgb,fft,0,fft,0.0001,0.01,85675784,64,4.0,1.0,regular,kd,mIoU,56.51,52.30,52.53,64,90.34,55.56,55.28,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260820_155433.pt,True
evan_base,s2_norgb,s2_rgb,fft,0,fft,0.0005,0.0,85675784,64,2.0,1.0,regular,kd,mIoU,56.51,49.30,49.77,64,87.56,54.58,54.42,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260820_155433.pt,False
evan_base,s2_norgb,s2_rgb,fft,0,fft,0.0001,0.0,85675784,64,1.0,1.0,regular,kd,mIoU,56.51,48.79,49.44,64,86.01,55.06,54.63,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260820_155433.pt,False
evan_base,s2_norgb,s2_rgb,fft,0,fft,5e-05,0.0,85675784,64,2.0,1.0,regular,ttm,mIoU,56.51,48.10,48.29,64,86.02,54.42,54.12,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260820_155433.pt,False
evan_base,s2_rgb,s2_norgb,fft,0,fft,0.0005,0.0,87052040,64,1.0,1.0,regular,ttm,mIoU,56.33,54.79,55.40,64,90.86,56.53,56.53,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260820_155339.pt,True
evan_base,s2_norgb,s2_rgb,fft,0,fft,0.0001,0.01,85675784,64,1.0,1.0,regular,ttm,mIoU,56.51,51.89,52.06,64,89.96,55.60,55.28,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260820_155433.pt,True
