model_type,teacher_modality,student_modality,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,weight_decay,trainable_params,epoch,temperature,alpha,distillation_mode,kl_type,metric_name,teacher_test_metric,test_metric,best_test_metric(oracle),best_epoch,best_val_agreement,ensemble_metric_logits,ensemble_metric_softmax,teacher_classifier_acc,supervised_classifier_acc,supervised_classifier_best_acc,saved_checkpoint,global_rep,teacher_checkpoint,init_from_teacher
evan_base,s2_rgb,s2_norgb,fft,0,fft,0.0001,0.01,87052040,64,1.0,1.0,regular,ttm,mIoU,59.01,55.31,55.87,64,89.29,58.39,58.39,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260821_192848.pt,True
evan_base,s1,s2_norgb,fft,0,fft,0.0005,0.0,87052040,64,2.0,1.0,regular,ttm,mIoU,49.05,47.77,49.18,64,82.20,50.80,50.38,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,True
evan_base,s2_norgb,s2_rgb,fft,0,fft,0.0005,0.01,85675784,64,4.0,1.0,regular,kd,mIoU,63.59,50.89,51.10,64,83.43,59.20,59.17,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260821_194419.pt,True
evan_base,s2_rgb,s2_norgb,fft,0,fft,5e-05,0.0,87052040,64,4.0,1.0,regular,ttm,mIoU,59.01,55.60,55.85,64,88.47,58.45,58.41,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260821_192848.pt,True
evan_base,s2_rgb,s2_norgb,fft,0,fft,0.0005,0.01,87052040,64,4.0,1.0,regular,kd,mIoU,59.01,55.96,56.37,64,88.86,58.58,58.57,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260821_192848.pt,True
evan_base,s2_norgb,s2_rgb,fft,0,fft,0.0005,0.0,85675784,64,1.0,1.0,regular,ttm,mIoU,63.59,49.41,49.91,64,83.32,59.88,59.97,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260821_194419.pt,True
evan_base,s2_norgb,s2_rgb,fft,0,fft,5e-05,0.0,85675784,64,4.0,1.0,regular,ttm,mIoU,63.59,49.02,49.53,64,82.12,58.53,58.22,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260821_194419.pt,True
evan_base,s2_rgb,s2_norgb,fft,0,fft,0.0005,0.0,87052040,64,2.0,1.0,regular,ttm,mIoU,59.01,55.32,56.01,64,89.01,58.31,58.29,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260821_192848.pt,True
evan_base,s2_norgb,s2_rgb,fft,0,fft,0.0005,0.0,85675784,64,2.0,1.0,regular,ttm,mIoU,63.59,49.66,50.15,64,83.20,58.80,58.73,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260821_194419.pt,True
evan_base,s1,s2_norgb,fft,0,fft,0.0001,0.0,126387720,64,1.0,1.0,regular,kd,mIoU,49.05,50.15,51.34,64,84.10,51.27,50.97,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,False
