model_type,teacher_modality,student_modality,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,trainable_params,epoch,temperature,alpha,distillation_mode,kl_type,metric_name,teacher_test_metric,test_metric,best_test_metric(oracle),best_epoch,best_val_agreement,ensemble_metric_logits,ensemble_metric_softmax,teacher_classifier_acc,supervised_classifier_acc,supervised_classifier_best_acc,saved_checkpoint,global_rep,teacher_checkpoint,init_from_teacher
evan_large,swir,s2,fft,0,fft,0.001,305785866,16,0.5,1.0,regular,ttm,Acc,95.57,92.74,92.74,16,,96.19,96.13,,,,,clstoken,checkpoints/sft_evan_large_eurosat_swir_fft_lr0.0005_20260418_042950.pt,True
evan_large,swir,s2,fft,0,fft,0.001,305785866,16,1.0,1.0,regular,ttm,Acc,95.57,92.54,94.76,16,,96.33,96.17,,,,,clstoken,checkpoints/sft_evan_large_eurosat_swir_fft_lr0.0005_20260418_042950.pt,True
