wandb_run_id,wandb_project,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,modality_dropout_startmod,modality_dropout_newmod,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,unprotect_starting_mod,lambda_latent,lambda_prefusion,lambda_distill,mae_mask_ratio,trainable_params,active_losses,select_by,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint
om4bi189,delulu-benv2-masking-s1s2,benv2,s1,s2,49.23,0.00035786941938496656,,0.0002597297159086545,64,0.3,0.3130684476036157,0.3810882732541395,0.2860887209857802,0.0,0.5,False,True,False,0.2411544788927576,0.4054881928140466,0.7112373705735591,0.32855349075602713,144580646,latent+prefusion+distill+ce,,68.30,51.87,52.55,48.00,78.60,49.85,73.03,49.41,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
u68lify2,delulu-benv2-masking-s1s2,benv2,s1,s2,49.23,0.00011198509127239358,,6.82599040928653e-05,64,0.3,0.1213567876692554,0.18353838691514615,0.16072820117940856,0.0,0.5,False,True,False,0.2652005711561142,0.90823276665438,0.5008162346854713,0.3894104121313191,144580646,latent+prefusion+distill+ce,,66.15,51.46,52.94,48.92,74.85,50.50,69.75,51.05,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
kklgnmw1,delulu-benv2-masking-s1s2,benv2,s1,s2,49.23,1.856661480363346e-05,,0.044033830305212816,64,0.3,0.2405725587574127,0.2379038122928556,0.34396283726656307,0.0,0.0,False,True,False,0.05947035367083982,0.3238717470624482,0.9309427151054692,0.5072667596128015,144580646,latent+prefusion+distill+ce,,63.25,48.97,52.38,47.92,75.60,48.98,67.47,49.76,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
ibbhz9h5,delulu-benv2-masking-s1s2,benv2,s1,s2,49.23,0.0007340839362592663,,4.948726360052043e-05,64,0.3,0.10355117786791342,0.30048840883468086,0.13102758100482084,0.0,1.0,False,True,False,0.23317415525348695,0.5390049379471571,0.7584161744089359,0.288714760418446,144580646,latent+prefusion+distill+ce,,63.75,49.91,53.72,48.34,77.75,49.14,70.47,50.57,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
wg1msnjy,delulu-benv2-masking-s1s2,benv2,s1,s2,49.23,9.949363303803828e-05,,2.108204847227886e-05,64,0.3,0.25657750756010145,0.497192640862942,0.14984189133495374,0.0,0.0,False,True,True,0.2819088038503509,0.5541786098481106,0.7626966521130601,0.2773739272861388,144580646,latent+prefusion+distill+ce,,63.15,51.07,53.11,50.09,79.95,50.58,70.85,53.13,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
7wtgxdr1,delulu-benv2-masking-s1s2,benv2,s1,s2,49.23,0.000569419255611955,,0.010505751163587124,64,0.3,0.261480216715984,0.12972753868055908,0.2075036706204302,0.0,0.5,False,True,False,0.2722473178383554,0.6748244041322058,0.3674486641637412,0.5249267122008017,144580646,latent+prefusion+distill+ce,,68.70,51.86,52.40,47.72,77.80,49.48,73.25,50.07,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
wqc2xjij,delulu-benv2-masking-s1s2,benv2,s1,s2,49.23,0.0003966718701263373,,0.000590775795096382,64,0.3,0.1488519569289157,0.4398696116012,0.4565541165728996,0.0,0.0,False,True,True,0.2840623473709766,0.7910321473377295,0.7888907195224494,0.2617509042694018,144580646,latent+prefusion+distill+ce,,57.95,47.83,53.47,49.49,75.25,50.19,63.88,49.46,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
a9iff5jq,delulu-benv2-masking-s1s2,benv2,s1,s2,49.23,0.00016599170820931535,,0.0016759695446436876,64,0.3,0.4861893142472607,0.28144154883309513,0.3200272336314317,0.0,0.0,False,True,False,0.08002230033938539,0.7803960337108928,0.6361831696516571,0.6908496993253145,144580646,latent+prefusion+distill+ce,,66.60,51.95,53.37,50.00,73.70,51.32,67.88,53.18,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
wydmgp5t,delulu-benv2-masking-s1s2,benv2,s1,s2,49.23,0.0003873613327309809,,0.01969219218625856,64,0.3,0.35606338319659336,0.2932985525262638,0.18448695712593355,0.0,0.5,False,True,False,0.2952712946479797,0.5508190896198393,0.5892397608070381,0.6659865744162226,144580646,latent+prefusion+distill+ce,,67.90,52.44,52.58,47.87,75.40,51.33,71.50,51.05,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
da95vuhx,delulu-benv2-masking-s1s2,benv2,s1,s2,49.23,1.4685177008260111e-05,,0.04747130570062641,64,0.3,0.48412878257490966,0.2730078557400041,0.26796458761821534,0.0,0.5,False,True,False,0.26555058626768197,0.6812769816626844,0.4686202450051129,0.3677774783118219,144580646,latent+prefusion+distill+ce,,59.75,47.79,52.77,48.36,76.50,46.31,66.12,50.37,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
