wandb_run_id,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,lambda_latent,lambda_prefusion,lambda_distill,trainable_params,active_losses,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint,shote2e_checkpoint
jh1w4dcq,benv2,s2,s1,61.28,0.00024996619074025265,1.0,0.0010414970914954837,100,0.2586620733023437,0.1385673981260164,0.5,False,True,True,0.48670760660698464,0.07201461311817914,0.39154789037511895,151668518,distill+latent+ce,38.38,48.16,65.85,61.20,60.16,60.65,48.74,61.84,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,checkpoints/sweep_jh1w4dcq_0502_0157.pt
ah3z9mqi,benv2,s2,s1,61.28,0.00032664323386591724,1.0,0.05156396035720587,100,0.22331601486890676,0.4971342017484367,0.5,False,False,True,0.32571917024899605,0.4696984234767113,0.9843670352304384,151668518,distill+latent+prefusion+ce,33.45,50.33,65.00,61.38,64.41,61.41,48.82,62.96,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,checkpoints/sweep_ah3z9mqi_0502_0157.pt
h5rnbuee,benv2,s2,s1,61.28,1.5414495357100596e-05,1.0,0.04445199672154262,100,0.2009617911354517,0.41853696476964575,0.5,False,False,True,0.4710665533772572,0.1629307340062338,0.6730238171935895,151668518,distill+latent+ce,33.88,45.22,67.20,62.82,59.89,61.78,46.88,61.87,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,checkpoints/sweep_h5rnbuee_0502_0157.pt
pjgsudeo,benv2,s2,s1,61.28,9.93068576165212e-05,1.0,3.3656061333363665e-05,100,0.4061624166705182,0.24935134718171037,0.5,False,False,True,0.41399416835951175,0.4999630810203499,0.8484302578776862,151668518,distill+latent+prefusion+ce,36.50,47.76,66.14,61.31,63.69,60.20,50.10,59.34,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,checkpoints/sweep_pjgsudeo_0502_0158.pt
9e4kz26d,benv2,s2,s1,61.28,0.0005829583894916611,1.0,0.009372827831797707,100,0.3116498582122636,0.3999709272148107,0.5,False,False,True,0.32732800618775215,0.8058852491948092,0.8365286211015566,151668518,distill+latent+prefusion+ce,35.35,48.16,64.92,61.44,64.40,61.33,49.87,62.17,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,checkpoints/sweep_9e4kz26d_0502_0158.pt
z7bv7jtn,benv2,s2,s1,61.28,0.00020553593755721835,1.0,1.872736496764645e-05,100,0.2478026931469405,0.4926418892628658,0.5,False,False,True,0.31540242233699256,0.41404361108120014,0.4428476868683171,151668518,distill+latent+ce,37.14,47.77,65.50,60.19,60.06,60.03,45.40,60.58,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,checkpoints/sweep_z7bv7jtn_0502_0158.pt
471m8dga,benv2,s2,s1,61.28,1.8036738410859156e-05,1.0,0.008009697012776831,100,0.10710391923099066,0.15741388410124985,0.5,False,True,True,0.29066445068149294,0.06801577673216941,0.9177470755980774,151668518,distill+latent+ce,35.53,43.91,66.26,61.97,59.61,61.36,47.38,62.22,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,checkpoints/sweep_471m8dga_0502_0158.pt
n8umrws7,benv2,s2,s1,61.28,6.659401837806244e-05,1.0,0.03941083882097715,100,0.24006709362256964,0.45936735663018535,0.5,False,False,True,0.4519110958523736,0.7276519862938731,0.8419723212241993,151668518,distill+latent+ce,38.47,46.94,66.87,61.09,56.46,58.80,47.47,59.97,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,checkpoints/sweep_n8umrws7_0502_0158.pt
xq9lbee8,benv2,s2,s1,61.28,1.0543870516631968e-05,1.0,0.008749399753940913,100,0.4021006041047317,0.3975421700760282,0.5,False,False,True,0.4163602559129156,0.5430521846998986,0.4549931887037586,151668518,distill+latent+ce,32.78,43.02,66.37,61.79,61.78,61.68,47.15,60.09,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,checkpoints/sweep_xq9lbee8_0502_0158.pt
vqerpxci,benv2,s2,s1,61.28,6.277065675747593e-05,1.0,0.025598915151444104,100,0.44689180974039655,0.41822616418901104,0.5,False,False,True,0.13964417304534138,0.13018474921104473,0.5223525841056617,151668518,distill+latent+ce,38.12,45.55,66.04,61.57,60.16,61.13,47.79,61.16,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,checkpoints/sweep_vqerpxci_0502_0159.pt
8f8r7u7x,benv2,s2,s1,61.28,0.0006535627404898598,1.0,0.056105249407185115,100,0.3123706596970317,0.321253104085893,0.5,False,False,True,0.36771202123944974,0.7878216641937476,0.7304654833395353,151668518,distill+latent+ce,36.89,47.01,65.96,62.66,59.06,58.23,46.24,61.55,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,checkpoints/sweep_8f8r7u7x_0502_0159.pt
pliy5a5g,benv2,s2,s1,61.28,2.3270565789267416e-05,1.0,0.0005056516873117939,100,0.4874023054922024,0.201374091080017,0.5,False,False,True,0.45492586114253686,0.007830355519257703,0.9258343217938972,151668518,distill+latent+ce,34.62,45.43,66.53,61.26,58.17,60.30,46.39,60.40,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,checkpoints/sweep_pliy5a5g_0502_0159.pt
khpgx5o2,benv2,s2,s1,61.28,0.00013809921823405334,1.0,3.5034855054509656e-05,100,0.2690071565819163,0.30221802412017695,0.5,False,False,True,0.44121963474008247,0.34535043072649096,0.6537731921716524,151668518,distill+latent+prefusion+ce,37.32,46.32,66.05,61.30,64.47,61.33,50.64,60.46,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,checkpoints/sweep_khpgx5o2_0502_0159.pt
yp4w90hp,benv2,s2,s1,61.28,0.0004575940265532725,1.0,0.016921387108124464,100,0.15775652281074926,0.20938130353581777,0.5,False,False,True,0.21651528155147487,0.6234993792601012,0.9891875401697944,151668518,distill+latent+prefusion+ce,32.36,49.95,65.47,60.75,64.09,60.94,47.29,62.13,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,checkpoints/sweep_yp4w90hp_0502_0159.pt
k3nvqd3r,benv2,s2,s1,61.28,9.439428501144106e-05,1.0,0.0005432246995196008,100,0.3312593432208045,0.33058618558142056,0.5,False,False,True,0.4881923477927956,0.5638451169054964,0.04395798004878393,151668518,distill+latent+ce,40.31,48.09,67.00,61.93,57.89,61.84,49.10,59.96,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,checkpoints/sweep_k3nvqd3r_0502_0200.pt
cb2kbhc1,benv2,s2,s1,61.28,3.769043497651312e-05,1.0,0.0011675410250448458,100,0.3206537293116467,0.24940669230637535,0.5,False,False,True,0.335556866167664,0.022856239254065325,0.8388753021079871,151668518,distill+latent+prefusion+ce,36.53,46.61,66.31,61.25,60.51,60.19,48.18,60.30,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,checkpoints/sweep_cb2kbhc1_0502_0200.pt
ueemjgo1,benv2,s2,s1,61.28,3.264723911425784e-05,1.0,0.0015807503951674037,100,0.3153643746216646,0.2871003641115833,0.5,False,False,True,0.09602407026647802,0.6644098980511757,0.06736879552170683,151668518,distill+latent+prefusion+ce,39.51,46.23,67.24,61.81,64.82,61.85,52.14,61.86,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,checkpoints/sweep_ueemjgo1_0502_0200.pt
5qf1q7lu,benv2,s2,s1,61.28,0.00018886978536423744,1.0,0.0977308169068333,100,0.26631775623118303,0.1938435000368545,0.5,False,False,True,0.0170521096835336,0.6787166735929329,0.7385523538630098,151668518,distill+latent+prefusion+ce,35.02,51.13,65.42,61.16,64.28,61.27,49.10,62.59,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,checkpoints/sweep_5qf1q7lu_0502_0200.pt
5nhb63ls,benv2,s2,s1,61.28,0.00030252287634450955,1.0,0.005585353481309428,100,0.1873330655476231,0.18557075663772624,0.5,False,False,True,0.18383383739961312,0.5397001710320533,0.008794022373227905,151668518,distill+latent+prefusion+ce,40.63,49.59,66.63,61.85,65.40,62.01,52.78,61.77,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,checkpoints/sweep_5nhb63ls_0502_0200.pt
cxtw17qm,benv2,s2,s1,61.28,5.052467942742826e-05,1.0,0.050840139479199305,100,0.2626184618294011,0.35957245978212937,0.5,False,False,True,0.4330348532895873,0.004207953070585857,0.2777235260295845,151668518,distill+latent+ce,39.08,47.08,67.33,61.77,58.35,60.00,48.41,58.08,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,checkpoints/sweep_cxtw17qm_0502_0200.pt
