slug,run,teacher_test,val_addition,val_peeking,val_transfer,test_addition,test_peeking,test_transfer,test_ens,lr,weight_decay,lambda_latent,lambda_prefusion,lambda_distill,token_mask_ratio,labeled_frequency,modality_dropout_startmod,modality_dropout_newmod
s1_to_s2norgb,7grjktx5,49.04692813833418,89.14187665401559,47.077866771637304,82.96671900255927,49.80121171550017,48.09880381187526,49.413582685537136,50.4450693813108,2.0935827087890986e-05,0.0001542366251285835,0.26311158723619943,0.28020607166046374,0.6165620032836211,0.23836312757255465,0.45574923736136375,0.2518844877345392,0.18230421705818323
s1_to_s2norgb,mzhfi9ho,49.04692813833418,88.92243483970906,47.62831361819806,84.73260039973694,51.83020376444219,48.45182209146029,50.18897820437213,50.268257189236735,0.00018019413570356956,2.3512278667998166e-05,3.5982679673217737,0.4197040236899104,0.761052230452189,0.5592700880177054,0.26899191787276333,0.28162722034981585,0.2756465747135969
s1_to_s2norgb,epm2e6x5,49.04692813833418,85.08544055250063,46.585306752158054,65.91698141659008,46.96550864727533,46.03276546391116,43.00216080329983,46.70324062808698,3.674235556163392e-05,0.000203036242874838,2.181763416754496,0.9228843107532644,0.008172507369573867,0.6110195139295387,0.12503365066353275,0.21509745793548551,0.3434418136028252
s1_to_s2norgb,ksn76yqm,49.04692813833418,89.47487419081992,46.65239109462766,84.69786731031313,50.89894873771995,47.87401672716388,47.876288718726435,49.72549906338497,0.00016300095691955155,0.00041557587619523193,1.631753169879595,0.40282877189798927,0.8899616158274917,0.4876839094058888,0.3074359621436514,0.2366857437335033,0.39175984731469526
s1_to_s2norgb,0wo06mc3,49.04692813833418,90.11716088223407,48.087615857267785,83.96221416233519,50.958242862107085,49.56265229414647,49.4694371820321,50.87412393600231,0.00017773852542823265,3.147585171756942e-05,0.7438026753306193,0.6892804448395538,0.9975323815428816,0.34716291049300496,0.3249569884812143,0.18800391317828505,0.3669603295095626
s1_to_s2norgb,vzd137sz,49.04692813833418,87.29252070490777,48.52515294240057,82.57440408393288,50.874921225265155,48.79011785613401,46.60025637147862,49.630114920141345,6.89504061552903e-05,1.2014350883067316e-05,4.193976786035554,0.8402195225801019,0.9725616519075464,0.4446880770827314,0.3773167903196921,0.22071156454773755,0.4382779183997289
s1_to_s2norgb,j9zgio4o,49.04692813833418,86.43273901020538,47.54353385152077,84.13017226522882,49.63660778883878,48.15032022737629,48.22054967395443,50.57640151193916,6.105105991375754e-05,0.00014730626698512502,0.8938292016759203,0.9561001162146834,0.6140184526037535,0.7411702593736623,0.2329826497311875,0.27786415606726766,0.2394236937522204
s1_to_s2norgb,mxkb20ec,49.04692813833418,84.97024752789046,46.96330471200747,83.60606535936708,48.227007570971814,48.41132805547908,48.10225717747261,47.8101130965712,6.963619785839239e-05,0.0008811380452195161,2.0332893596296624,0.5290272849865121,0.4585463665322368,0.7024131355248348,0.327646487652279,0.25812622930051665,0.19756936454520033
s1_to_s2norgb,invf9yht,49.04692813833418,89.31745177108424,48.750178384325245,83.35441604830915,52.39374467949765,49.43558293176304,48.48253909419442,50.65540320308188,0.0003571391594173471,4.2436144077863706e-05,0.6373866941119477,0.3531407285076238,0.5800172652576316,0.6882262165386618,0.3160806325908698,0.19532802147651585,0.24106480568056424
s1_to_s2norgb,9ttb158p,49.04692813833418,86.70638821429704,48.06936569704324,83.19728456694504,50.684162630244934,48.62154033918555,47.9180848761751,49.91989651333093,0.0001309355533061429,0.000289313555888017,2.041443852371448,0.06041173785098686,0.3641180012279609,0.43649843051729664,0.39702236604897045,0.18424164953764768,0.18142272561595468
s1_to_s2norgb,9oq0jsox,49.04692813833418,89.42487921724455,48.56122433824055,74.78294759444726,50.783811767366736,49.36524712442797,44.849265964569824,49.20228609411008,1.8900072893540557e-05,0.0006831011257253686,4.974768899048447,0.18833162226700528,0.9709859290207248,0.15369317587121578,0.10187866807979908,0.10729976332190182,0.22361414999265256
