wandb_run_id,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,lambda_latent,lambda_prefusion,lambda_distill,trainable_params,active_losses,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint,shote2e_checkpoint
7t0e4jxx,dfc2020,s1,s2,43.29,1.885432967851212e-05,1.0,0.00012921892765569467,100,0.3209131871396833,0.3986824748036259,0.5,False,False,True,0.12839481249003026,0.9451608671733972,0.0445844424619275,151848208,distill+latent+prefusion+ce,41.03,48.97,47.89,43.38,46.29,43.24,43.59,46.00,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260418_080704.pt,checkpoints/sweep_7t0e4jxx_0502_0749.pt
pgtrf2oe,dfc2020,s1,s2,43.29,1.4537141822293802e-05,1.0,0.07266786217552827,100,0.4684243907986415,0.3974580878326171,0.5,False,False,True,0.1565431387985027,0.913846598552884,0.6607527060961197,151848208,distill+latent+prefusion+ce,40.77,47.11,48.30,42.87,46.50,42.76,43.46,46.07,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260418_080704.pt,checkpoints/sweep_pgtrf2oe_0502_0749.pt
3wgzev2n,dfc2020,s1,s2,43.29,3.800196210728472e-05,1.0,8.17001432503143e-05,100,0.29098688182183935,0.2014457866093987,0.5,False,False,True,0.2574767926140045,0.1237987791457008,0.6827779409845411,151848208,distill+latent+prefusion+ce,41.71,40.90,48.19,43.48,46.68,44.40,43.88,43.99,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260418_080704.pt,checkpoints/sweep_3wgzev2n_0502_0749.pt
z4v0jltq,dfc2020,s1,s2,43.29,0.0001028844462984136,1.0,0.07656182051585092,100,0.2207158235653502,0.2900432084721285,0.5,False,False,True,0.2249849736130673,0.05544922844764477,0.6642471625347595,151848208,distill+latent+prefusion+ce,41.49,46.91,47.96,43.98,47.02,45.29,44.24,45.90,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260418_080704.pt,checkpoints/sweep_z4v0jltq_0502_0749.pt
oj8bojwb,dfc2020,s1,s2,43.29,1.1222410289667768e-05,1.0,0.001236824125155896,100,0.25250673749678043,0.3594304101089111,0.5,False,False,True,0.28708608886538584,0.060183017019538765,0.7855436251615373,151848208,distill+latent+prefusion+ce,40.90,45.60,47.74,42.22,45.36,42.88,43.11,45.99,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260418_080704.pt,checkpoints/sweep_oj8bojwb_0502_0749.pt
krcgpctf,dfc2020,s1,s2,43.29,0.00023038034589010025,1.0,0.004760478016955568,100,0.3420455440631466,0.3208850703344268,0.5,False,False,True,0.27060210462843626,0.8432385015008004,0.9137346743491096,151848208,distill+latent+prefusion+ce,41.94,48.90,48.34,42.10,47.57,44.67,44.67,48.13,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260418_080704.pt,checkpoints/sweep_krcgpctf_0502_0749.pt
k7lutl7q,dfc2020,s1,s2,43.29,2.0463091130808263e-05,1.0,0.014413494751714506,100,0.4393048798574135,0.42192728556451786,0.5,False,False,True,0.4060872574397564,0.9082195019918065,0.8428550558454088,151848208,distill+latent+prefusion+ce,40.85,45.07,47.86,42.88,47.02,42.56,43.83,44.63,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260418_080704.pt,checkpoints/sweep_k7lutl7q_0502_0750.pt
gpcekg55,dfc2020,s1,s2,43.29,0.0002206280891970829,1.0,0.04109191935856779,100,0.44458858761312137,0.1673856334177709,0.5,False,False,True,0.3344718706911543,0.003549828518414233,0.39186443832472406,151848208,distill+latent+prefusion+ce,40.95,46.58,48.24,38.78,45.73,39.74,43.08,41.42,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260418_080704.pt,checkpoints/sweep_gpcekg55_0502_0751.pt
y3jy0s4f,dfc2020,s1,s2,43.29,0.00099559339250573,1.0,0.04371243269977967,100,0.18010668318759843,0.2515023525891127,0.5,False,False,True,0.29042439933347025,0.638667830489641,0.26535549040221873,151848208,distill+latent+prefusion+ce,39.36,45.00,48.14,41.89,45.76,39.12,42.52,44.61,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260418_080704.pt,checkpoints/sweep_y3jy0s4f_0502_0751.pt
q6g0ih1j,dfc2020,s1,s2,43.29,2.1663810556256116e-05,1.0,0.01497662703550752,100,0.3656301544480898,0.43942544762233815,0.5,False,False,True,0.12894761874215094,0.07565244662214854,0.3433160028006833,151848208,distill+latent+prefusion+ce,41.48,49.22,48.28,43.60,46.89,41.98,44.18,47.20,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260418_080704.pt,checkpoints/sweep_q6g0ih1j_0502_0751.pt
