wandb_run_id,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,mask_ratio,modality_dropout,labeled_frequency,labeled_start_fraction,dyn_teacher,lambda_latent,lambda_prefusion,lambda_distill,trainable_params,active_losses,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint,shote2e_checkpoint
r5ej05p2,benv2,s2,s1,61.47,0.00015292713479281598,10.0,0.000622544928902762,64,0.6806959323991093,0.4765985694780005,0.6844000513239119,0.5,True,0.3292344518817649,0.6228880057011761,0.7900331905727637,163872550,prefusion+distill+latent+ce,36.54,49.24,66.88,61.51,63.70,61.61,50.06,62.55,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260417_062121.pt,checkpoints/sweep_r5ej05p2_0419_2354.pt
c67l30v8,benv2,s2,s1,61.47,0.0008989362920805383,10.0,0.00010209937149152142,64,0.3629617625843612,0.12302120142160652,0.3904058458416808,0.5,False,0.3318348583162629,0.5997709880578526,0.951194148580633,163872550,prefusion+distill+latent+ce,33.00,42.58,64.60,59.33,58.23,60.51,44.94,60.45,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260417_062121.pt,checkpoints/sweep_c67l30v8_0419_2356.pt
l4w3aexa,benv2,s2,s1,61.47,0.00013594448294804366,5.0,0.030063597117919793,64,0.47529346729615973,0.4585983389288295,0.3537654698533492,0.5,False,0.8379656947684733,0.445700983283442,0.17419362275039718,163872550,prefusion+distill+latent+ce,36.83,51.09,66.29,63.82,64.18,62.99,50.42,63.32,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260417_062121.pt,checkpoints/sweep_l4w3aexa_0420_0002.pt
mb9ed0xk,benv2,s2,s1,61.47,8.75531572031598e-05,10.0,0.004256722158721835,64,0.218385737514683,0.2269906369171776,0.5047253172268339,0.5,True,0.10784983369048272,0.8398100155151266,0.8844618690468637,163872550,prefusion+distill+latent+ce,35.23,46.37,66.65,62.64,65.44,63.08,50.33,63.83,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260417_062121.pt,checkpoints/sweep_mb9ed0xk_0420_0012.pt
eyvrnvox,benv2,s2,s1,61.47,0.0008565522313394389,5.0,0.00706010849007725,64,0.6215432852001095,0.3769706116618239,0.5340733274426251,0.5,False,0.6434104710848789,0.17491748453913158,0.22216028045911151,163872550,prefusion+distill+latent+ce,34.82,43.80,65.17,61.47,47.51,52.02,40.93,59.65,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260417_062121.pt,checkpoints/sweep_eyvrnvox_0420_0018.pt
yb58bzo2,benv2,s2,s1,61.47,0.0001350677000425517,5.0,9.94351024013462e-05,64,0.8464621520493146,0.1685467061469276,0.3639679438771563,0.5,False,0.8111290345294202,0.1064780412189238,0.09729588109569733,163872550,prefusion+distill+latent+ce,37.00,51.41,66.29,63.46,57.38,62.15,45.61,63.81,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260417_062121.pt,checkpoints/sweep_yb58bzo2_0420_0020.pt
nniin9u9,benv2,s2,s1,61.47,0.0005660482323083104,5.0,4.078537122242985e-05,64,0.20126932177460952,0.3903595131117884,0.5306264370234158,0.5,False,0.8707662553555355,0.6430089198364629,0.5848066786013749,163872550,prefusion+distill+latent+ce,35.70,47.32,65.57,61.01,62.39,61.74,48.86,60.80,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260417_062121.pt,checkpoints/sweep_nniin9u9_0420_0026.pt
z2ims1w1,benv2,s2,s1,61.47,0.000451785236646339,5.0,0.008120359134121506,64,0.3546158719810161,0.3052849189114886,0.5663862778819309,0.5,True,0.8658469838389778,0.238693558364666,0.7348487554246349,163872550,prefusion+distill+latent+ce,35.59,48.56,65.44,61.71,63.48,61.93,48.98,62.26,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260417_062121.pt,checkpoints/sweep_z2ims1w1_0420_0028.pt
6xekbou8,benv2,s2,s1,61.47,0.0009016167174467046,5.0,0.0008447861620622613,64,0.462931073568725,0.35681712527109666,0.40441804703870776,0.5,False,0.29070411347128855,0.7958245685272107,0.8697557651375651,163872550,prefusion+distill+latent+ce,32.53,43.06,62.57,59.49,52.62,57.20,42.58,57.55,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260417_062121.pt,checkpoints/sweep_6xekbou8_0420_0032.pt
li3bfijy,benv2,s2,s1,61.47,0.0005169880227504794,10.0,6.12344219634791e-05,64,0.836952426933416,0.356463391293279,0.6971412809435316,0.5,True,0.30097621600877544,0.8055430366261144,0.435519316973379,163872550,prefusion+distill+latent+ce,29.64,41.15,63.07,58.01,35.89,46.73,32.77,58.50,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260417_062121.pt,checkpoints/sweep_li3bfijy_0420_0035.pt
