wandb_run_id,wandb_project,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,modality_dropout_startmod,modality_dropout_newmod,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,unprotect_starting_mod,lambda_latent,lambda_prefusion,lambda_distill,mae_mask_ratio,trainable_params,active_losses,select_by,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint
m34mhpce,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,4.665345373939215e-05,,6.92909834924238e-05,64,0.3,0.29083461278116307,0.4678768365639688,0.28553228654702045,0.0,0.0,False,True,True,0.04289727820631073,0.15645112889576407,0.7722171276397454,0.3254298261267187,223227906,latent+prefusion+distill+ce,,-42.95,-59.69,-52.53,-53.23,-31.85,-54.36,-37.40,-54.85,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
vtsgsdwp,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,7.160163409455412e-05,,3.019871670754141e-05,64,0.3,0.3277936218754858,0.19436451313498515,0.2708695589350687,0.0,0.0,False,True,True,0.14273015863439298,0.1905045202614972,0.8445301018252167,0.384461116152786,223227906,latent+prefusion+distill+ce,,-36.46,-54.37,-44.97,-45.77,-16.13,-46.31,-26.29,-47.33,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
s6wx0f44,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,1.627898454684481e-05,,0.00023292081641289864,64,0.3,0.342742600178788,0.1712009236351114,0.12253779373707592,0.0,0.0,False,True,True,0.11049830394530508,0.5380408692651687,0.14604457691214134,0.16829954357705734,223227906,latent+prefusion+distill+ce,,-72.58,-85.25,-84.57,-85.28,-71.76,-84.56,-72.19,-85.40,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
ykki9nx3,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,5.381589150210241e-05,,1.8891540283016584e-05,64,0.3,0.12217291307535892,0.4963749168662783,0.2685267440521624,0.0,0.0,False,True,True,0.43074975425329026,0.6612896515944452,0.7390126765798162,0.7519794418823171,223227906,latent+prefusion+distill+ce,,-49.24,-64.82,-51.34,-52.04,-26.20,-50.95,-37.93,-56.73,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
yrp5w8nm,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,1.1986690972825948e-05,,3.474273801115651e-05,64,0.3,0.13920509016912275,0.4332106913467023,0.24568052777866023,0.0,0.0,False,True,True,0.4933502320283065,0.272235779451069,0.9452698185994844,0.46191039511906984,223227906,latent+prefusion+distill+ce,,-74.33,-86.85,-79.49,-80.20,-66.18,-80.21,-71.06,-84.05,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
pyz5njzr,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,4.0141787296113496e-05,,4.927668703648107e-05,64,0.3,0.41927425400552887,0.31578435334834154,0.21494077202200984,0.0,0.0,False,True,True,0.17980679830513352,0.9578568518224336,0.18994536927392824,0.1201183264760946,223227906,latent+prefusion+distill+ce,,-52.87,-68.19,-70.74,-71.37,-53.85,-69.71,-53.84,-69.05,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
mr06fgbj,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,0.000125940691001511,,3.645441629746131e-05,64,0.3,0.3725856529114153,0.3336436414701951,0.18730735448191163,0.0,0.0,False,True,True,0.4720907626483302,0.3825043835716314,0.7523653485605188,0.5884082580379486,223227906,latent+prefusion+distill+ce,,-35.84,-53.66,-44.37,-45.15,-14.56,-45.33,-25.20,-45.92,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
jx727w7z,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,1.0221325026587397e-05,,1.6018903896761654e-05,64,0.3,0.48384269842604066,0.2110062933135148,0.20335628977659492,0.0,0.0,False,True,True,0.10094453142850152,0.7852111175926356,0.3961577007077334,0.5186295571953652,223227906,latent+prefusion+distill+ce,,-74.45,-86.98,-83.28,-84.30,-73.64,-86.88,-74.05,-86.01,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
5aa01gd5,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,1.4478365225470116e-05,,0.0005593383736122679,64,0.3,0.2668020432006364,0.24531031234767817,0.14160140481363645,0.0,0.0,False,True,True,0.2812538860005599,0.19774133352827228,0.5978835599391024,0.3734515690920934,223227906,latent+prefusion+distill+ce,,-72.18,-84.92,-80.22,-80.84,-69.60,-82.89,-71.14,-83.77,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
fnew117x,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,0.00021742085159065256,,0.00027550367729751714,64,0.3,0.25016871438686766,0.467337748295795,0.2773415200181316,0.0,0.0,False,True,True,0.49722708737957105,0.4866346453155801,0.29353441618773635,0.7735469232590112,223227906,latent+prefusion+distill+ce,,-37.98,-55.40,-45.40,-46.17,-20.94,-47.02,-30.45,-47.29,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
9eolvusl,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,2.023014401257657e-05,,1.0409063778995407e-05,64,0.3,0.12308730230225692,0.1393358467542193,0.11077561974700097,0.0,0.0,False,True,True,0.26994326766790944,0.5385185647984198,0.37164198595945386,0.367456329406572,223227906,latent+prefusion+distill+ce,,-68.55,-81.69,-79.61,-80.24,-69.38,-82.76,-69.07,-80.80,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
h95q7alh,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,0.0003663572494648601,,0.00021256564572974843,64,0.3,0.4991915238647521,0.49019535409067594,0.1552263198019706,0.0,0.0,False,True,True,0.4359845666448818,0.3288308711747391,0.3106975853780849,0.6526271167549103,223227906,latent+prefusion+distill+ce,,-35.80,-53.53,-46.71,-47.55,-26.44,-48.37,-31.65,-48.77,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
4i6xve36,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,0.0005726067961407895,,0.0001363455558518245,64,0.3,0.2643843524384194,0.1243014735460276,0.4850468270035354,0.0,0.0,False,True,True,0.11476639908201464,0.8175972604285906,0.2743245335795865,0.1386567926652474,223227906,latent+prefusion+distill+ce,,-37.19,-54.69,-45.74,-46.55,-19.57,-46.54,-28.41,-48.03,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
ps0oaqub,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,1.1399849045704347e-05,,3.9092310715516506e-05,64,0.3,0.4699537241473185,0.42551997489936366,0.3743782758190909,0.0,0.0,False,True,True,0.32961527929526363,0.7586286109235034,0.39955557266338937,0.6477344275133832,223227906,latent+prefusion+distill+ce,,-70.61,-83.57,-82.78,-83.51,-67.68,-81.59,-69.54,-84.18,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
76istrwy,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,0.0002614117637568972,,0.00033328183772204375,64,0.3,0.40659118651561577,0.4746166028131603,0.33461224501117,0.0,0.0,False,True,True,0.013497440359216406,0.4712295942680209,0.6334932916012426,0.3661798983685435,223227906,latent+prefusion+distill+ce,,-33.50,-51.53,-43.40,-44.26,-13.74,-43.94,-23.62,-45.60,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
q3a3c6fs,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,0.0004770595626667954,,1.9276689487680982e-05,64,0.3,0.469194153467395,0.303936730855428,0.11002046308458996,0.0,0.0,False,True,True,0.3623889461586347,0.9605702414711736,0.5414199035619726,0.6360770342091632,223227906,latent+prefusion+distill+ce,,-35.34,-53.11,-48.24,-48.98,-24.25,-48.88,-29.82,-48.35,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
vxh7pbqs,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,0.00035961728417026074,,2.5800735896741033e-05,64,0.3,0.4671725962629897,0.31164722597509564,0.3556088852218252,0.0,0.0,False,True,True,0.2215826488537753,0.7846976501006618,0.3026509060285494,0.7263551576010646,223227906,latent+prefusion+distill+ce,,-36.48,-54.41,-45.67,-46.52,-26.26,-49.70,-31.37,-47.71,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
46jvmgpk,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,5.3006256581559656e-05,,0.0005382431357897535,64,0.3,0.2703957141343657,0.2727712190035808,0.4618447750177654,0.0,0.0,False,True,True,0.07155951699110202,0.22216341705823373,0.20963541648660444,0.588821360329044,223227906,latent+prefusion+distill+ce,,-46.82,-62.64,-55.67,-56.36,-39.86,-59.73,-43.48,-58.39,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
amlg1nw6,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,5.378128489253768e-05,,0.00027202369407995663,64,0.3,0.1489440859234421,0.4957942877295155,0.4388483565165821,0.0,0.0,False,True,True,0.0979918428022088,0.8838585479535479,0.5698979352489218,0.23603946731430336,223227906,latent+prefusion+distill+ce,,-43.22,-60.02,-50.61,-51.26,-27.49,-51.49,-35.35,-53.50,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
lx4p2vzq,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,0.0009315782103213044,,0.00024724437292307125,64,0.3,0.4844827138444411,0.1928293002288251,0.31543007567959414,0.0,0.0,False,True,True,0.009706405879711,0.7921660785118496,0.4616831480929826,0.14785534475180687,223227906,latent+prefusion+distill+ce,,-33.79,-52.16,-43.79,-44.59,-12.77,-43.98,-23.86,-44.51,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
gnid6tn0,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,1.885118504045052e-05,,0.00014684947995353398,64,0.3,0.1467826391363287,0.19342165443689932,0.43246845702496983,0.0,0.0,False,True,True,0.4488623866873276,0.5208944158799442,0.5977330466534666,0.5949443990810469,223227906,latent+prefusion+distill+ce,,-70.69,-83.50,-74.96,-75.77,-61.35,-76.11,-66.02,-79.36,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
rudfvmi9,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,1.886385130639388e-05,,1.1021045797772625e-05,64,0.3,0.13079785452012663,0.34311224829575654,0.37455882429029885,0.0,0.0,False,True,True,0.49603375556559254,0.31609102567505454,0.07573700758895763,0.19134028469145253,223227906,latent+prefusion+distill+ce,,-68.70,-81.89,-79.75,-80.57,-66.26,-80.11,-67.48,-80.98,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
pwimf9u9,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,3.4605222035755984e-05,,0.0006429192352350167,64,0.3,0.4595469419932951,0.2770655405427008,0.4033446289801213,0.0,0.0,False,True,True,0.07361772881454831,0.661208900180774,0.22760772400073004,0.682890116430534,223227906,latent+prefusion+distill+ce,,-59.85,-73.87,-65.74,-66.34,-52.78,-69.17,-56.44,-70.61,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
fyj3q7wm,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,0.00016500796344392262,,0.00038240262966377024,64,0.3,0.4764621518037958,0.13988711914594865,0.4628632287478325,0.0,0.0,False,True,True,0.30088519549987675,0.005036238502912793,0.8508959514456745,0.4905150392296733,223227906,latent+prefusion+distill+ce,,-36.41,-54.29,-44.53,-45.31,-19.19,-46.66,-27.80,-46.46,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
rio7y5qb,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,1.6116572959669702e-05,,0.0007395965232481571,64,0.3,0.18745074451723895,0.2236587303440417,0.2080849297107336,0.0,0.0,False,True,True,0.12439900502365275,0.6590464243173936,0.9899334495123492,0.2804131174866529,223227906,latent+prefusion+distill+ce,,-67.73,-81.05,-76.40,-77.04,-66.26,-79.87,-67.30,-79.26,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
9onqn4xj,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,2.891815516158112e-05,,1.082226951074742e-05,64,0.3,0.3631525678187343,0.3980365855817958,0.212982196441418,0.0,0.0,False,True,True,0.2594301224270187,0.2704730884547004,0.7899759261750641,0.39304441509255705,223227906,latent+prefusion+distill+ce,,-61.31,-75.15,-66.68,-67.38,-51.43,-68.07,-56.45,-70.82,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
j6l3b4a2,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,0.0003633683474193614,,2.7045374823820632e-05,64,0.3,0.17919104534605307,0.44587410083286194,0.31596102571991774,0.0,0.0,False,True,True,0.1635163230709868,0.7592533234872162,0.6573061326841076,0.41936562950832224,223227906,latent+prefusion+distill+ce,,-36.41,-54.32,-44.13,-44.96,-18.50,-46.46,-27.45,-45.80,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
7fs4axua,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,9.076633514199764e-05,,1.2601410650443044e-05,64,0.3,0.1585008536787639,0.25937558364376423,0.20017629548958912,0.0,0.0,False,True,True,0.08445294366514361,0.15535401808335392,0.4155557098839264,0.5897872840195517,223227906,latent+prefusion+distill+ce,,-36.98,-54.52,-44.39,-45.13,-19.20,-46.44,-28.20,-46.48,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
i1o7ikhh,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,2.4997865487253285e-05,,0.00015418528844236343,64,0.3,0.44916734080016785,0.1498539636458084,0.16212001021027678,0.0,0.0,False,True,True,0.003926593779114251,0.350938334967165,0.6437853743574753,0.4868180165162368,223227906,latent+prefusion+distill+ce,,-54.86,-69.56,-62.64,-63.48,-54.10,-70.07,-54.49,-66.30,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
z05886sj,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,5.246955700720555e-05,,1.981186627861796e-05,64,0.3,0.4044888353725524,0.24344635227565037,0.11896014433115498,0.0,0.0,False,True,True,0.3314456309924695,0.5474486953493894,0.8970557256921724,0.10149925778472424,223227906,latent+prefusion+distill+ce,,-47.91,-63.59,-58.65,-59.44,-41.00,-60.13,-44.80,-60.96,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
dlc0mwwk,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,4.36106069161623e-05,,0.00012333774326364508,64,0.3,0.2518278591618496,0.25138934192096396,0.31767354042775664,0.0,0.0,False,True,True,0.45455352392640774,0.3283288853264269,0.3353815434761873,0.7275666924515971,223227906,latent+prefusion+distill+ce,,-55.18,-69.97,-63.79,-64.47,-50.19,-67.04,-53.85,-66.83,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
yltf2701,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,0.0007340161773490629,,0.00016767589386638369,64,0.3,0.26472581418704455,0.36800798002581736,0.20683064892163003,0.0,0.0,False,True,True,0.3079288630862016,0.23114508975171943,0.9391123420874008,0.10487538369519882,223227906,latent+prefusion+distill+ce,,-36.83,-54.39,-45.35,-46.19,-17.31,-46.00,-27.07,-47.86,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
lnfqzhbp,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,4.269621970718169e-05,,0.00027531642929188124,64,0.3,0.28577687685422426,0.3708371321434299,0.11991624826208924,0.0,0.0,False,True,True,0.08308157322354909,0.9126357520039594,0.12127899290894328,0.6402453149978999,223227906,latent+prefusion+distill+ce,,-59.84,-73.75,-72.72,-73.39,-57.41,-72.63,-58.63,-73.17,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
belvr501,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,2.0619730277646582e-05,,0.000164565922824141,64,0.3,0.3906236544507815,0.31345441069034774,0.26172125820003134,0.0,0.0,False,True,True,0.3588429991898972,0.8386159725491594,0.7494093213731726,0.2059955084571496,223227906,latent+prefusion+distill+ce,,-67.11,-80.35,-77.40,-78.18,-64.57,-78.54,-66.53,-79.50,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
hvn9av3v,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,2.476135201343331e-05,,1.5446926047710487e-05,64,0.3,0.15410274629841272,0.18610030061554375,0.2727581878499019,0.0,0.0,False,True,True,0.3664007514759264,0.744437291241835,0.9647639772499362,0.5664931156970375,223227906,latent+prefusion+distill+ce,,-64.91,-78.54,-71.99,-72.67,-62.87,-77.55,-63.92,-75.48,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
jwfipusm,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,4.5525370548878794e-05,,0.0004692702245370034,64,0.3,0.11512773661050205,0.22474088898578215,0.1689638796003658,0.0,0.0,False,True,True,0.46691250875759494,0.23138555581964604,0.3484097919870588,0.3999439823425749,223227906,latent+prefusion+distill+ce,,-56.75,-71.21,-63.65,-64.63,-49.42,-66.32,-53.09,-67.17,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
l2l7xh52,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,0.0004594279569298097,,2.849444799516384e-05,64,0.3,0.42144151616583314,0.10043531212985989,0.1735653547304426,0.0,0.0,False,True,True,0.14029703344996886,0.7645167974579332,0.033193348694110725,0.6748528281600688,223227906,latent+prefusion+distill+ce,,-37.12,-54.40,-48.90,-49.71,-25.56,-49.75,-31.34,-49.76,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
9f5kgqvv,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,0.00022814857862192743,,0.00010234171246746884,64,0.3,0.23961296485087927,0.3092826752206438,0.2120274638696116,0.0,0.0,False,True,True,0.07415356428876885,0.9844611078731574,0.12212960269711948,0.3450346981180279,223227906,latent+prefusion+distill+ce,,-36.58,-54.13,-47.26,-48.05,-21.97,-47.90,-29.32,-49.09,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
q4i87bwg,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,0.0006670364997623908,,0.0009405464543934892,64,0.3,0.13327546839130458,0.25012996799567483,0.2879436711465891,0.0,0.0,False,True,True,0.046306232996517205,0.5957638154561683,0.6521346978557514,0.463963741794986,223227906,latent+prefusion+distill+ce,,-35.87,-53.48,-44.30,-45.15,-14.91,-45.00,-25.49,-46.65,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
64tvm9jl,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,0.0002224550394961005,,4.65839713510455e-05,64,0.3,0.2843317328968585,0.4264748317945446,0.18556745837941285,0.0,0.0,False,True,True,0.44305790919381216,0.42662475431840485,0.7184027208179599,0.7506930648630373,223227906,latent+prefusion+distill+ce,,-36.50,-54.16,-44.23,-45.02,-17.16,-45.58,-27.06,-46.71,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
bwfhgtnq,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,2.900845282022676e-05,,0.0006223200960295621,64,0.3,0.48256860839381377,0.3949212683478226,0.1863910530873767,0.0,0.0,False,True,True,0.0020063269437324283,0.6512223593912199,0.5853909187391302,0.4657964419525774,223227906,latent+prefusion+distill+ce,,-56.50,-71.11,-61.55,-62.61,-52.94,-69.17,-54.72,-66.04,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
j93euu5k,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,0.0004740503790973895,,3.49970637096035e-05,64,0.3,0.40701057565557086,0.17013155850970607,0.21168898074272327,0.0,0.0,False,True,True,0.0993541630721041,0.12955850032262184,0.06619831105802476,0.5868017536539832,223227906,latent+prefusion+distill+ce,,-37.20,-54.47,-49.06,-49.78,-26.08,-49.80,-31.65,-49.82,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
