dataset,starting_modality,new_modality,ssl_lr,weight_decay,epochs,mask_ratio,modality_dropout,labeled_frequency,labeled_start_fraction,entr_frequency,trainable_params,active_losses,use_mfla,mfla_warmup_epochs,intermediate_projector_type,tz_fusion_time,metric_name,transfer_metric,peeking_metric,addition_metric,addition_ens_metric,valchecked_transfer,valchecked_peek,valchecked_add,valchecked_add_ens,stage0_checkpoint,shote2e_checkpoint
benv2,s2,s1,0.0001,0.00038,96,0.68837,0.46021,0.7741,0.4492,0,148111654,distill+ce+prefusion+mae+latent,False,0,cross,1,mAP,44.82,64.22,59.15,63.29,45.22,64.22,56.12,63.29,checkpoints/panopticon_lp_benv2_s2_s0.pt,checkpoints/benv2_panopticon_s2_to_s1_fft1_peeking.pt
benv2,s2,s1,0.00015,0.0002,96,0.7,0.36,0.36,0.05,0,148111654,distill+ce+prefusion+mae+latent,False,0,cross,1,mAP,45.98,62.15,59.27,62.58,46.26,62.15,62.41,62.58,checkpoints/panopticon_lp_benv2_s2_s0.pt,checkpoints/benv2_panopticon_s2_to_s1_fft1_transfer.pt
benv2,s2,s1,0.0001,0.001,96,0.37,0.22,0.7,0.7,0,148111654,distill+ce+prefusion+mae+latent,False,0,cross,1,mAP,44.25,62.66,59.14,61.12,44.88,62.66,57.87,61.12,checkpoints/panopticon_lp_benv2_s2_s0.pt,checkpoints/benv2_panopticon_s2_to_s1_fft1_ens_addition.pt
benv2,s1,s2,0.0001,0.00038,96,0.68837,0.46021,0.7741,0.4492,0,148111654,distill+ce+prefusion+mae+latent,False,0,cross,1,mAP,55.10,50.20,54.83,54.45,53.41,50.20,54.83,54.45,checkpoints/panopticon_lp_benv2_s1_s0.pt,checkpoints/benv2_panopticon_s1_to_s2_fft1_peeking.pt
benv2,s1,s2,0.00015,0.0002,96,0.7,0.36,0.36,0.05,0,148111654,distill+ce+prefusion+mae+latent,False,0,cross,1,mAP,52.83,47.35,53.70,52.18,53.38,47.35,52.67,52.18,checkpoints/panopticon_lp_benv2_s1_s0.pt,checkpoints/benv2_panopticon_s1_to_s2_fft1_transfer.pt
benv2,s1,s2,0.0001,0.001,96,0.37,0.22,0.7,0.7,0,148111654,distill+ce+prefusion+mae+latent,False,0,cross,1,mAP,54.63,51.32,55.12,55.21,54.76,51.32,55.12,55.21,checkpoints/panopticon_lp_benv2_s1_s0.pt,checkpoints/benv2_panopticon_s1_to_s2_fft1_ens_addition.pt
