model,dataset,modality,train_mode,epochs,lr,weight_decay,batch_size,metric_name,val_metric,test_metric,trainable_params,saved_checkpoint
olmoearth-large,eurosat,nir,fft,20,0.0001,0.01,32,Acc,90.6667,91.2407,307783690,checkpoints/rsfm_eurosat_nir_fft_20260417_185242.pt
panopticon,benv2,s2s1,fft,20,0.001,0.01,32,mAP,66.7546,63.5351,98990611,checkpoints/rsfm_benv2_s2s1_fft_20260417_185551.pt
panopticon,benv2,s2,fft,20,0.001,0.0001,32,mAP,66.2925,61.7033,98990611,checkpoints/rsfm_benv2_s2_fft_20260417_185755.pt
olmoearth-base,benv2,s2_rgb,fft,20,0.0001,0.0,32,mAP,65.5696,60.9131,88970515,checkpoints/rsfm_benv2_s2_rgb_fft_20260417_185848.pt
olmoearth-large,eurosat,s2,fft,20,0.0001,0.01,32,Acc,99.0,98.7593,307783690,checkpoints/rsfm_eurosat_s2_fft_20260417_190253.pt
panopticon,benv2,s1,fft,20,0.001,0.0001,32,mAP,56.3353,52.4497,98990611,checkpoints/rsfm_benv2_s1_fft_20260417_190536.pt
panopticon,eurosat,swir,fft,20,0.001,0.0,32,Acc,94.5556,95.5,98983690,checkpoints/rsfm_eurosat_swir_fft_20260417_191104.pt
panopticon,eurosat,rgb,fft,20,0.0005,0.0,32,Acc,98.1111,98.463,98983690,checkpoints/rsfm_eurosat_rgb_fft_20260417_191127.pt
panopticon,eurosat,vre,fft,20,0.0005,0.0,32,Acc,97.4074,97.8148,98983690,checkpoints/rsfm_eurosat_vre_fft_20260417_191137.pt
panopticon,eurosat,nir,fft,20,0.0005,0.0001,32,Acc,95.4815,96.2593,98983690,checkpoints/rsfm_eurosat_nir_fft_20260417_191158.pt
olmoearth-base,benv2,s2s1,fft,20,0.0001,0.0,32,mAP,68.0768,64.5899,88970515,checkpoints/rsfm_benv2_s2s1_fft_20260417_191356.pt
panopticon,benv2,s2s1,fft,20,0.001,0.0001,32,mAP,67.0562,60.6283,98990611,checkpoints/rsfm_benv2_s2s1_fft_20260417_191956.pt
panopticon,benv2,s2,fft,20,0.001,0.0,32,mAP,65.8057,60.1369,98990611,checkpoints/rsfm_benv2_s2_fft_20260417_192038.pt
panopticon,eurosat,s2,fft,20,0.0005,0.01,32,Acc,98.7037,98.5,98983690,checkpoints/rsfm_eurosat_s2_fft_20260417_192426.pt
panopticon,benv2,s1,fft,20,0.001,0.0,32,mAP,56.461,53.6951,98990611,checkpoints/rsfm_benv2_s1_fft_20260417_192903.pt
panopticon,eurosat,nir,fft,20,0.0005,0.0,32,Acc,95.2222,95.7222,98983690,checkpoints/rsfm_eurosat_nir_fft_20260417_193101.pt
panopticon,eurosat,swir,fft,20,0.0005,0.01,32,Acc,95.1111,95.7222,98983690,checkpoints/rsfm_eurosat_swir_fft_20260417_193148.pt
panopticon,eurosat,vre,fft,20,0.0001,0.01,32,Acc,97.7778,97.7407,98983690,checkpoints/rsfm_eurosat_vre_fft_20260417_193247.pt
panopticon,eurosat,rgb,fft,20,0.0001,0.01,32,Acc,98.7778,98.4259,98983690,checkpoints/rsfm_eurosat_rgb_fft_20260417_193310.pt
panopticon,benv2,s2,fft,20,0.0005,0.01,32,mAP,67.5732,62.1007,98990611,checkpoints/rsfm_benv2_s2_fft_20260417_194323.pt
panopticon,benv2,s2s1,fft,20,0.001,0.0,32,mAP,67.1699,63.4055,98990611,checkpoints/rsfm_benv2_s2s1_fft_20260417_194413.pt
panopticon,eurosat,nir,fft,20,0.0001,0.01,32,Acc,95.5926,96.4074,98983690,checkpoints/rsfm_eurosat_nir_fft_20260417_195004.pt
olmoearth-large,eurosat,vre,fft,20,0.0001,0.0001,32,Acc,95.5556,94.7037,307783690,checkpoints/rsfm_eurosat_vre_fft_20260417_195036.pt
panopticon,eurosat,swir,fft,20,0.0005,0.0001,32,Acc,95.2222,95.7778,98983690,checkpoints/rsfm_eurosat_swir_fft_20260417_195231.pt
olmoearth-large,eurosat,swir,fft,20,0.0001,0.0001,32,Acc,89.4074,89.8519,307783690,checkpoints/rsfm_eurosat_swir_fft_20260417_195243.pt
panopticon,benv2,s1,fft,20,0.0005,0.01,32,mAP,57.1936,55.2891,98990611,checkpoints/rsfm_benv2_s1_fft_20260417_195230.pt
panopticon,eurosat,vre,fft,20,0.0001,0.0001,32,Acc,97.7407,97.8704,98983690,checkpoints/rsfm_eurosat_vre_fft_20260417_195356.pt
panopticon,eurosat,rgb,fft,20,0.0001,0.0001,32,Acc,98.5185,98.5,98983690,checkpoints/rsfm_eurosat_rgb_fft_20260417_195451.pt
olmoearth-large,eurosat,rgb,fft,20,0.0001,0.0001,32,Acc,96.7407,97.3148,307783690,checkpoints/rsfm_eurosat_rgb_fft_20260417_195503.pt
olmoearth-large,eurosat,nir,fft,20,0.0001,0.0001,32,Acc,89.7778,91.2222,307783690,checkpoints/rsfm_eurosat_nir_fft_20260417_195857.pt
panopticon,eurosat,s2,fft,20,0.0005,0.0001,32,Acc,98.6667,98.6667,98983690,checkpoints/rsfm_eurosat_s2_fft_20260417_200414.pt
panopticon,benv2,s2,fft,20,0.0005,0.0001,32,mAP,67.0103,60.9907,98990611,checkpoints/rsfm_benv2_s2_fft_20260417_200607.pt
panopticon,eurosat,nir,fft,20,0.0001,0.0001,32,Acc,95.6296,96.5185,98983690,checkpoints/rsfm_eurosat_nir_fft_20260417_200903.pt
panopticon,benv2,s2s1,fft,20,0.0005,0.01,32,mAP,65.5081,60.8915,98990611,checkpoints/rsfm_benv2_s2s1_fft_20260417_200831.pt
olmoearth-large,eurosat,s2,fft,20,0.0001,0.0001,32,Acc,99.037,99.0,307783690,checkpoints/rsfm_eurosat_s2_fft_20260417_201001.pt
panopticon,eurosat,swir,fft,20,0.0005,0.0,32,Acc,95.5926,96.0741,98983690,checkpoints/rsfm_eurosat_swir_fft_20260417_201347.pt
panopticon,eurosat,vre,fft,20,0.0001,0.0,32,Acc,97.963,97.7963,98983690,checkpoints/rsfm_eurosat_vre_fft_20260417_201510.pt
panopticon,eurosat,rgb,fft,20,0.0001,0.0,32,Acc,98.5926,98.3148,98983690,checkpoints/rsfm_eurosat_rgb_fft_20260417_201633.pt
panopticon,benv2,s1,fft,20,0.0005,0.0001,32,mAP,56.633,54.5767,98990611,checkpoints/rsfm_benv2_s1_fft_20260417_201614.pt
panopticon,eurosat,nir,fft,20,0.0001,0.0,32,Acc,95.963,96.6852,98983690,checkpoints/rsfm_eurosat_nir_fft_20260417_202804.pt
panopticon,benv2,s2,fft,20,0.0005,0.0,32,mAP,66.5839,60.9401,98990611,checkpoints/rsfm_benv2_s2_fft_20260417_202853.pt
panopticon,benv2,s2s1,fft,20,0.0005,0.0001,32,mAP,67.0945,61.1707,98990611,checkpoints/rsfm_benv2_s2s1_fft_20260417_203253.pt
panopticon,eurosat,swir,fft,20,0.0001,0.01,32,Acc,95.5185,96.1481,98983690,checkpoints/rsfm_eurosat_swir_fft_20260417_203432.pt
panopticon,benv2,s1,fft,20,0.0005,0.0,32,mAP,56.7142,54.6168,98990611,checkpoints/rsfm_benv2_s1_fft_20260417_203741.pt
panopticon,eurosat,s2,fft,20,0.0005,0.0,32,Acc,98.5926,98.8333,98983690,checkpoints/rsfm_eurosat_s2_fft_20260417_204339.pt
panopticon,benv2,s2,fft,20,0.0001,0.01,32,mAP,65.8356,62.8836,98990611,checkpoints/rsfm_benv2_s2_fft_20260417_205143.pt
panopticon,eurosat,swir,fft,20,0.0001,0.0001,32,Acc,95.037,95.9074,98983690,checkpoints/rsfm_eurosat_swir_fft_20260417_205517.pt
olmoearth-large,eurosat,vre,fft,20,0.0001,0.0,32,Acc,95.6667,95.0926,307783690,checkpoints/rsfm_eurosat_vre_fft_20260417_205556.pt
olmoearth-large,eurosat,swir,fft,20,0.0001,0.0,32,Acc,90.2963,90.1667,307783690,checkpoints/rsfm_eurosat_swir_fft_20260417_205744.pt
panopticon,benv2,s2s1,fft,20,0.0005,0.0,32,mAP,66.0894,60.964,98990611,checkpoints/rsfm_benv2_s2s1_fft_20260417_205729.pt
panopticon,benv2,s1,fft,20,0.0001,0.01,32,mAP,56.9775,55.5129,98990611,checkpoints/rsfm_benv2_s1_fft_20260417_205845.pt
olmoearth-large,eurosat,rgb,fft,20,0.0001,0.0,32,Acc,96.8148,96.9815,307783690,checkpoints/rsfm_eurosat_rgb_fft_20260417_210057.pt
olmoearth-large,eurosat,nir,fft,20,0.0001,0.0,32,Acc,90.5926,91.8704,307783690,checkpoints/rsfm_eurosat_nir_fft_20260417_210438.pt
panopticon,benv2,s2,fft,20,0.0001,0.0001,32,mAP,65.7568,60.6141,98990611,checkpoints/rsfm_benv2_s2_fft_20260417_211432.pt
panopticon,eurosat,swir,fft,20,0.0001,0.0,32,Acc,95.3333,95.7778,98983690,checkpoints/rsfm_eurosat_swir_fft_20260417_211600.pt
olmoearth-large,eurosat,s2,fft,20,0.0001,0.0,32,Acc,99.1111,98.9815,307783690,checkpoints/rsfm_eurosat_s2_fft_20260417_211700.pt
panopticon,benv2,s1,fft,20,0.0001,0.0001,32,mAP,57.9303,54.6832,98990611,checkpoints/rsfm_benv2_s1_fft_20260417_211954.pt
panopticon,benv2,s2s1,fft,20,0.0001,0.01,32,mAP,66.353,61.0268,98990611,checkpoints/rsfm_benv2_s2s1_fft_20260417_212207.pt
panopticon,eurosat,s2,fft,20,0.0001,0.01,32,Acc,98.7407,98.5185,98983690,checkpoints/rsfm_eurosat_s2_fft_20260417_212303.pt
panopticon,benv2,s2,fft,20,0.0001,0.0,32,mAP,66.2673,61.9283,98990611,checkpoints/rsfm_benv2_s2_fft_20260417_213721.pt
panopticon,benv2,s1,fft,20,0.0001,0.0,32,mAP,58.1421,55.0562,98990611,checkpoints/rsfm_benv2_s1_fft_20260417_214106.pt
panopticon,benv2,s2s1,fft,20,0.0001,0.0001,32,mAP,65.9478,61.7228,98990611,checkpoints/rsfm_benv2_s2s1_fft_20260417_214625.pt
olmoearth-base,eurosat,s2,fft,20,0.001,0.0001,32,Acc,98.9259,98.9259,88963594,checkpoints/rsfm_eurosat_s2_fft_20260417_215809.pt
panopticon,eurosat,s2,fft,20,0.0001,0.0001,32,Acc,98.6667,98.9259,98983690,checkpoints/rsfm_eurosat_s2_fft_20260417_220221.pt
panopticon,benv2,s2s1,fft,20,0.0001,0.0,32,mAP,65.7598,61.4983,98990611,checkpoints/rsfm_benv2_s2s1_fft_20260417_221036.pt
olmoearth-large,eurosat,s2,fft,20,0.001,0.01,32,Acc,98.963,98.8519,307783690,checkpoints/rsfm_eurosat_s2_fft_20260417_221333.pt
olmoearth-base,eurosat,s2,fft,20,0.001,0.0,32,Acc,98.8148,98.8148,88963594,checkpoints/rsfm_eurosat_s2_fft_20260417_222538.pt
panopticon,eurosat,s2,fft,20,0.0001,0.0,32,Acc,98.7407,98.8333,98983690,checkpoints/rsfm_eurosat_s2_fft_20260417_224200.pt
olmoearth-base,eurosat,s2,fft,20,0.0005,0.0,32,Acc,98.8519,98.8704,88963594,checkpoints/rsfm_eurosat_s2_fft_20260417_225255.pt
olmoearth-base,eurosat,s2,fft,20,0.0001,0.0,32,Acc,99.037,98.7037,88963594,checkpoints/rsfm_eurosat_s2_fft_20260417_232013.pt
olmoearth-large,eurosat,s2,fft,20,0.001,0.0001,32,Acc,98.7407,98.6481,307783690,checkpoints/rsfm_eurosat_s2_fft_20260417_232103.pt
olmoearth-large,eurosat,s2,fft,20,0.001,0.0,32,Acc,98.7037,98.8148,307783690,checkpoints/rsfm_eurosat_s2_fft_20260418_002911.pt
olmoearth-base,eurosat,s2,fft,20,0.001,0.0,32,Acc,98.8519,99.0185,88963594,
panopticon,eurosat,s2,fft,20,0.001,0.0,32,Acc,98.4815,98.3148,98983690,
olmoearth-base,eurosat,s2,fft,20,0.0005,0.0,32,Acc,99.0741,98.8333,88963594,
olmoearth-large,eurosat,s2,fft,20,0.001,0.0,32,Acc,98.6296,98.7963,307783690,
panopticon,eurosat,s2,fft,20,0.0005,0.0,32,Acc,98.5926,99.0556,98983690,
olmoearth-base,eurosat,s2,fft,20,0.0001,0.0,32,Acc,99.0741,98.7963,88963594,
panopticon,eurosat,s2,fft,20,0.0001,0.0,32,Acc,98.8519,98.7778,98983690,
olmoearth-large,eurosat,s2,fft,20,0.0005,0.0,32,Acc,99.037,98.8704,307783690,
olmoearth-large,eurosat,s2,fft,20,0.0001,0.0,32,Acc,99.0741,98.8519,307783690,
panopticon,eurosat,s2,fft,20,0.001,0.0,32,Acc,98.1852,98.2593,98983690,
panopticon,eurosat,s2,fft,20,0.0005,0.0,32,Acc,98.6667,98.7407,98983690,
panopticon,eurosat,s2,fft,20,0.0001,0.0,32,Acc,98.8889,98.963,98983690,
panopticon,benv2,s2_rgb,fft,20,0.001,0.01,32,mAP,63.6538,59.3683,98990611,
panopticon,benv2,s2_rgb,fft,20,0.001,0.0,32,mAP,64.208,58.6412,98990611,
panopticon,benv2,s2_rgb,fft,20,0.0005,0.01,32,mAP,63.6404,59.5096,98990611,
panopticon,benv2,s2_rgb,fft,20,0.0005,0.0001,32,mAP,63.9505,59.8288,98990611,
panopticon,benv2,s2_rgb,fft,20,0.0005,0.0,32,mAP,64.5277,59.9905,98990611,
panopticon,benv2,s2_rgb,fft,20,0.0001,0.01,32,mAP,63.226,60.3168,98990611,
panopticon,benv2,s2_rgb,fft,20,0.0001,0.0001,32,mAP,64.4832,60.2493,98990611,
panopticon,benv2,s2_rgb,fft,20,0.0001,0.0,32,mAP,63.3722,59.7987,98990611,
panopticon,benv2,s2_rgb+s2_norgb,fft,20,0.001,0.0001,32,mAP,65.3363,59.8373,98990611,
panopticon,benv2,s2_rgb+s2_norgb,fft,20,0.001,0.0,32,mAP,65.2498,59.892,98990611,
panopticon,benv2,s2_rgb+s2_norgb,fft,20,0.0005,0.01,32,mAP,66.5214,62.4741,98990611,
panopticon,benv2,s2_rgb+s2_norgb,fft,20,0.0005,0.0001,32,mAP,66.2318,63.2428,98990611,
panopticon,benv2,s2_rgb+s2_norgb,fft,20,0.0005,0.0,32,mAP,65.6211,60.3286,98990611,
panopticon,benv2,s2_rgb+s2_norgb,fft,20,0.0001,0.01,32,mAP,64.9243,61.1291,98990611,
panopticon,benv2,s2_rgb+s2_norgb,fft,20,0.0001,0.0001,32,mAP,65.934,62.129,98990611,
panopticon,eurosat,rgb+nir,fft,20,0.001,0.01,32,Acc,98.2593,98.2963,98983690,
panopticon,eurosat,rgb+vre,fft,20,0.001,0.01,32,Acc,98.2963,98.3148,98983690,
olmoearth-base,benv2,s2_norgb,fft,16,0.0003,0.0,32,mAP,72.8474,67.0316,88970515,
panopticon,benv2,s2_norgb,fft,10,0.0003,0.0,32,mAP,66.6673,61.2606,98990611,
panopticon,eurosat,rgb+nir,fft,10,0.0003,0.0,32,Acc,98.4444,98.6852,98983690,
panopticon,eurosat,rgb+swir,fft,10,0.0003,0.0,32,Acc,98.7407,98.7037,98983690,
olmoearth-base,eurosat,rgb+nir,fft,20,0.001,0.01,32,Acc,98.3704,98.4444,88963594,
olmoearth-base,eurosat,rgb+vre,fft,20,0.001,0.01,32,Acc,97.9259,98.0,88963594,
olmoearth-base,eurosat,rgb+swir,fft,20,0.001,0.01,32,Acc,97.6296,97.6667,88963594,
olmoearth-base,eurosat,rgb+nir,fft,20,0.001,0.0001,32,Acc,98.6667,98.6852,88963594,
olmoearth-base,eurosat,rgb+vre,fft,20,0.001,0.0001,32,Acc,98.037,98.0926,88963594,
olmoearth-base,eurosat,rgb+swir,fft,20,0.001,0.0001,32,Acc,97.5926,97.7593,88963594,
olmoearth-base,eurosat,rgb+nir,fft,20,0.001,0.0,32,Acc,98.6667,98.4815,88963594,
olmoearth-base,eurosat,rgb+vre,fft,20,0.001,0.0,32,Acc,98.1111,97.9259,88963594,
olmoearth-base,eurosat,rgb+swir,fft,20,0.001,0.0,32,Acc,97.8148,97.8704,88963594,
panopticon,eurosat,rgb+nir,fft,20,0.001,0.01,32,Acc,98.1481,98.2593,98983690,
olmoearth-base,eurosat,rgb+nir,fft,20,0.0005,0.01,32,Acc,98.7037,98.5556,88963594,
olmoearth-base,eurosat,rgb+vre,fft,20,0.0005,0.01,32,Acc,98.3704,98.3333,88963594,
panopticon,eurosat,rgb+nir,fft,20,0.001,0.0001,32,Acc,98.1852,98.2778,98983690,
olmoearth-base,eurosat,rgb+swir,fft,20,0.0005,0.01,32,Acc,97.8148,97.9259,88963594,
panopticon,eurosat,rgb+nir,fft,20,0.001,0.0,32,Acc,98.0741,98.1481,98983690,
panopticon,eurosat,rgb+vre,fft,20,0.001,0.01,32,Acc,98.1852,98.3704,98983690,
panopticon,eurosat,rgb+nir,fft,20,0.0005,0.01,32,Acc,98.5926,98.7778,98983690,
panopticon,eurosat,rgb+vre,fft,20,0.001,0.0001,32,Acc,98.1852,98.2778,98983690,
panopticon,eurosat,rgb+nir,fft,20,0.0005,0.0001,32,Acc,98.5926,98.7037,98983690,
panopticon,eurosat,rgb+swir,fft,20,0.001,0.01,32,Acc,97.7407,97.8704,98983690,
panopticon,eurosat,rgb+vre,fft,20,0.001,0.0,32,Acc,98.1852,98.4444,98983690,
panopticon,eurosat,rgb+swir,fft,20,0.001,0.0001,32,Acc,98.037,98.1111,98983690,
panopticon,eurosat,rgb+vre,fft,20,0.0005,0.01,32,Acc,98.4444,98.537,98983690,
panopticon,eurosat,rgb+swir,fft,20,0.001,0.0,32,Acc,97.7037,98.2037,98983690,
panopticon,eurosat,rgb+swir,fft,20,0.0005,0.01,32,Acc,98.2593,98.6481,98983690,
panopticon,benv2,s2_norgb,fft,20,0.001,0.01,32,mAP,65.4751,61.742,98990611,
olmoearth-base,benv2,s2_norgb,fft,20,0.001,0.01,32,mAP,70.7306,66.8377,88970515,
panopticon,benv2,s2_norgb,fft,20,0.001,0.0001,32,mAP,66.1412,60.5067,98990611,
olmoearth-base,benv2,s2_norgb,fft,20,0.001,0.0001,32,mAP,70.8066,66.5048,88970515,
panopticon,benv2,s2_norgb,fft,20,0.001,0.0,32,mAP,66.5542,62.4321,98990611,
olmoearth-base,benv2,s2_norgb,fft,20,0.001,0.0,32,mAP,71.2554,66.2809,88970515,
panopticon,benv2,s2_norgb,fft,20,0.0005,0.01,32,mAP,66.6598,61.0788,98990611,
olmoearth-base,benv2,s2_norgb,fft,20,0.0005,0.01,32,mAP,71.918,65.4776,88970515,
panopticon,benv2,s2_norgb,fft,20,0.0005,0.0001,32,mAP,66.0547,61.2914,98990611,
olmoearth-base,benv2,s2_norgb,fft,20,0.0005,0.0001,32,mAP,71.5754,67.7998,88970515,
panopticon,benv2,s2_norgb,fft,20,0.0005,0.0,32,mAP,68.3902,61.4391,98990611,
olmoearth-base,benv2,s2_norgb,fft,20,0.0005,0.0,32,mAP,71.887,67.2058,88970515,
panopticon,benv2,s2_norgb,fft,20,0.0001,0.01,32,mAP,66.3027,61.1067,98990611,
olmoearth-base,benv2,s2_norgb,fft,20,0.0001,0.01,32,mAP,73.0314,68.9871,88970515,
panopticon,benv2,s2_norgb,fft,20,0.0001,0.0001,32,mAP,64.983,60.8833,98990611,
olmoearth-base,benv2,s2_norgb,fft,20,0.0001,0.0001,32,mAP,72.6392,68.8478,88970515,
panopticon,benv2,s2_norgb,fft,20,0.0001,0.0,32,mAP,66.2017,62.4786,98990611,
olmoearth-base,benv2,s2_norgb,fft,20,0.0001,0.0,32,mAP,73.1325,69.636,88970515,
panopticon,eurosat,rgb+nir,fft,20,0.001,0.01,32,Acc,98.5556,98.0926,98983690,
panopticon,eurosat,rgb+nir,fft,20,0.001,0.0001,32,Acc,98.3704,98.3148,98983690,
panopticon,eurosat,rgb+vre,fft,20,0.001,0.01,32,Acc,98.3704,98.2222,98983690,
panopticon,eurosat,rgb+nir,fft,20,0.001,0.0,32,Acc,98.1111,98.2778,98983690,
panopticon,eurosat,rgb+vre,fft,20,0.001,0.0001,32,Acc,98.1852,98.0556,98983690,
panopticon,eurosat,rgb+nir,fft,20,0.0005,0.01,32,Acc,98.4815,98.6111,98983690,
panopticon,eurosat,rgb+vre,fft,20,0.001,0.0,32,Acc,98.2222,98.1667,98983690,
panopticon,eurosat,rgb+nir,fft,20,0.0005,0.0001,32,Acc,98.5926,98.5556,98983690,
panopticon,eurosat,rgb+vre,fft,20,0.0005,0.01,32,Acc,98.5926,98.9259,98983690,
panopticon,eurosat,rgb+nir,fft,20,0.0005,0.0,32,Acc,98.4444,98.6296,98983690,
panopticon,eurosat,rgb+vre,fft,20,0.0005,0.0001,32,Acc,98.6296,98.7222,98983690,
panopticon,eurosat,rgb+nir,fft,20,0.0001,0.01,32,Acc,98.7407,98.6667,98983690,
panopticon,eurosat,rgb+swir,fft,20,0.001,0.01,32,Acc,97.5926,98.0185,98983690,
panopticon,eurosat,rgb+vre,fft,20,0.0005,0.0,32,Acc,98.6296,98.6667,98983690,
panopticon,eurosat,rgb+nir,fft,20,0.0001,0.0001,32,Acc,98.7778,98.5926,98983690,
panopticon,eurosat,rgb+swir,fft,20,0.001,0.0001,32,Acc,97.963,97.8333,98983690,
panopticon,eurosat,rgb+vre,fft,20,0.0001,0.01,32,Acc,98.5556,98.6667,98983690,
panopticon,eurosat,rgb+nir,fft,20,0.0001,0.0,32,Acc,98.8148,98.5185,98983690,
panopticon,eurosat,rgb+swir,fft,20,0.001,0.0,32,Acc,97.963,98.3889,98983690,
panopticon,eurosat,rgb+vre,fft,20,0.0001,0.0001,32,Acc,98.8148,98.7407,98983690,
panopticon,eurosat,rgb+swir,fft,20,0.0005,0.01,32,Acc,98.3704,98.537,98983690,
panopticon,eurosat,rgb+vre,fft,20,0.0001,0.0,32,Acc,98.7407,98.5741,98983690,
panopticon,eurosat,rgb+swir,fft,20,0.0005,0.0001,32,Acc,98.3333,98.5,98983690,
panopticon,eurosat,rgb+swir,fft,20,0.0005,0.0,32,Acc,98.1852,98.5,98983690,
olmoearth-base,eurosat,rgb+nir,fft,20,0.001,0.01,32,Acc,98.5185,98.6296,88963594,
panopticon,eurosat,rgb+swir,fft,20,0.0001,0.01,32,Acc,98.6296,98.7037,98983690,
olmoearth-base,eurosat,rgb+nir,fft,20,0.001,0.0001,32,Acc,98.4074,98.5185,88963594,
panopticon,eurosat,rgb+swir,fft,20,0.0001,0.0001,32,Acc,98.7778,98.7222,98983690,
olmoearth-base,eurosat,rgb+nir,fft,20,0.001,0.0,32,Acc,98.5185,98.6296,88963594,
panopticon,eurosat,rgb+swir,fft,20,0.0001,0.0,32,Acc,98.7407,98.5185,98983690,
olmoearth-base,eurosat,rgb+nir,fft,20,0.0005,0.01,32,Acc,98.8889,98.5,88963594,
olmoearth-base,eurosat,rgb+vre,fft,20,0.001,0.01,32,Acc,98.0741,97.9444,88963594,
olmoearth-base,eurosat,rgb+nir,fft,20,0.0005,0.0001,32,Acc,98.9259,98.8333,88963594,
olmoearth-base,eurosat,rgb+vre,fft,20,0.001,0.0001,32,Acc,97.9259,98.1296,88963594,
olmoearth-base,eurosat,rgb+nir,fft,20,0.0005,0.0,32,Acc,98.5185,98.7593,88963594,
olmoearth-base,eurosat,rgb+vre,fft,20,0.001,0.0,32,Acc,97.7778,97.7963,88963594,
olmoearth-base,eurosat,rgb+nir,fft,20,0.0001,0.01,32,Acc,98.5185,98.6852,88963594,
olmoearth-base,eurosat,rgb+nir,fft,20,0.0001,0.0001,32,Acc,98.8519,98.6111,88963594,
olmoearth-base,eurosat,rgb+vre,fft,20,0.0005,0.01,32,Acc,98.2222,98.1481,88963594,
olmoearth-base,eurosat,rgb+nir,fft,20,0.0001,0.0,32,Acc,98.3333,98.3333,88963594,
olmoearth-base,eurosat,rgb+vre,fft,20,0.0005,0.0001,32,Acc,98.1111,98.3519,88963594,
olmoearth-base,eurosat,rgb+swir,fft,20,0.001,0.01,32,Acc,97.6296,97.8333,88963594,
olmoearth-base,eurosat,rgb+vre,fft,20,0.0005,0.0,32,Acc,98.1111,98.5185,88963594,
olmoearth-base,eurosat,rgb+swir,fft,20,0.001,0.0001,32,Acc,97.7037,97.7963,88963594,
olmoearth-base,eurosat,rgb+vre,fft,20,0.0001,0.01,32,Acc,97.963,97.6481,88963594,
olmoearth-base,eurosat,rgb+swir,fft,20,0.001,0.0,32,Acc,97.9259,97.6481,88963594,
olmoearth-base,eurosat,rgb+vre,fft,20,0.0001,0.0001,32,Acc,97.9259,97.6667,88963594,
olmoearth-base,eurosat,rgb+swir,fft,20,0.0005,0.01,32,Acc,97.8519,98.2222,88963594,
olmoearth-base,eurosat,rgb+vre,fft,20,0.0001,0.0,32,Acc,97.6667,97.8704,88963594,
olmoearth-base,eurosat,rgb+swir,fft,20,0.0005,0.0001,32,Acc,98.0741,98.2037,88963594,
olmoearth-base,eurosat,rgb+swir,fft,20,0.0005,0.0,32,Acc,97.7778,98.2778,88963594,
olmoearth-base,eurosat,rgb+swir,fft,20,0.0001,0.01,32,Acc,97.5185,97.7593,88963594,
olmoearth-base,eurosat,rgb+swir,fft,20,0.0001,0.0001,32,Acc,97.4074,97.6852,88963594,
olmoearth-base,eurosat,rgb+swir,fft,20,0.0001,0.0,32,Acc,97.3704,97.5926,88963594,
olmoearth-large,eurosat,rgb+nir,fft,20,0.001,0.01,32,Acc,98.1852,98.1481,307783690,
olmoearth-large,eurosat,rgb+vre,fft,20,0.001,0.01,32,Acc,96.4444,96.8518,307783690,
olmoearth-large,eurosat,rgb+swir,fft,20,0.001,0.01,32,Acc,96.4074,96.1481,307783690,
olmoearth-large,benv2,s2_norgb,fft,20,0.001,0.01,32,mAP,70.155,67.3164,307792915,
olmoearth-large,benv2,s2_norgb,fft,20,0.001,0.0001,32,mAP,70.6431,67.603,307792915,
olmoearth-large,benv2,s2_norgb,fft,20,0.001,0.0,32,mAP,71.6269,66.5664,307792915,
olmoearth-large,benv2,s2_norgb,fft,20,0.0005,0.01,32,mAP,71.6716,67.6282,307792915,
olmoearth-large,benv2,s2_norgb,fft,20,0.0005,0.0001,32,mAP,72.3762,69.1496,307792915,
panopticon,dfc2020,s1,fft,20,0.001,0.01,32,mIoU,51.4056,51.9638,98982152,
panopticon,dfc2020,s1,fft,20,0.001,0.0001,32,mIoU,51.5157,52.3156,98982152,
panopticon,dfc2020,s1,fft,20,0.001,0.0,32,mIoU,51.7867,52.2799,98982152,
panopticon,dfc2020,s1,fft,20,0.0005,0.01,32,mIoU,52.2114,52.9806,98982152,
panopticon,dfc2020,s1,fft,20,0.0005,0.0001,32,mIoU,51.6170,52.3409,98982152,
panopticon,dfc2020,s1,fft,20,0.0005,0.0,32,mIoU,51.7969,52.5527,98982152,
panopticon,dfc2020,s1,fft,20,0.0001,0.01,32,mIoU,51.2068,50.9210,98982152,
panopticon,dfc2020,s1,fft,20,0.0001,0.0001,32,mIoU,51.4579,50.8410,98982152,
panopticon,dfc2020,s1,fft,20,0.0001,0.0,32,mIoU,51.4816,51.5903,98982152,
panopticon,dfc2020,s2,fft,20,0.001,0.01,32,mIoU,58.8140,58.1669,98982152,
panopticon,dfc2020,s2,fft,20,0.001,0.0001,32,mIoU,59.0532,58.4340,98982152,
panopticon,dfc2020,s2,fft,20,0.001,0.0,32,mIoU,58.6527,58.0371,98982152,
panopticon,dfc2020,s2,fft,20,0.0005,0.01,32,mIoU,58.8203,58.5693,98982152,
panopticon,dfc2020,s2_rgb,fft,20,0.001,0.01,32,mIoU,56.7307,56.7290,98982152,
panopticon,dfc2020,s2,fft,20,0.0005,0.0001,32,mIoU,58.7985,57.9764,98982152,
panopticon,dfc2020,s2_rgb,fft,20,0.001,0.0001,32,mIoU,56.9143,55.5287,98982152,
panopticon,dfc2020,s2,fft,20,0.0005,0.0,32,mIoU,58.7613,57.7747,98982152,
