checkpoint,num_supervised_epochs,starting_modality,supported_modalities,eval_type,real_modality,hallucinated_modality,test_acc,best_test_acc
checkpoints/vre_to_rgb.pt,32,vre,vre+rgb,real-multimodal-real-supervision,vre+rgb,,91.33333333333331,91.33333333333331
checkpoints/vre_to_rgb.pt,32,vre,vre+rgb,hallucinated-multimodal-real-supervision,vre,rgb,89.0925925925926,89.20370370370371
checkpoints/vre_to_rgb.pt,32,vre,vre+rgb,hallucinated-multimodal-real-supervision,rgb,vre,86.5925925925926,86.74074074074075
checkpoints/vre_to_rgb.pt,32,vre,vre+rgb,real-monomodal-real-supervision,vre,,89.05555555555556,89.16666666666667
checkpoints/vre_to_rgb.pt,32,vre,vre+rgb,real-monomodal-real-supervision,rgb,,83.22222222222223,83.53703703703704
checkpoints/vre_to_rgb.pt,32,vre,vre+rgb,hallucinated-multimodal-pseudo-supervision,rgb,vre,81.25925925925925,81.25925925925925
checkpoints/rgb_to_swir.pt,32,rgb,rgb+swir,real-multimodal-real-supervision,rgb+swir,,97.29629629629628,97.29629629629628
checkpoints/rgb_to_swir.pt,32,rgb,rgb+swir,hallucinated-multimodal-real-supervision,rgb,swir,96.64814814814817,96.8148148148148
checkpoints/rgb_to_swir.pt,32,rgb,rgb+swir,hallucinated-multimodal-real-supervision,swir,rgb,89.03703703703704,89.0925925925926
checkpoints/rgb_to_swir.pt,32,rgb,rgb+swir,real-monomodal-real-supervision,rgb,,96.61111111111111,97.07407407407408
checkpoints/rgb_to_swir.pt,32,rgb,rgb+swir,real-monomodal-real-supervision,swir,,88.88888888888889,89.27777777777777
checkpoints/rgb_to_swir.pt,32,rgb,rgb+swir,hallucinated-multimodal-pseudo-supervision,swir,rgb,86.79629629629629,87.25925925925925
checkpoints/rgb_to_vre.pt,32,rgb,rgb+vre,real-multimodal-real-supervision,rgb+vre,,97.66666666666669,97.66666666666669
checkpoints/rgb_to_vre.pt,32,rgb,rgb+vre,hallucinated-multimodal-real-supervision,rgb,vre,97.29629629629628,97.3148148148148
checkpoints/rgb_to_vre.pt,32,rgb,rgb+vre,hallucinated-multimodal-real-supervision,vre,rgb,89.88888888888889,90.55555555555556
checkpoints/rgb_to_vre.pt,32,rgb,rgb+vre,real-monomodal-real-supervision,rgb,,97.0925925925926,97.1851851851852
checkpoints/rgb_to_vre.pt,32,rgb,rgb+vre,real-monomodal-real-supervision,vre,,89.37037037037037,89.79629629629629
checkpoints/rgb_to_vre.pt,32,rgb,rgb+vre,hallucinated-multimodal-pseudo-supervision,vre,rgb,88.35185185185185,88.87037037037037
checkpoints/vre_to_nir.pt,32,vre,vre+nir,real-multimodal-real-supervision,vre+nir,,91.33333333333331,91.33333333333331
checkpoints/vre_to_nir.pt,32,vre,vre+nir,hallucinated-multimodal-real-supervision,vre,nir,89.75925925925925,90.07407407407408
checkpoints/vre_to_nir.pt,32,vre,vre+nir,hallucinated-multimodal-real-supervision,nir,vre,80.92592592592592,80.94444444444444
checkpoints/vre_to_nir.pt,32,vre,vre+nir,real-monomodal-real-supervision,vre,,90.05555555555556,90.24074074074076
checkpoints/vre_to_nir.pt,32,vre,vre+nir,real-monomodal-real-supervision,nir,,79.05555555555556,80.0925925925926
checkpoints/vre_to_nir.pt,32,vre,vre+nir,hallucinated-multimodal-pseudo-supervision,nir,vre,77.62962962962963,78.87037037037037
checkpoints/rgb_to_nir.pt,32,rgb,rgb+nir,real-multimodal-real-supervision,rgb+nir,,98.48148148148148,98.48148148148148
checkpoints/rgb_to_nir.pt,32,rgb,rgb+nir,hallucinated-multimodal-real-supervision,rgb,nir,98.29629629629628,98.35185185185183
checkpoints/rgb_to_nir.pt,32,rgb,rgb+nir,hallucinated-multimodal-real-supervision,nir,rgb,80.57407407407408,80.70370370370371
checkpoints/rgb_to_nir.pt,32,rgb,rgb+nir,real-monomodal-real-supervision,rgb,,98.29629629629628,98.4074074074074
checkpoints/rgb_to_nir.pt,32,rgb,rgb+nir,real-monomodal-real-supervision,nir,,79.61111111111111,79.74074074074075
checkpoints/rgb_to_nir.pt,32,rgb,rgb+nir,hallucinated-multimodal-pseudo-supervision,nir,rgb,77.70370370370371,78.24074074074075
checkpoints/vre_to_swir.pt,32,vre,vre+swir,real-multimodal-real-supervision,vre+swir,,91.87037037037037,91.87037037037037
checkpoints/vre_to_swir.pt,32,vre,vre+swir,hallucinated-multimodal-real-supervision,vre,swir,89.42592592592592,89.85185185185185
checkpoints/vre_to_swir.pt,32,vre,vre+swir,hallucinated-multimodal-real-supervision,swir,vre,89.20370370370371,89.75925925925925
checkpoints/vre_to_swir.pt,32,vre,vre+swir,real-monomodal-real-supervision,vre,,89.25925925925925,89.72222222222223
checkpoints/vre_to_swir.pt,32,vre,vre+swir,real-monomodal-real-supervision,swir,,89.25925925925925,89.5925925925926
