wandb_run_id,starting_modality,new_modality,ssl_lr,weight_decay,epochs,mask_ratio,modality_dropout,labeled_frequency,labeled_start_fraction,use_mae,use_latent,trainable_params,active_losses,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint,shote2e_checkpoint
bosulmbc,nir,rgb,1.0839106113589296e-05,0.007401909527488424,64,0.5943982314017323,0.270275366992076,0.1267618425761187,0.6645068868361604,True,True,47172628,prefusion+distill+ce+mae+latent,60.37,71.39,77.74,78.24,68.22,69.93,69.06,84.13,checkpoints/nir_randinit_fft.pt,checkpoints/sweep_bosulmbc_0203_2350.pt
ymyjrrax,nir,rgb,0.0004971130400120775,0.0005474726806079752,64,0.8715630836532139,0.3549834139370095,0.4474686787403625,0.5793115089637347,True,True,47172628,prefusion+distill+ce+mae+latent,69.37,80.57,76.67,77.09,65.04,70.78,72.89,84.00,checkpoints/nir_randinit_fft.pt,checkpoints/sweep_ymyjrrax_0203_2350.pt
i2hkajt5,rgb,vre,1.73941997690802e-05,0.03455963275202448,64,0.5318604582048153,0.10647246021379604,0.5045961556634849,0.9611915877695826,True,True,47369492,prefusion+distill+ce+mae+latent,75.07,79.00,87.85,88.02,85.67,84.48,80.69,89.02,checkpoints/rgb_randinit_fft.pt,checkpoints/sweep_i2hkajt5_0203_2351.pt
utbdxgyf,nir,vre,0.000103151329477721,0.0038551863897213464,64,0.3013689495167089,0.21478693643413643,0.820015393800206,0.9962961668748688,True,True,47172628,prefusion+distill+ce+mae+latent,74.81,79.22,75.81,78.57,79.15,78.78,75.28,80.74,checkpoints/nir_randinit_fft.pt,checkpoints/sweep_utbdxgyf_0203_2351.pt
fpv0j4hr,swir,rgb,0.00018443820793240896,0.058053918733309486,64,0.15960974585195933,0.3760402392914505,0.7085066435449593,0.30898219692601925,True,True,47369492,prefusion+distill+ce+mae+latent,79.67,84.44,86.37,85.98,91.56,85.20,82.78,89.69,checkpoints/swir_randinit_fft.pt,checkpoints/sweep_fpv0j4hr_0203_2351.pt
uzoc13ty,swir,rgb,5.215296563835423e-05,2.0847575422096333e-05,64,0.8233142017385581,0.21070210415227952,0.7553610879089752,0.44463173853770266,True,True,47369492,prefusion+distill+ce+mae+latent,76.78,80.94,87.11,86.83,92.15,85.69,81.94,89.61,checkpoints/swir_randinit_fft.pt,checkpoints/sweep_uzoc13ty_0203_2351.pt
htujlkv9,rgb,vre,3.3711211236860506e-05,0.04005129419648364,64,0.2128577138776409,0.12556608896182328,0.15296233492456088,0.4393693170096348,True,True,47369492,prefusion+distill+ce+mae+latent,76.44,80.78,88.00,88.56,89.33,88.72,82.17,90.22,checkpoints/rgb_randinit_fft.pt,checkpoints/sweep_htujlkv9_0203_2352.pt
2yq69l93,swir,nir,5.452586005075349e-05,0.022183955564162753,64,0.8376291784939556,0.422326517467414,0.44766882000973646,0.1863243877969785,True,True,47172628,prefusion+distill+ce+mae+latent,72.41,76.11,86.41,86.09,91.74,85.30,79.37,88.30,checkpoints/swir_randinit_fft.pt,checkpoints/sweep_2yq69l93_0203_2353.pt
v23qn758,rgb,swir,0.00013588903301664965,0.03203225502732988,64,0.7009644485597245,0.3499980974869997,0.6791064455580849,0.7560870131057343,True,True,47369492,prefusion+distill+ce+mae+latent,77.41,81.91,88.00,87.50,84.52,83.81,82.59,90.76,checkpoints/rgb_randinit_fft.pt,checkpoints/sweep_v23qn758_0203_2357.pt
vkdnvm8c,rgb,swir,0.0001619257444559464,0.0032838975325114655,64,0.715468269193271,0.2278284722977782,0.05186005691998824,0.8044730086527818,True,True,47369492,prefusion+distill+ce+mae+latent,76.44,79.91,85.93,86.41,84.44,84.65,80.28,89.72,checkpoints/rgb_randinit_fft.pt,checkpoints/sweep_vkdnvm8c_0204_0001.pt
j1nryshi,rgb,swir,0.00017769651616495735,0.00013284666351101446,64,0.7499720689167958,0.32817293086907917,0.7125769731060311,0.04398961268757895,True,True,47369492,prefusion+distill+ce+mae+latent,78.19,82.98,88.63,88.56,82.67,81.91,83.07,90.67,checkpoints/rgb_randinit_fft.pt,checkpoints/sweep_j1nryshi_0204_0003.pt
emtl6bpa,rgb,vre,4.669124769733141e-05,0.0013265133329534856,64,0.4159393433979963,0.1383275885675778,0.821701356463304,0.5555130268155004,True,True,47369492,prefusion+distill+ce+mae+latent,76.26,82.04,88.26,88.72,88.26,88.09,81.80,90.50,checkpoints/rgb_randinit_fft.pt,checkpoints/sweep_emtl6bpa_0204_0003.pt
oylsurit,rgb,vre,8.599803366212963e-05,0.012820573510679402,64,0.5530296546856874,0.4986702702405746,0.7692620937417832,0.010062797877695262,True,True,47369492,prefusion+distill+ce+mae+latent,79.00,84.70,88.44,89.19,85.74,85.43,83.70,91.59,checkpoints/rgb_randinit_fft.pt,checkpoints/sweep_oylsurit_0204_0003.pt
owpu4e76,nir,swir,1.1972989789919124e-05,0.0007608989659172972,64,0.6149655966775536,0.3088132960106802,0.5767907446332916,0.9166809581810668,True,True,47172628,prefusion+distill+ce+mae+latent,67.00,75.80,77.44,78.83,68.74,71.80,72.15,81.81,checkpoints/nir_randinit_fft.pt,checkpoints/sweep_owpu4e76_0204_0004.pt
jpkz3q13,nir,rgb,0.0004249578700337254,1.3204913508758254e-05,64,0.4184453336894912,0.3807130005922004,0.146352062747947,0.3141956679624779,True,True,47172628,prefusion+distill+ce+mae+latent,69.63,80.43,77.15,78.57,77.89,80.24,72.80,84.20,checkpoints/nir_randinit_fft.pt,checkpoints/sweep_jpkz3q13_0204_0005.pt
cg2wa368,rgb,vre,0.00015347367392589737,0.04190894947363536,64,0.4282460310612628,0.40189529307470906,0.20152849932915792,0.04742768694786348,True,True,47369492,prefusion+distill+ce+mae+latent,79.59,84.96,86.96,87.19,87.96,88.93,83.15,90.78,checkpoints/rgb_randinit_fft.pt,checkpoints/sweep_cg2wa368_0204_0007.pt
q2kw2cxb,rgb,vre,2.543582455835872e-05,0.020238722859045488,64,0.10733240633212836,0.4148588101232508,0.47981923823038025,0.3649171409576968,True,True,47369492,prefusion+distill+ce+mae+latent,80.59,85.65,89.22,88.98,89.63,88.24,84.91,91.48,checkpoints/rgb_randinit_fft.pt,checkpoints/sweep_q2kw2cxb_0204_0008.pt
uc8w7l08,nir,rgb,0.0006375525272407589,0.05958104698227218,64,0.7056192701910934,0.4643837049150009,0.6439341201898798,0.02587662628967169,True,True,47172628,prefusion+distill+ce+mae+latent,68.81,81.06,77.41,78.89,73.19,79.85,72.85,84.93,checkpoints/nir_randinit_fft.pt,checkpoints/sweep_uc8w7l08_0204_0013.pt
niz1pgbe,nir,swir,4.899675054424198e-05,0.0006279936514555389,64,0.6939162790112052,0.4981902805291919,0.7777953552061597,0.6831561471683916,True,True,47172628,prefusion+distill+ce+mae+latent,70.70,81.09,79.07,79.80,69.04,72.46,74.81,85.06,checkpoints/nir_randinit_fft.pt,checkpoints/sweep_niz1pgbe_0204_0017.pt
edfljcqu,nir,swir,0.00021660884954058227,2.0844083606321585e-05,64,0.5773923850994641,0.17106476731309989,0.27284197884334344,0.2425065813600219,True,True,47172628,prefusion+distill+ce+mae+latent,69.85,79.50,77.22,77.87,75.81,79.22,72.80,83.11,checkpoints/nir_randinit_fft.pt,checkpoints/sweep_edfljcqu_0204_0017.pt
ypvb1jxg,vre,nir,0.00012898728533607397,0.009909267039753663,64,0.238157546654141,0.37919748255990327,0.06282306026879106,0.21146019820223683,True,True,47172628,prefusion+distill+ce+mae+latent,73.04,75.41,88.89,88.91,94.11,89.07,80.96,88.24,checkpoints/vre_randinit_fft.pt,checkpoints/sweep_ypvb1jxg_0204_0019.pt
