model_type,teacher_modality,student_modalities,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,weight_decay,trainable_params,epochs,use_dino_weights,metric_name,teacher_train1_metric,teacher_train2_metric,teacher_test_metric,student_test_metric,student_best_test_metric,best_epoch,saved_checkpoint,global_rep,teacher_checkpoint
evan_small,rgb,rgb+vre,fft,0,fft,0.0001,0.0001,21604618,5,False,Acc,99.53,85.07,85.81,83.67,83.67,5,checkpoints/evan_mke_eurosat_rgb_to_rgb_vre_20260414_020312.pt,clstoken,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0001_20260414_012917.pt
evan_small,rgb,rgb+vre,fft,0,fft,0.0001,0.0001,21604618,10,False,Acc,99.53,85.07,85.81,85.94,85.94,10,checkpoints/evan_mke_eurosat_rgb_to_rgb_vre_20260414_020937.pt,clstoken,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0001_20260414_012917.pt
