model,dataset,modality,train_mode,epochs,lr,weight_decay,batch_size,metric_name,val_metric,test_metric,trainable_params,saved_checkpoint
olmoearth-large,benv2,s2s1,fft,20,0.0001,1e-05,32,mAP,67.7574,64.6010,307792915,checkpoints/rsfm_benv2_s2s1_fft_20260416_210737.pt
olmoearth-large,dfc2020,s2s1,fft,20,0.0005,0.0001,32,mIoU,53.5250,14.3243,307781640,checkpoints/rsfm_dfc2020_s2s1_fft_20260416_210840.pt
olmoearth-large,dfc2020,s2,fft,20,5e-05,0.0001,32,mIoU,58.0183,50.3419,307781640,checkpoints/rsfm_dfc2020_s2_fft_20260416_211337.pt
olmoearth-large,benv2,s2_rgb,fft,20,5e-05,0.0001,32,mAP,64.6188,59.4534,307792915,checkpoints/rsfm_benv2_s2_rgb_fft_20260416_212155.pt
olmoearth-large,dfc2020,s2_rgb,fft,20,0.0005,0.0001,32,mIoU,43.0415,1.3859,307781640,checkpoints/rsfm_dfc2020_s2_rgb_fft_20260416_213055.pt
olmoearth-large,dfc2020,s1,fft,20,0.0005,1e-05,32,mIoU,46.9246,24.0800,307781640,checkpoints/rsfm_dfc2020_s1_fft_20260416_213157.pt
olmoearth-large,dfc2020,s2,fft,20,5e-05,1e-05,32,mIoU,57.3940,51.5324,307781640,checkpoints/rsfm_dfc2020_s2_fft_20260416_214123.pt
olmoearth-large,dfc2020,s2s1,fft,20,0.0005,1e-05,32,mIoU,52.7225,6.9251,307781640,checkpoints/rsfm_dfc2020_s2s1_fft_20260416_214530.pt
olmoearth-large,benv2,s2_rgb,fft,20,5e-05,1e-05,32,mAP,63.3038,59.7494,307792915,checkpoints/rsfm_benv2_s2_rgb_fft_20260416_215134.pt
olmoearth-large,dfc2020,s2_rgb,fft,20,0.0005,1e-05,32,mIoU,37.2156,14.5367,307781640,checkpoints/rsfm_dfc2020_s2_rgb_fft_20260416_215816.pt
olmoearth-large,dfc2020,s1,fft,20,0.0001,0.0001,32,mIoU,48.9704,44.8771,307781640,checkpoints/rsfm_dfc2020_s1_fft_20260416_220603.pt
olmoearth-large,dfc2020,s2s1,fft,20,0.0001,0.0001,32,mIoU,58.4925,53.5618,307781640,checkpoints/rsfm_dfc2020_s2s1_fft_20260416_222221.pt
olmoearth-large,dfc2020,s2_rgb,fft,20,0.0001,0.0001,32,mIoU,51.4497,39.7101,307781640,checkpoints/rsfm_dfc2020_s2_rgb_fft_20260416_222552.pt
olmoearth-large,dfc2020,s1,fft,20,0.0001,1e-05,32,mIoU,48.2284,38.3565,307781640,checkpoints/rsfm_dfc2020_s1_fft_20260416_223952.pt
olmoearth-large,dfc2020,s2_rgb,fft,20,0.0001,1e-05,32,mIoU,50.9262,41.2775,307781640,checkpoints/rsfm_dfc2020_s2_rgb_fft_20260416_225323.pt
olmoearth-large,dfc2020,s2s1,fft,20,0.0001,1e-05,32,mIoU,58.3972,53.5206,307781640,checkpoints/rsfm_dfc2020_s2s1_fft_20260416_225920.pt
olmoearth-large,dfc2020,s1,fft,20,5e-05,0.0001,32,mIoU,51.2418,47.9739,307781640,checkpoints/rsfm_dfc2020_s1_fft_20260416_231341.pt
olmoearth-large,dfc2020,s2_rgb,fft,20,5e-05,0.0001,32,mIoU,55.1757,47.5762,307781640,checkpoints/rsfm_dfc2020_s2_rgb_fft_20260416_232051.pt
olmoearth-large,dfc2020,s2_rgb,fft,20,5e-05,1e-05,32,mIoU,54.0833,45.2977,307781640,checkpoints/rsfm_dfc2020_s2_rgb_fft_20260416_234819.pt
olmoearth-large,eurosat,rgb,fft,4,0.0001,1e-05,32,Acc,90.2222,80.3148,307783690,checkpoints/rsfm_eurosat_rgb_fft_20260417_021418.pt
olmoearth-large,eurosat,rgb,fft,4,5e-05,1e-05,32,Acc,86.1481,22.3889,307783690,checkpoints/rsfm_eurosat_rgb_fft_20260417_023929.pt
olmoearth-large,eurosat,rgb,fft,4,5e-05,1e-05,32,Acc,89.4074,90.2037,307783690,checkpoints/rsfm_eurosat_rgb_fft_20260417_025502.pt
olmoearth-large,eurosat,rgb,fft,12,5e-05,1e-05,32,Acc,96.8148,97.0000,307783690,checkpoints/rsfm_eurosat_rgb_fft_20260417_035548.pt
