starting_modality,new_modality,ssl_lr,weight_decay,epochs,mask_ratio,modality_dropout,labeled_frequency,labeled_start_fraction,trainable_params,active_losses,use_mfla,mfla_warmup_epochs,transfer_acc,peeking_acc,addition_acc,addition_ens_acc,valchecked_transfer_acc,valchecked_peek_acc,valchecked_add_acc,valchecked_add_ens_acc,stage0_checkpoint,shote2e_checkpoint
vre,swir,0.0001,0.01,128,0.75,0.5,0.2,0.5,47369492,all,False,0,84.33,90.52,89.67,90.41,83.63,90.52,90.15,90.41,checkpoints/vre_randinit_fft.pt,checkpoints/vre_to_swir.pt
nir,rgb,0.0001,0.01,128,0.75,0.5,0.2,0.5,47172628,all,False,0,77.19,79.24,61.19,84.57,80.09,79.24,69.30,84.57,checkpoints/nir_randinit_fft.pt,checkpoints/nir_to_rgb.pt
nir,swir,0.0001,0.01,128,0.75,0.5,0.2,0.5,47172628,all,False,0,79.07,78.93,72.24,83.02,79.07,79.24,76.28,83.02,checkpoints/nir_randinit_fft.pt,checkpoints/nir_to_swir.pt
swir,rgb,0.0001,0.01,128,0.75,0.5,0.2,0.5,47369492,all,False,0,83.06,87.17,86.35,88.48,83.15,87.17,86.35,88.48,checkpoints/swir_randinit_fft.pt,checkpoints/swir_to_rgb.pt
swir,vre,0.0001,0.01,128,0.75,0.5,0.2,0.5,47369492,all,False,0,83.91,86.11,82.96,88.22,83.46,85.83,84.74,88.22,checkpoints/swir_randinit_fft.pt,checkpoints/swir_to_vre.pt
swir,nir,0.0001,0.01,128,0.75,0.5,0.2,0.5,47172628,all,False,0,75.76,85.69,85.06,87.13,76.06,85.69,85.46,87.13,checkpoints/swir_randinit_fft.pt,checkpoints/swir_to_nir.pt
rgb,nir,0.0001,0.01,128,0.75,0.5,0.2,0.5,47172628,all,False,0,77.98,87.46,88.41,89.87,79.26,88.04,88.85,89.87,checkpoints/rgb_randinit_fft.pt,checkpoints/rgb_to_nir.pt
rgb,vre,0.0001,0.01,128,0.75,0.5,0.2,0.5,47369492,all,False,0,83.76,88.44,83.72,90.30,84.17,88.44,86.93,90.30,checkpoints/rgb_randinit_fft.pt,checkpoints/rgb_to_vre.pt
rgb,swir,0.0001,0.01,128,0.75,0.5,0.2,0.5,47369492,all,False,0,82.67,88.41,82.06,90.22,83.87,88.41,84.76,90.22,checkpoints/rgb_randinit_fft.pt,checkpoints/rgb_to_swir.pt
rgb,swir,0.0001,0.01,128,0.75,0.5,0.2,0.5,47369492,all,False,0,80.09,87.56,86.80,89.41,83.26,87.78,86.80,89.41,checkpoints/rgb_randinit_fft.pt,checkpoints/rgb_to_swir.pt
