model_type,teacher_modality,student_modality,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,trainable_params,epoch,temperature,alpha,distillation_mode,metric_name,test_metric,best_test_metric(oracle),best_epoch,ensemble_metric_avg,ensemble_metric_softmax,teacher_classifier_acc,supervised_classifier_acc,supervised_classifier_best_acc,saved_checkpoint,global_rep,teacher_checkpoint
evan_small,s2,s1,fft,32,fft,0.0001,21894164,16,2.0,1.0,regular,mIoU,2.32,2.32,1,6.59,9.50,,,,checkpoints/evan_distill_pastis_s2_to_s1_20260318_125140.pt,clstoken,checkpoints/pastis_s2_s0.pt
evan_small,s2,s1,fft,32,fft,0.0001,21894164,64,2.0,1.0,regular,mIoU,2.32,2.32,1,6.68,9.77,,,,checkpoints/evan_distill_pastis_s2_to_s1_20260318_135229.pt,clstoken,checkpoints/pastis_s2_s0.pt
