checkpoint,num_supervised_epochs,starting_modality,supported_modalities,eval_type,distillation,real_modality,hallucinated_modality,test_acc,best_test_acc
checkpoints/rgb_to_swir_jan27c.pt,16,rgb,rgb+swir,delulu-addition,none,rgb+swir,,98.42592592592592,98.55555555555556
checkpoints/rgb_to_swir_jan27c.pt,16,rgb,rgb+swir,delulu-peeking,none,rgb,swir,98.51851851851852,98.55555555555556
checkpoints/rgb_to_swir_jan27c.pt,16,rgb,rgb+swir,delulu-transfer,alternating,swir,rgb,96.35185185185185,96.44444444444444
checkpoints/rgb_to_swir_jan27c.pt,16,rgb,rgb+swir,delulu-addition,alternating,rgb+swir,,98.46296296296296,98.5
checkpoints/rgb_to_swir_jan27c.pt,16,rgb,rgb+swir,delulu-peeking,alternating,rgb,swir,98.5,98.53703703703704
checkpoints/rgb_to_swir_jan27c.pt,16,rgb,rgb+swir,delulu-transfer,distill_only,swir,rgb,96.35185185185185,96.44444444444444
checkpoints/rgb_to_swir_jan27c.pt,16,rgb,rgb+swir,delulu-addition,distill_only,rgb+swir,,98.4074074074074,98.42592592592592
checkpoints/rgb_to_swir_jan27c.pt,16,rgb,rgb+swir,delulu-peeking,distill_only,rgb,swir,98.42592592592592,98.53703703703704
checkpoints/vre_to_rgb_jan27c.pt,16,vre,vre+rgb,delulu-transfer,none,rgb,vre,87.07407407407408,87.72222222222223
checkpoints/vre_to_rgb_jan27c.pt,16,vre,vre+rgb,delulu-addition,none,vre+rgb,,90.29629629629629,90.48148148148148
checkpoints/vre_to_rgb_jan27c.pt,16,vre,vre+rgb,delulu-peeking,none,vre,rgb,90.01851851851852,90.33333333333333
checkpoints/vre_to_rgb_jan27c.pt,16,vre,vre+rgb,delulu-transfer,alternating,rgb,vre,87.48148148148148,87.74074074074075
checkpoints/vre_to_rgb_jan27c.pt,16,vre,vre+rgb,delulu-addition,alternating,vre+rgb,,90.18518518518519,90.55555555555556
checkpoints/vre_to_rgb_jan27c.pt,16,vre,vre+rgb,delulu-peeking,alternating,vre,rgb,89.98148148148148,90.37037037037037
checkpoints/vre_to_rgb_jan27c.pt,16,vre,vre+rgb,delulu-transfer,distill_only,rgb,vre,87.53703703703704,87.66666666666667
checkpoints/vre_to_rgb_jan27c.pt,16,vre,vre+rgb,delulu-addition,distill_only,vre+rgb,,90.01851851851852,90.25925925925925
