checkpoint,num_supervised_epochs,starting_modality,supported_modalities,eval_type,real_modality,hallucinated_modality,test_acc,best_test_acc
checkpoints/rgb_to_nir.pt,36,rgb,rgb+nir,delulu-transfer,nir,rgb,91.74074074074075,91.85185185185185
checkpoints/rgb_to_nir.pt,36,rgb,rgb+nir,delulu-addition,rgb+nir,,98.57407407407408,98.64814814814815
checkpoints/rgb_to_nir.pt,36,rgb,rgb+nir,delulu-peeking,rgb,nir,98.62962962962963,98.74074074074075
checkpoints/rgb_to_swir.pt,36,rgb,rgb+swir,delulu-transfer,swir,rgb,95.66666666666667,96.03703703703704
checkpoints/rgb_to_swir.pt,36,rgb,rgb+swir,delulu-addition,rgb+swir,,98.62962962962963,98.70370370370371
checkpoints/rgb_to_swir.pt,36,rgb,rgb+swir,delulu-peeking,rgb,swir,98.5925925925926,98.70370370370371
checkpoints/rgb_to_vre.pt,36,rgb,rgb+vre,delulu-transfer,vre,rgb,97.27777777777777,97.4074074074074
checkpoints/rgb_to_vre.pt,36,rgb,rgb+vre,delulu-addition,rgb+vre,,98.72222222222223,98.79629629629629
checkpoints/rgb_to_vre.pt,36,rgb,rgb+vre,delulu-peeking,rgb,vre,98.77777777777777,98.77777777777777
checkpoints/vre_to_rgb.pt,36,vre,vre+rgb,delulu-transfer,rgb,vre,85.55555555555556,85.94444444444444
checkpoints/vre_to_rgb.pt,36,vre,vre+rgb,delulu-addition,vre+rgb,,90.0925925925926,90.22222222222223
checkpoints/vre_to_rgb.pt,36,vre,vre+rgb,delulu-peeking,vre,rgb,89.87037037037037,90.01851851851852
checkpoints/vre_to_swir.pt,36,vre,vre+swir,delulu-transfer,swir,vre,86.79629629629629,87.01851851851852
checkpoints/vre_to_swir.pt,36,vre,vre+swir,delulu-addition,vre+swir,,90.24074074074075,90.35185185185185
checkpoints/vre_to_swir.pt,36,vre,vre+swir,delulu-peeking,vre,swir,90.03703703703704,90.25925925925925
checkpoints/vre_to_nir.pt,36,vre,vre+nir,delulu-transfer,nir,vre,75.88888888888889,76.66666666666667
checkpoints/vre_to_nir.pt,36,vre,vre+nir,delulu-addition,vre+nir,,90.0,90.24074074074075
checkpoints/vre_to_nir.pt,36,vre,vre+nir,delulu-peeking,vre,nir,90.24074074074075,90.29629629629629
checkpoints/nir_to_swir.pt,36,nir,nir+swir,delulu-transfer,swir,nir,81.85185185185185,82.5925925925926
checkpoints/nir_to_swir.pt,36,nir,nir+swir,delulu-addition,nir+swir,,83.66666666666667,84.35185185185185
checkpoints/nir_to_swir.pt,36,nir,nir+swir,delulu-peeking,nir,swir,79.74074074074075,80.22222222222223
checkpoints/nir_to_vre.pt,36,nir,nir+vre,delulu-transfer,vre,nir,79.29629629629629,79.87037037037037
checkpoints/nir_to_vre.pt,36,nir,nir+vre,delulu-addition,nir+vre,,79.85185185185185,80.27777777777777
checkpoints/nir_to_vre.pt,36,nir,nir+vre,delulu-peeking,nir,vre,79.35185185185185,79.74074074074075
checkpoints/nir_to_rgb.pt,36,nir,nir+rgb,delulu-transfer,rgb,nir,85.07407407407408,85.46296296296296
checkpoints/nir_to_rgb.pt,36,nir,nir+rgb,delulu-addition,nir+rgb,,83.79629629629629,83.79629629629629
checkpoints/nir_to_rgb.pt,36,nir,nir+rgb,delulu-peeking,nir,rgb,81.57407407407408,81.57407407407408
checkpoints/swir_to_rgb.pt,36,swir,swir+rgb,delulu-transfer,rgb,swir,86.14814814814815,86.74074074074075
checkpoints/swir_to_rgb.pt,36,swir,swir+rgb,delulu-addition,swir+rgb,,88.03703703703704,88.22222222222223
checkpoints/swir_to_rgb.pt,36,swir,swir+rgb,delulu-peeking,swir,rgb,87.92592592592592,87.96296296296296
checkpoints/swir_to_vre.pt,36,swir,swir+vre,delulu-transfer,vre,swir,87.87037037037037,88.03703703703704
checkpoints/swir_to_vre.pt,36,swir,swir+vre,delulu-addition,swir+vre,,88.27777777777777,88.35185185185185
checkpoints/swir_to_vre.pt,36,swir,swir+vre,delulu-peeking,swir,vre,88.01851851851852,88.25925925925925
checkpoints/swir_to_nir.pt,36,swir,swir+nir,delulu-transfer,nir,swir,79.72222222222223,79.94444444444444
checkpoints/swir_to_nir.pt,36,swir,swir+nir,delulu-addition,swir+nir,,88.4074074074074,88.62962962962963
checkpoints/swir_to_nir.pt,36,swir,swir+nir,delulu-peeking,swir,nir,88.22222222222223,88.27777777777777
