dataset,model_type,modality,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,weight_decay,trainable_params,epoch,test_metric,val_metric,metric_name,saved_checkpoint,global_rep,dino_init,num_time_steps,decoder,train_aug,train_split
dfc2020,evan_base,s2_rgb,fft,32,fft,0.0005,0.01,85675784,24,48.15,47.19,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260820_160505.pt,clstoken,False,12,linear,none,split1
dfc2020,evan_base,s2_rgb,fft,32,fft,0.0001,0.01,85675784,24,39.63,39.07,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0001_20260820_160553.pt,clstoken,False,12,linear,none,split1
dfc2020,evan_base,s1,fft,32,fft,0.0001,0.0,85479176,24,45.35,45.25,mIoU,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0001_20260820_155936.pt,clstoken,True,12,linear,none,full
dfc2020,evan_base,s2_rgb,fft,32,fft,0.0001,0.0,85675784,24,39.77,39.17,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0001_20260820_160631.pt,clstoken,False,12,linear,none,split1
dfc2020,evan_base,s2_norgb,fft,32,fft,0.0005,0.01,87052040,24,53.29,53.28,mIoU,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260820_160708.pt,clstoken,False,12,linear,none,split1
dfc2020,evan_base,s2_norgb,fft,32,fft,0.0001,0.0,87052040,24,47.33,46.13,mIoU,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0001_20260820_160822.pt,clstoken,False,12,linear,none,split1
dfc2020,evan_base,s2_norgb,fft,32,fft,0.0005,0.0,87052040,24,53.38,53.52,mIoU,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260820_160728.pt,clstoken,False,12,linear,none,split1
dfc2020,evan_base,s1,fft,32,fft,0.0005,0.0,85479176,24,41.09,41.29,mIoU,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260820_160902.pt,clstoken,False,12,linear,none,split1
dfc2020,evan_base,s1,fft,32,fft,0.0001,0.01,85479176,24,46.01,45.07,mIoU,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0001_20260820_155921.pt,clstoken,True,12,linear,none,full
dfc2020,evan_base,s1,fft,32,fft,0.0005,0.01,85479176,24,40.75,40.77,mIoU,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260820_161004.pt,clstoken,False,12,linear,none,split1
dfc2020,evan_base,s2_norgb,fft,32,fft,0.0001,0.01,87052040,24,47.99,46.79,mIoU,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0001_20260820_160904.pt,clstoken,False,12,linear,none,split1
