dataset,model_type,modality,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,weight_decay,trainable_params,epoch,test_metric,val_metric,metric_name,saved_checkpoint,global_rep,dino_init,num_time_steps,decoder,train_aug,train_split
dfc2020,evan_base,s2_rgb,fft,32,fft,0.0005,0.01,85675784,24,35.47,51.77,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260812_045538.pt,clstoken,False,12,linear,none,split1
dfc2020,evan_base,s2_rgb,fft,32,fft,0.0005,0.0,85675784,24,33.74,50.74,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260812_045445.pt,clstoken,False,12,linear,none,split1
dfc2020,evan_base,s2_rgb+s1,fft,32,fft,0.0005,0.01,107342600,24,36.61,53.17,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s1_fft_lr0.0005_20260812_051436.pt,clstoken,False,12,linear,none,full
dfc2020,evan_base,s2_rgb+s1,fft,32,fft,0.0001,0.01,107342600,24,35.35,50.31,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s1_fft_lr0.0001_20260812_051533.pt,clstoken,False,12,linear,none,full
dfc2020,evan_base,s2_rgb+s1,fft,32,fft,0.0005,0.0,107342600,24,39.59,52.95,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s1_fft_lr0.0005_20260812_051718.pt,clstoken,False,12,linear,none,full
dfc2020,evan_base,s2_rgb+s1,fft,32,fft,0.0001,0.0,107342600,24,34.26,50.15,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s1_fft_lr0.0001_20260812_052401.pt,clstoken,False,12,linear,none,full
dfc2020,evan_base,s2_rgb,fft,32,fft,0.0005,0.01,85675784,24,36.36,52.11,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260812_051136.pt,clstoken,False,12,linear,none,full
dfc2020,evan_base,s2_rgb,fft,32,fft,0.0001,0.0,85675784,24,34.66,50.91,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0001_20260812_051227.pt,clstoken,False,12,linear,none,full
dfc2020,evan_base,s2_rgb,fft,32,fft,0.0005,0.0,85675784,24,35.48,52.53,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260812_051135.pt,clstoken,False,12,linear,none,full
dfc2020,evan_base,s2_rgb,fft,32,fft,0.0001,0.01,85675784,24,34.65,50.69,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0001_20260812_051215.pt,clstoken,False,12,linear,none,full
