dataset,model_type,modality,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,weight_decay,trainable_params,epoch,test_metric,val_metric,metric_name,saved_checkpoint,global_rep,dino_init
eurosat,evan_base,rgb,fft,32,fft,0.0001,0.0,85677322,24,98.80,98.41,Acc,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0001_20260418_051542.pt,clstoken,True
eurosat,evan_base,vre,fft,32,fft,0.001,0.0,85677322,24,90.46,90.33,Acc,checkpoints/sft_evan_base_eurosat_vre_fft_lr0.001_20260418_051815.pt,clstoken,True
eurosat,evan_base,vre,fft,32,fft,0.0005,0.01,85677322,24,89.91,89.48,Acc,checkpoints/sft_evan_base_eurosat_vre_fft_lr0.0005_20260418_051928.pt,clstoken,True
eurosat,evan_base,vre,fft,32,fft,0.0005,0.0,85677322,24,90.67,90.37,Acc,checkpoints/sft_evan_base_eurosat_vre_fft_lr0.0005_20260418_051940.pt,clstoken,True
eurosat,evan_base,vre,fft,32,fft,0.001,0.01,85677322,24,90.22,89.81,Acc,checkpoints/sft_evan_base_eurosat_vre_fft_lr0.001_20260418_051638.pt,clstoken,True
eurosat,evan_base,vre,fft,32,fft,0.0001,0.01,85677322,24,88.63,88.59,Acc,checkpoints/sft_evan_base_eurosat_vre_fft_lr0.0001_20260418_052000.pt,clstoken,True
eurosat,evan_base,vre,fft,32,fft,0.0001,0.0,85677322,24,88.07,87.56,Acc,checkpoints/sft_evan_base_eurosat_vre_fft_lr0.0001_20260418_052205.pt,clstoken,True
eurosat,evan_base,swir,fft,32,fft,0.001,0.0,85677322,24,88.44,88.67,Acc,checkpoints/sft_evan_base_eurosat_swir_fft_lr0.001_20260418_052225.pt,clstoken,True
eurosat,evan_base,swir,fft,32,fft,0.001,0.01,85677322,24,88.65,87.93,Acc,checkpoints/sft_evan_base_eurosat_swir_fft_lr0.001_20260418_052224.pt,clstoken,True
eurosat,evan_base,swir,fft,32,fft,0.0005,0.0,85677322,24,88.74,88.19,Acc,checkpoints/sft_evan_base_eurosat_swir_fft_lr0.0005_20260418_052636.pt,clstoken,True
eurosat,evan_base,swir,fft,32,fft,0.0005,0.01,85677322,24,88.57,88.85,Acc,checkpoints/sft_evan_base_eurosat_swir_fft_lr0.0005_20260418_052634.pt,clstoken,True
eurosat,evan_base,swir,fft,32,fft,0.0001,0.01,85677322,24,85.63,86.22,Acc,checkpoints/sft_evan_base_eurosat_swir_fft_lr0.0001_20260418_053702.pt,clstoken,True
eurosat,evan_base,swir,fft,32,fft,0.0001,0.0,85677322,24,85.39,86.07,Acc,checkpoints/sft_evan_base_eurosat_swir_fft_lr0.0001_20260418_053740.pt,clstoken,True
eurosat,evan_base,rgb,fft,32,fft,0.0005,0.0,85677322,24,87.83,87.00,Acc,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0005_20260421_150236.pt,clstoken,False
eurosat,evan_base,rgb,fft,32,fft,0.001,0.01,85677322,24,86.37,86.22,Acc,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.001_20260421_150026.pt,clstoken,False
eurosat,evan_base,rgb,fft,32,fft,0.0001,0.0,85677322,24,89.65,87.93,Acc,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0001_20260421_150315.pt,clstoken,False
eurosat,evan_base,rgb,fft,32,fft,0.001,0.0,85677322,24,86.85,86.48,Acc,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.001_20260421_150058.pt,clstoken,False
eurosat,evan_base,vre,fft,32,fft,0.001,0.01,85677322,24,88.91,88.33,Acc,checkpoints/sft_evan_base_eurosat_vre_fft_lr0.001_20260421_150451.pt,clstoken,False
eurosat,evan_base,rgb,fft,32,fft,0.0005,0.01,85677322,24,87.65,87.78,Acc,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0005_20260421_150141.pt,clstoken,False
eurosat,evan_base,vre,fft,32,fft,0.0005,0.01,85677322,24,89.81,89.41,Acc,checkpoints/sft_evan_base_eurosat_vre_fft_lr0.0005_20260421_150707.pt,clstoken,False
eurosat,evan_base,vre,fft,32,fft,0.001,0.0,85677322,24,88.56,88.96,Acc,checkpoints/sft_evan_base_eurosat_vre_fft_lr0.001_20260421_150646.pt,clstoken,False
