dataset,model_type,modality,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,weight_decay,trainable_params,epoch,test_metric,val_metric,metric_name,saved_checkpoint,global_rep,dino_init
eurosat,evan_base,rgb+vre,fft,32,fft,0.0005,0.0,107540746,24,98.50,98.41,Acc,checkpoints/sft_evan_base_eurosat_rgb+vre_fft_lr0.0005_20260424_011517.pt,clstoken,True
eurosat,evan_base,rgb+vre,fft,32,fft,0.0001,0.0,107540746,24,98.61,98.67,Acc,checkpoints/sft_evan_base_eurosat_rgb+vre_fft_lr0.0001_20260424_011644.pt,clstoken,True
eurosat,evan_base,rgb+swir,fft,32,fft,0.0005,0.0,107540746,24,98.33,98.59,Acc,checkpoints/sft_evan_base_eurosat_rgb+swir_fft_lr0.0005_20260424_011804.pt,clstoken,True
eurosat,evan_base,rgb+vre,fft,32,fft,0.0001,0.01,107540746,24,98.63,98.37,Acc,checkpoints/sft_evan_base_eurosat_rgb+vre_fft_lr0.0001_20260424_011712.pt,clstoken,True
eurosat,evan_base,rgb+swir,fft,32,fft,0.0005,0.01,107540746,24,98.63,98.63,Acc,checkpoints/sft_evan_base_eurosat_rgb+swir_fft_lr0.0005_20260424_011730.pt,clstoken,True
eurosat,evan_base,rgb+swir,fft,32,fft,0.0001,0.0,107540746,24,98.61,98.33,Acc,checkpoints/sft_evan_base_eurosat_rgb+swir_fft_lr0.0001_20260424_011849.pt,clstoken,True
eurosat,evan_base,rgb+swir,fft,32,fft,0.0001,0.01,107540746,24,98.44,98.37,Acc,checkpoints/sft_evan_base_eurosat_rgb+swir_fft_lr0.0001_20260424_011854.pt,clstoken,True
eurosat,evan_large,rgb+nir,fft,32,fft,0.0005,0.01,341490698,24,88.06,87.85,Acc,checkpoints/sft_evan_large_eurosat_rgb+nir_fft_lr0.0005_20260427_204423.pt,clstoken,False
eurosat,evan_large,rgb+nir,fft,32,fft,0.0001,0.0,341490698,24,89.20,89.15,Acc,checkpoints/sft_evan_large_eurosat_rgb+nir_fft_lr0.0001_20260427_204545.pt,clstoken,False
eurosat,evan_large,rgb+nir,fft,32,fft,0.0001,0.01,341490698,24,89.65,88.74,Acc,checkpoints/sft_evan_large_eurosat_rgb+nir_fft_lr0.0001_20260427_204435.pt,clstoken,False
eurosat,evan_large,rgb+nir,fft,32,fft,0.0005,0.0,341490698,24,88.37,87.41,Acc,checkpoints/sft_evan_large_eurosat_rgb+nir_fft_lr0.0005_20260427_204427.pt,clstoken,False
eurosat,evan_large,rgb+vre,fft,32,fft,0.0001,0.0,341752842,24,89.31,88.96,Acc,checkpoints/sft_evan_large_eurosat_rgb+vre_fft_lr0.0001_20260427_204753.pt,clstoken,False
eurosat,evan_large,rgb+swir,fft,32,fft,0.0005,0.01,341752842,24,88.31,87.93,Acc,checkpoints/sft_evan_large_eurosat_rgb+swir_fft_lr0.0005_20260427_204821.pt,clstoken,False
eurosat,evan_large,rgb+swir,fft,32,fft,0.0001,0.01,341752842,24,89.39,88.48,Acc,checkpoints/sft_evan_large_eurosat_rgb+swir_fft_lr0.0001_20260427_204901.pt,clstoken,False
eurosat,evan_large,rgb+swir,fft,32,fft,0.0005,0.0,341752842,24,88.65,87.11,Acc,checkpoints/sft_evan_large_eurosat_rgb+swir_fft_lr0.0005_20260427_204824.pt,clstoken,False
eurosat,evan_large,rgb+vre,fft,32,fft,0.0005,0.01,341752842,24,89.07,87.89,Acc,checkpoints/sft_evan_large_eurosat_rgb+vre_fft_lr0.0005_20260427_204753.pt,clstoken,False
eurosat,evan_large,rgb+vre,fft,32,fft,0.0005,0.0,341752842,24,88.91,88.00,Acc,checkpoints/sft_evan_large_eurosat_rgb+vre_fft_lr0.0005_20260427_204753.pt,clstoken,False
eurosat,evan_large,rgb+vre,fft,32,fft,0.0001,0.01,341752842,24,89.56,88.81,Acc,checkpoints/sft_evan_large_eurosat_rgb+vre_fft_lr0.0001_20260427_204753.pt,clstoken,False
eurosat,evan_large,rgb+swir,fft,32,fft,0.0001,0.0,341752842,24,89.33,89.19,Acc,checkpoints/sft_evan_large_eurosat_rgb+swir_fft_lr0.0001_20260427_205020.pt,clstoken,False
eurosat,evan_large,nir,fft,32,fft,0.0001,0.01,302902282,24,72.33,71.11,Acc,checkpoints/sft_evan_large_eurosat_nir_fft_lr0.0001_20260428_114426.pt,clstoken,False
eurosat,evan_large,rgb+nir,fft,32,fft,0.0005,0.0,341490698,24,88.31,87.52,Acc,checkpoints/sft_evan_large_eurosat_rgb+nir_fft_lr0.0005_20260428_115406.pt,clstoken,False
eurosat,evan_large,rgb+nir,fft,32,fft,0.0005,0.01,341490698,24,88.59,87.74,Acc,checkpoints/sft_evan_large_eurosat_rgb+nir_fft_lr0.0005_20260428_115355.pt,clstoken,False
eurosat,evan_large,rgb+vre,fft,32,fft,0.0001,0.01,341752842,24,89.74,89.07,Acc,checkpoints/sft_evan_large_eurosat_rgb+vre_fft_lr0.0001_20260428_115544.pt,clstoken,False
eurosat,evan_large,rgb+vre,fft,32,fft,0.0005,0.0,341752842,24,88.59,87.19,Acc,checkpoints/sft_evan_large_eurosat_rgb+vre_fft_lr0.0005_20260428_115512.pt,clstoken,False
eurosat,evan_large,rgb+nir,fft,32,fft,0.0001,0.0,341490698,24,89.76,89.33,Acc,checkpoints/sft_evan_large_eurosat_rgb+nir_fft_lr0.0001_20260428_115440.pt,clstoken,False
eurosat,evan_large,rgb+vre,fft,32,fft,0.0001,0.0,341752842,24,89.00,88.74,Acc,checkpoints/sft_evan_large_eurosat_rgb+vre_fft_lr0.0001_20260428_115554.pt,clstoken,False
eurosat,evan_large,rgb+vre,fft,32,fft,0.0005,0.01,341752842,24,89.26,88.89,Acc,checkpoints/sft_evan_large_eurosat_rgb+vre_fft_lr0.0005_20260428_115508.pt,clstoken,False
eurosat,evan_large,rgb+swir,fft,32,fft,0.0005,0.0,341752842,24,88.56,87.89,Acc,checkpoints/sft_evan_large_eurosat_rgb+swir_fft_lr0.0005_20260428_115625.pt,clstoken,False
eurosat,evan_large,rgb+nir,fft,32,fft,0.0001,0.01,341490698,24,89.26,88.48,Acc,checkpoints/sft_evan_large_eurosat_rgb+nir_fft_lr0.0001_20260428_115424.pt,clstoken,False
eurosat,evan_large,rgb+swir,fft,32,fft,0.0001,0.0,341752842,24,89.30,88.33,Acc,checkpoints/sft_evan_large_eurosat_rgb+swir_fft_lr0.0001_20260428_115753.pt,clstoken,False
eurosat,evan_large,rgb+swir,fft,32,fft,0.0005,0.01,341752842,24,88.57,87.78,Acc,checkpoints/sft_evan_large_eurosat_rgb+swir_fft_lr0.0005_20260428_115610.pt,clstoken,False
eurosat,evan_large,rgb+swir,fft,32,fft,0.0001,0.01,341752842,24,89.31,88.37,Acc,checkpoints/sft_evan_large_eurosat_rgb+swir_fft_lr0.0001_20260428_115757.pt,clstoken,False
eurosat,evan_base,vre+nir,fft,32,fft,0.0005,0.0,107344138,24,88.72,88.78,Acc,checkpoints/sft_evan_base_eurosat_vre+nir_fft_lr0.0005_20260506_200641.pt,clstoken,True
eurosat,evan_base,vre+nir,fft,32,fft,0.0005,0.01,107344138,24,89.31,89.11,Acc,checkpoints/sft_evan_base_eurosat_vre+nir_fft_lr0.0005_20260506_200640.pt,clstoken,True
eurosat,evan_base,vre+nir,fft,32,fft,0.0001,0.01,107344138,24,88.93,89.04,Acc,checkpoints/sft_evan_base_eurosat_vre+nir_fft_lr0.0001_20260506_200637.pt,clstoken,True
eurosat,evan_base,vre+nir,fft,32,fft,0.0001,0.0,107344138,24,88.70,89.30,Acc,checkpoints/sft_evan_base_eurosat_vre+nir_fft_lr0.0001_20260506_200640.pt,clstoken,True
eurosat,evan_base,vre+nir,fft,32,fft,0.0001,0.01,107344138,24,88.52,87.89,Acc,checkpoints/sft_evan_base_eurosat_vre+nir_fft_lr0.0001_20260506_202953.pt,clstoken,True
eurosat,evan_base,vre+nir,fft,32,fft,0.0005,0.0,107344138,24,90.09,89.26,Acc,checkpoints/sft_evan_base_eurosat_vre+nir_fft_lr0.0005_20260506_202923.pt,clstoken,True
eurosat,evan_base,vre+nir,fft,32,fft,0.0001,0.0,107344138,24,89.61,89.44,Acc,checkpoints/sft_evan_base_eurosat_vre+nir_fft_lr0.0001_20260506_203013.pt,clstoken,True
eurosat,evan_base,vre+nir,fft,32,fft,0.0005,0.01,107344138,24,92.78,93.07,Acc,checkpoints/sft_evan_base_eurosat_vre+nir_fft_lr0.0005_20260506_202938.pt,clstoken,True
