model_type,teacher_modality,student_modalities,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,weight_decay,trainable_params,epochs,use_dino_weights,metric_name,teacher_train1_metric,teacher_train2_metric,teacher_test_metric,student_test_metric,student_best_test_metric,best_epoch,best_val2_teacher_agreement,valchecked_test_metric,saved_checkpoint,global_rep,teacher_checkpoint
evan_large,s2_rgb,s2_rgb+s2_norgb+s1,fft,0,fft,0.001,0.01,381909000,20,True,mIoU,79.66,59.00,48.79,50.22,53.89,9,90.35,50.22,checkpoints/evan_mke_dfc2020_s2_rgb_to_s2_rgb_s2_norgb_s1_20260417_214342.pt,clstoken,checkpoints/sft_evan_large_dfc2020_s2_rgb_fft_lr0.0005_20260417_093927.pt
evan_base,s2_rgb,s2_rgb+s1,fft,0,fft,0.0003,0.01,107341064,20,True,mIoU,75.19,58.65,45.85,44.25,52.27,11,90.34,45.21,checkpoints/evan_mke_dfc2020_s2_rgb_to_s2_rgb_s1_20260417_230227.pt,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0001_20260417_110303.pt
evan_base,s2_rgb,s2_rgb+s2_norgb,fft,0,fft,0.0003,0.01,108913928,20,True,mIoU,75.19,58.65,45.85,49.70,50.88,7,90.09,49.70,checkpoints/evan_mke_dfc2020_s2_rgb_to_s2_rgb_s2_norgb_20260417_230311.pt,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0001_20260417_110303.pt
evan_base,s1,s1+s2,fft,0,fft,0.0003,0.01,109307144,20,True,mIoU,93.26,51.41,44.15,43.97,49.54,8,86.44,43.97,checkpoints/evan_mke_dfc2020_s1_to_s1_s2_20260417_230531.pt,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.001_20260417_101553.pt
evan_base,s2,s2+s1,fft,0,fft,0.0003,0.01,109307144,20,True,mIoU,78.08,57.98,39.67,37.43,43.84,4,90.84,37.43,checkpoints/evan_mke_dfc2020_s2_to_s2_s1_20260417_230840.pt,clstoken,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260417_095813.pt
evan_base,s2_rgb,s2_rgb+s2_norgb+s1,fft,0,fft,0.0003,0.01,130579976,20,True,mIoU,75.19,58.65,45.85,50.17,52.25,6,89.88,50.17,checkpoints/evan_mke_dfc2020_s2_rgb_to_s2_rgb_s2_norgb_s1_20260417_231650.pt,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0001_20260417_110303.pt
evan_large,s2_rgb,s2_rgb+s2_norgb,fft,0,fft,0.001,1e-05,343583752,20,True,mIoU,79.66,59.00,48.79,48.94,50.97,1,90.22,48.73,checkpoints/evan_mke_dfc2020_s2_rgb_to_s2_rgb_s2_norgb_20260417_225924.pt,clstoken,checkpoints/sft_evan_large_dfc2020_s2_rgb_fft_lr0.0005_20260417_093927.pt
evan_large,s2_rgb,s2_rgb+s1,fft,0,fft,0.001,1e-05,341486600,20,True,mIoU,79.66,59.00,48.79,47.84,51.06,10,89.85,47.84,checkpoints/evan_mke_dfc2020_s2_rgb_to_s2_rgb_s1_20260417_225959.pt,clstoken,checkpoints/sft_evan_large_dfc2020_s2_rgb_fft_lr0.0005_20260417_093927.pt
evan_large,s2,s2+s1,fft,0,fft,0.001,1e-05,344108040,20,True,mIoU,82.15,59.75,50.72,48.20,51.22,11,90.60,47.72,checkpoints/evan_mke_dfc2020_s2_to_s2_s1_20260417_230008.pt,clstoken,checkpoints/sft_evan_large_dfc2020_s2_fft_lr0.0005_20260417_082437.pt
evan_large,s1,s1+s2,fft,0,fft,0.001,1e-05,344108040,20,True,mIoU,82.46,51.89,43.99,41.18,50.19,6,86.56,41.18,checkpoints/evan_mke_dfc2020_s1_to_s1_s2_20260417_230238.pt,clstoken,checkpoints/sft_evan_large_dfc2020_s1_fft_lr0.0005_20260417_084018.pt
evan_base,s2_rgb,s2_rgb+s1,fft,0,fft,0.0003,1e-05,107341064,20,True,mIoU,75.19,58.65,45.85,45.92,49.44,5,89.82,45.92,checkpoints/evan_mke_dfc2020_s2_rgb_to_s2_rgb_s1_20260417_234229.pt,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0001_20260417_110303.pt
evan_base,s2_rgb,s2_rgb+s2_norgb,fft,0,fft,0.0003,1e-05,108913928,20,True,mIoU,75.19,58.65,45.85,44.95,52.72,2,90.50,48.56,checkpoints/evan_mke_dfc2020_s2_rgb_to_s2_rgb_s2_norgb_20260417_234341.pt,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0001_20260417_110303.pt
evan_base,s1,s1+s2,fft,0,fft,0.0003,1e-05,109307144,20,True,mIoU,93.26,51.41,44.15,43.20,48.29,4,86.39,41.86,checkpoints/evan_mke_dfc2020_s1_to_s1_s2_20260417_234554.pt,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.001_20260417_101553.pt
evan_base,s2,s2+s1,fft,0,fft,0.0003,1e-05,109307144,20,True,mIoU,78.08,57.98,39.67,38.68,46.64,9,90.75,38.68,checkpoints/evan_mke_dfc2020_s2_to_s2_s1_20260417_234901.pt,clstoken,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260417_095813.pt
evan_base,s2_rgb,s2_rgb+s1,fft,0,fft,0.0001,0.01,107341064,20,True,mIoU,75.19,58.65,45.85,47.85,50.27,3,90.68,48.80,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0001_20260417_110303.pt
