model_type,teacher_modality,student_modalities,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,weight_decay,trainable_params,epochs,use_dino_weights,metric_name,teacher_train1_metric,teacher_train2_metric,teacher_test_metric,student_test_metric,student_best_test_metric,best_epoch,best_val2_teacher_agreement,valchecked_test_metric,saved_checkpoint,global_rep,teacher_checkpoint
evan_large,swir,swir+rgb,fft,0,fft,0.001,0.01,341750794,20,True,Acc,100.00,95.96,95.57,92.37,92.54,18,92.33,92.54,,clstoken,checkpoints/sft_evan_large_eurosat_swir_fft_lr0.0005_20260418_042950.pt
evan_large,rgb,rgb+vre,fft,0,fft,0.001,0.01,341750794,20,True,Acc,100.00,98.89,99.07,94.39,95.39,1,94.56,95.39,,clstoken,checkpoints/sft_evan_large_eurosat_rgb_fft_lr0.0005_20260418_035424.pt
evan_large,rgb,rgb+nir,fft,0,fft,0.001,0.01,341488650,20,True,Acc,100.00,98.89,99.07,94.22,94.98,1,94.00,93.81,,clstoken,checkpoints/sft_evan_large_eurosat_rgb_fft_lr0.0005_20260418_035424.pt
evan_base,vre,vre+nir,fft,0,fft,0.0003,0.01,107342602,20,True,Acc,100.00,90.06,90.67,89.22,89.22,20,89.85,89.19,,clstoken,checkpoints/sft_evan_base_eurosat_vre_fft_lr0.0005_20260418_051940.pt
evan_large,vre,vre+rgb,fft,0,fft,0.001,0.01,341750794,20,True,Acc,100.00,96.48,96.35,92.17,92.17,20,93.41,92.17,,clstoken,checkpoints/sft_evan_large_eurosat_vre_fft_lr0.0005_20260418_041229.pt
evan_large,vre,vre+nir,fft,0,fft,0.001,0.01,341488650,20,True,Acc,100.00,96.48,96.35,90.20,90.37,19,90.96,90.20,,clstoken,checkpoints/sft_evan_large_eurosat_vre_fft_lr0.0005_20260418_041229.pt
evan_base,swir,swir+vre,fft,0,fft,0.0003,0.01,107539210,20,True,Acc,100.00,89.20,88.59,88.81,88.83,19,90.07,88.83,,clstoken,checkpoints/sft_evan_base_eurosat_swir_fft_lr0.0005_20260418_052634.pt
evan_base,rgb,rgb+nir,fft,0,fft,0.0003,0.01,107342602,20,True,Acc,100.00,98.57,98.63,97.37,97.37,18,97.22,97.37,,clstoken,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0005_20260418_002329.pt
evan_base,rgb,rgb+vre,fft,0,fft,0.0003,0.01,107539210,20,True,Acc,100.00,98.57,98.63,94.46,94.46,20,94.07,94.46,,clstoken,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0005_20260418_002329.pt
evan_base,vre,vre+rgb,fft,0,fft,0.0003,0.01,107539210,20,True,Acc,100.00,90.06,90.67,90.13,90.30,19,89.96,90.13,,clstoken,checkpoints/sft_evan_base_eurosat_vre_fft_lr0.0005_20260418_051940.pt
evan_base,swir,swir+rgb,fft,0,fft,0.0003,0.01,107539210,20,True,Acc,100.00,89.20,88.59,89.04,89.04,20,90.11,89.02,,clstoken,checkpoints/sft_evan_base_eurosat_swir_fft_lr0.0005_20260418_052634.pt
evan_base,vre,vre+nir,fft,0,fft,0.0003,1e-05,107342602,20,True,Acc,100.00,90.06,90.67,89.31,89.33,19,90.33,88.22,,clstoken,checkpoints/sft_evan_base_eurosat_vre_fft_lr0.0005_20260418_051940.pt
evan_base,swir,swir+vre,fft,0,fft,0.0003,1e-05,107539210,20,True,Acc,100.00,89.20,88.59,89.13,89.19,18,90.15,88.39,,clstoken,checkpoints/sft_evan_base_eurosat_swir_fft_lr0.0005_20260418_052634.pt
evan_base,rgb,rgb+nir,fft,0,fft,0.0003,1e-05,107342602,20,True,Acc,100.00,98.57,98.63,97.13,97.15,19,97.15,97.15,,clstoken,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0005_20260418_002329.pt
evan_base,rgb,rgb+vre,fft,0,fft,0.0003,1e-05,107539210,20,True,Acc,100.00,98.57,98.63,96.56,96.56,19,96.59,96.50,,clstoken,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0005_20260418_002329.pt
evan_base,vre,vre+rgb,fft,0,fft,0.0003,1e-05,107539210,20,True,Acc,100.00,90.06,90.67,90.17,90.17,20,90.07,90.17,,clstoken,checkpoints/sft_evan_base_eurosat_vre_fft_lr0.0005_20260418_051940.pt
evan_base,swir,swir+rgb,fft,0,fft,0.0003,1e-05,107539210,20,True,Acc,100.00,89.20,88.59,89.52,89.65,19,91.11,89.52,,clstoken,checkpoints/sft_evan_base_eurosat_swir_fft_lr0.0005_20260418_052634.pt
evan_base,vre,vre+nir,fft,0,fft,0.0001,0.01,107342602,20,True,Acc,100.00,90.06,90.67,89.54,89.85,18,90.67,89.83,,clstoken,checkpoints/sft_evan_base_eurosat_vre_fft_lr0.0005_20260418_051940.pt
evan_base,swir,swir+vre,fft,0,fft,0.0001,0.01,107539210,20,True,Acc,100.00,89.20,88.59,88.44,88.89,19,89.70,88.89,,clstoken,checkpoints/sft_evan_base_eurosat_swir_fft_lr0.0005_20260418_052634.pt
evan_base,rgb,rgb+nir,fft,0,fft,0.0001,0.01,107342602,20,True,Acc,100.00,98.57,98.63,98.20,98.30,18,98.22,98.13,,clstoken,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0005_20260418_002329.pt
evan_base,rgb,rgb+vre,fft,0,fft,0.0001,0.01,107539210,20,True,Acc,100.00,98.57,98.63,98.22,98.22,20,98.00,97.94,,clstoken,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0005_20260418_002329.pt
evan_base,vre,vre+rgb,fft,0,fft,0.0001,0.01,107539210,20,True,Acc,100.00,90.06,90.67,90.61,90.61,20,90.67,89.96,,clstoken,checkpoints/sft_evan_base_eurosat_vre_fft_lr0.0005_20260418_051940.pt
evan_base,swir,swir+rgb,fft,0,fft,0.0001,0.01,107539210,20,True,Acc,100.00,89.20,88.59,89.48,89.48,20,90.70,89.48,,clstoken,checkpoints/sft_evan_base_eurosat_swir_fft_lr0.0005_20260418_052634.pt
evan_large,swir,swir+vre,fft,0,fft,0.001,1e-05,341750794,20,True,Acc,100.00,95.96,95.57,91.33,91.33,20,91.74,91.24,,clstoken,checkpoints/sft_evan_large_eurosat_swir_fft_lr0.0005_20260418_042950.pt
evan_large,swir,swir+rgb,fft,0,fft,0.001,1e-05,341750794,20,True,Acc,100.00,95.96,95.57,90.93,91.07,18,91.19,91.07,,clstoken,checkpoints/sft_evan_large_eurosat_swir_fft_lr0.0005_20260418_042950.pt
evan_large,rgb,rgb+nir,fft,0,fft,0.001,1e-05,341488650,20,True,Acc,100.00,98.89,99.07,95.78,95.78,20,95.81,95.11,,clstoken,checkpoints/sft_evan_large_eurosat_rgb_fft_lr0.0005_20260418_035424.pt
evan_large,rgb,rgb+vre,fft,0,fft,0.001,1e-05,341750794,20,True,Acc,100.00,98.89,99.07,96.69,96.69,20,96.15,96.69,,clstoken,checkpoints/sft_evan_large_eurosat_rgb_fft_lr0.0005_20260418_035424.pt
evan_large,vre,vre+rgb,fft,0,fft,0.001,1e-05,341750794,20,True,Acc,100.00,96.48,96.35,89.52,89.54,19,89.96,89.35,,clstoken,checkpoints/sft_evan_large_eurosat_vre_fft_lr0.0005_20260418_041229.pt
evan_base,vre,vre+nir,fft,0,fft,0.0001,1e-05,107342602,20,True,Acc,100.00,90.06,90.67,89.89,89.89,20,90.22,89.31,,clstoken,checkpoints/sft_evan_base_eurosat_vre_fft_lr0.0005_20260418_051940.pt
evan_large,vre,vre+nir,fft,0,fft,0.001,1e-05,341488650,20,True,Acc,100.00,96.48,96.35,90.76,91.39,19,91.52,91.39,,clstoken,checkpoints/sft_evan_large_eurosat_vre_fft_lr0.0005_20260418_041229.pt
evan_base,swir,swir+vre,fft,0,fft,0.0001,1e-05,107539210,20,True,Acc,100.00,89.20,88.59,89.11,89.11,20,89.41,88.83,,clstoken,checkpoints/sft_evan_base_eurosat_swir_fft_lr0.0005_20260418_052634.pt
evan_base,rgb,rgb+nir,fft,0,fft,0.0001,1e-05,107342602,20,True,Acc,100.00,98.57,98.63,98.19,98.20,18,97.96,98.20,,clstoken,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0005_20260418_002329.pt
evan_base,rgb,rgb+vre,fft,0,fft,0.0001,1e-05,107539210,20,True,Acc,100.00,98.57,98.63,98.09,98.19,18,98.07,98.09,,clstoken,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0005_20260418_002329.pt
evan_base,vre,vre+rgb,fft,0,fft,0.0001,1e-05,107539210,20,True,Acc,100.00,90.06,90.67,90.04,90.43,18,91.11,90.43,,clstoken,checkpoints/sft_evan_base_eurosat_vre_fft_lr0.0005_20260418_051940.pt
evan_base,swir,swir+rgb,fft,0,fft,0.0001,1e-05,107539210,20,True,Acc,100.00,89.20,88.59,89.56,89.65,19,90.52,89.65,,clstoken,checkpoints/sft_evan_base_eurosat_swir_fft_lr0.0005_20260418_052634.pt
evan_base,swir,swir+nir,fft,0,fft,0.001,0.01,107342602,20,True,Acc,100.00,89.20,88.59,75.11,75.11,20,77.30,75.11,,clstoken,checkpoints/sft_evan_base_eurosat_swir_fft_lr0.0005_20260418_052634.pt
evan_base,swir,swir+nir,fft,0,fft,0.001,1e-05,107342602,20,True,Acc,100.00,89.20,88.59,76.20,76.20,20,78.33,76.20,,clstoken,checkpoints/sft_evan_base_eurosat_swir_fft_lr0.0005_20260418_052634.pt
evan_large,swir,swir+nir,fft,0,fft,0.001,0.01,341488650,20,True,Acc,100.00,95.96,95.57,89.94,90.19,16,91.07,90.00,,clstoken,checkpoints/sft_evan_large_eurosat_swir_fft_lr0.0005_20260418_042950.pt
evan_base,swir,swir+nir,fft,0,fft,0.0003,0.01,107342602,20,True,Acc,100.00,89.20,88.59,88.09,88.09,20,90.74,88.09,,clstoken,checkpoints/sft_evan_base_eurosat_swir_fft_lr0.0005_20260418_052634.pt
evan_base,swir,swir+nir,fft,0,fft,0.0003,1e-05,107342602,20,True,Acc,100.00,89.20,88.59,88.61,88.63,19,90.33,88.63,,clstoken,checkpoints/sft_evan_base_eurosat_swir_fft_lr0.0005_20260418_052634.pt
evan_base,swir,swir+nir,fft,0,fft,0.0001,0.01,107342602,20,True,Acc,100.00,89.20,88.59,88.33,88.33,20,90.56,88.19,,clstoken,checkpoints/sft_evan_base_eurosat_swir_fft_lr0.0005_20260418_052634.pt
evan_large,swir,swir+nir,fft,0,fft,0.001,1e-05,341488650,20,True,Acc,100.00,95.96,95.57,89.87,89.87,20,91.56,89.87,,clstoken,checkpoints/sft_evan_large_eurosat_swir_fft_lr0.0005_20260418_042950.pt
evan_base,swir,swir+nir,fft,0,fft,0.0001,1e-05,107342602,20,True,Acc,100.00,89.20,88.59,88.37,88.39,19,90.44,88.37,,clstoken,checkpoints/sft_evan_base_eurosat_swir_fft_lr0.0005_20260418_052634.pt
