dataset,starting_modality,new_modality,ssl_lr,weight_decay,epochs,mask_ratio,modality_dropout,labeled_frequency,labeled_start_fraction,entr_frequency,trainable_params,active_losses,use_mfla,mfla_warmup_epochs,metric_name,transfer_metric,peeking_metric,addition_metric,addition_ens_metric,valchecked_transfer,valchecked_peek,valchecked_add,valchecked_add_ens,stage0_checkpoint,shote2e_checkpoint
benv2,s2,s1,0.0001,0.001,80,0.75,0.3,0.3,0.0,0.2,43649446,distill+ce+prefusion+mae+latent,False,0,mAP,40.31,59.55,56.63,58.58,42.26,59.10,56.63,,checkpoints/benv2_s2_s0.pt,checkpoints/benv2_s2_to_s1_dcpml_cross.pt
benv2,s2,s1,0.0001,0.001,80,0.75,0.3,0.3,0.0,0.2,43649446,distill+ce+prefusion+mae+entr+latent,False,0,mAP,40.94,58.48,55.75,58.91,41.58,58.13,55.75,,checkpoints/benv2_s2_s0.pt,checkpoints/benv2_s2_to_s1_dcpmel_cross.pt
benv2,s1,s2,0.0001,0.001,80,0.75,0.3,0.3,0.0,0.2,43649446,distill+ce+prefusion+mae+latent,False,0,mAP,47.84,45.04,47.50,48.96,47.35,45.05,47.50,,checkpoints/benv2_s1_s0.pt,checkpoints/benv2_s1_to_s2_dcpml_cross.pt
benv2,s1,s2,0.0001,0.001,80,0.75,0.3,0.3,0.0,0.2,43649446,distill+ce+prefusion+mae+entr+latent,False,0,mAP,41.39,44.09,45.92,45.67,46.45,44.81,45.92,,checkpoints/benv2_s1_s0.pt,checkpoints/benv2_s1_to_s2_dcpmel_cross.pt
benv2,s2,s1,0.00015,0.0002,80,0.7,0.36,0.36,0.05,0.2,43649446,distill+ce+prefusion+mae+latent,False,0,mAP,41.69,59.50,56.52,58.34,42.15,59.50,55.74,58.34,checkpoints/benv2_s2_s0.pt,checkpoints/benv2_s2_to_s1_dcpml_cross_transfer.pt
benv2,s2,s1,0.0001,0.00038,80,0.68837,0.46021,0.7741,0.4492,0.2,43649446,distill+ce+prefusion+mae+latent,False,0,mAP,41.89,59.61,57.44,58.48,41.22,59.61,52.70,58.48,checkpoints/benv2_s2_s0.pt,checkpoints/benv2_s2_to_s1_dcpml_cross_peeking.pt
benv2,s2,s1,0.0001,0.09,80,0.58,0.35,0.24,0.35,0.2,43649446,distill+ce+prefusion+mae+latent,False,0,mAP,41.87,59.93,55.87,56.93,41.69,59.93,55.72,56.93,checkpoints/benv2_s2_s0.pt,checkpoints/benv2_s2_to_s1_dcpml_cross_addition.pt
benv2,s2,s1,0.0001,0.001,80,0.37,0.22,0.7,0.7,0.2,43649446,distill+ce+prefusion+mae+latent,False,0,mAP,42.14,60.34,55.91,59.38,41.19,60.34,55.83,59.38,checkpoints/benv2_s2_s0.pt,checkpoints/benv2_s2_to_s1_dcpml_cross_ens_addition.pt
