model_type,modality,train_mode,learning_rate,weight_decay,trainable_params,epochs,lambda_u,lambda_e,ema_momentum,temperature,use_quantile,clip_thresh,no_strong_aug,metric_name,test_metric,best_val_metric,best_val_test_metric,saved_checkpoint,global_rep,use_dino_weights,use_s2dino_weights
evan_base,rgb,fft,0.0003,0.0001,85677322,20,1.0,0.05,0.999,1.0,False,True,False,Acc,97.63,97.15,97.63,checkpoints/evan_freematch_eurosat_rgb_20260727_103522.pt,clstoken,True,False
evan_base,rgb,fft,0.0003,0.0001,85677322,20,1.0,0.05,0.999,1.0,False,True,True,Acc,96.93,96.37,96.41,checkpoints/evan_freematch_eurosat_rgb_20260727_103839.pt,clstoken,True,False
evan_base,vre,fft,0.0003,0.0001,85677322,20,1.0,0.05,0.999,1.0,False,True,True,Acc,88.06,87.52,88.19,checkpoints/evan_freematch_eurosat_vre_20260727_104034.pt,clstoken,True,False
evan_base,nir,fft,0.0003,0.0001,85480714,20,1.0,0.05,0.999,1.0,False,True,True,Acc,71.76,72.04,71.93,checkpoints/evan_freematch_eurosat_nir_20260727_104342.pt,clstoken,True,False
evan_large,swir,fft,0.0003,0.0001,303164426,20,1.0,0.05,0.99,1.0,False,True,True,Acc,94.80,94.37,94.80,checkpoints/evan_freematch_eurosat_swir_20260727_093647.pt,clstoken,True,False
evan_large,rgb,fft,0.0003,0.0001,303164426,20,1.0,0.05,0.99,1.0,False,True,True,Acc,98.00,97.93,97.98,checkpoints/evan_freematch_eurosat_rgb_20260727_094055.pt,clstoken,True,False
evan_large,vre,fft,0.0003,0.0001,303164426,20,1.0,0.05,0.99,1.0,False,True,True,Acc,95.96,95.22,96.00,checkpoints/evan_freematch_eurosat_vre_20260727_094120.pt,clstoken,True,False
evan_large,nir,fft,0.0003,0.0001,302902282,20,1.0,0.05,0.99,1.0,False,True,True,Acc,90.17,89.96,90.13,checkpoints/evan_freematch_eurosat_nir_20260727_094203.pt,clstoken,True,False
evan_base,swir,fft,0.0003,0.0001,85677322,20,1.0,0.05,0.999,1.0,False,True,True,Acc,87.24,86.96,87.24,checkpoints/evan_freematch_eurosat_swir_20260727_105105.pt,clstoken,True,False
evan_base,nir,fft,0.0003,0.0001,85480714,20,1.0,0.05,0.99,1.0,False,True,False,Acc,78.22,77.48,77.94,checkpoints/evan_freematch_eurosat_nir_20260727_110815.pt,clstoken,True,False
evan_base,swir,fft,0.0003,0.0001,85677322,20,1.0,0.05,0.99,1.0,False,True,False,Acc,89.48,88.37,89.48,checkpoints/evan_freematch_eurosat_swir_20260727_111141.pt,clstoken,True,False
