model_type,modality,train_mode,learning_rate,weight_decay,trainable_params,epochs,lambda_u,lambda_e,ema_momentum,temperature,use_quantile,clip_thresh,no_strong_aug,metric_name,test_metric,best_val_metric,best_val_test_metric,saved_checkpoint,global_rep,use_dino_weights,use_s2dino_weights
evan_base,s2_rgb,fft,0.0004,0.0001,85684243,20,1.0,0.05,0.999,1.0,False,True,False,mAP,62.68,67.04,62.68,checkpoints/evan_freematch_benv2_s2_rgb_20260727_105632.pt,clstoken,True,False
evan_base,s2_rgb,fft,0.0003,0.0001,85684243,20,1.0,0.05,0.99,1.0,False,True,True,mAP,63.78,66.57,63.78,checkpoints/evan_freematch_benv2_s2_rgb_20260727_110503.pt,clstoken,True,False
evan_base,s2_rgb,fft,0.0004,0.0001,85684243,20,1.0,0.01,0.999,1.0,False,True,True,mAP,59.68,65.17,60.21,checkpoints/evan_freematch_benv2_s2_rgb_20260727_110547.pt,clstoken,True,False
evan_base,s2,fft,0.0004,0.0001,87453715,20,1.0,0.01,0.999,1.0,False,True,True,mAP,57.12,61.70,57.25,checkpoints/evan_freematch_benv2_s2_20260727_110754.pt,clstoken,True,False
evan_base,s2_rgb,fft,0.0004,0.0001,85684243,20,1.0,0.05,0.99,1.0,False,True,False,mAP,61.29,64.21,61.29,checkpoints/evan_freematch_benv2_s2_rgb_20260727_111829.pt,clstoken,True,False
evan_base,s2_rgb,fft,0.0004,0.0001,85684243,20,1.0,0.01,0.999,1.0,False,True,True,mAP,58.27,62.52,58.64,checkpoints/evan_freematch_benv2_s2_rgb_20260727_112617.pt,clstoken,True,False
evan_base,s2_rgb,fft,0.0004,0.0001,85684243,20,1.0,0.01,0.99,1.0,False,True,True,mAP,60.67,65.02,60.14,checkpoints/evan_freematch_benv2_s2_rgb_20260727_112652.pt,clstoken,True,False
evan_base,s2,fft,0.0004,0.0001,87453715,20,1.0,0.01,0.99,1.0,False,True,True,mAP,56.21,61.57,56.46,checkpoints/evan_freematch_benv2_s2_20260727_113044.pt,clstoken,True,False
evan_base,s2_rgb,fft,0.0004,0.0001,85684243,20,1.0,0.01,0.99,1.0,False,True,True,mAP,59.08,64.75,60.85,checkpoints/evan_freematch_benv2_s2_rgb_20260727_114729.pt,clstoken,True,False
evan_base,s2,fft,0.0004,0.0001,87453715,20,1.0,0.05,0.999,1.0,False,True,True,mAP,59.08,63.81,59.13,checkpoints/evan_freematch_benv2_s2_20260727_115422.pt,clstoken,True,False
evan_base,s2_rgb,fft,0.0004,0.0001,85684243,20,1.0,0.05,0.99,1.0,False,True,True,mAP,62.79,67.03,61.56,checkpoints/evan_freematch_benv2_s2_rgb_20260727_120842.pt,clstoken,True,False
evan_base,s2,fft,0.0004,0.0001,87453715,20,1.0,0.05,0.99,1.0,False,True,True,mAP,58.60,63.28,58.60,checkpoints/evan_freematch_benv2_s2_20260727_121743.pt,clstoken,True,False
